frame_id,time_sec,Hips_X,Hips_Y,Hips_Z,LeftUpperLeg_X,LeftUpperLeg_Y,LeftUpperLeg_Z,RightUpperLeg_X,RightUpperLeg_Y,RightUpperLeg_Z,LeftLowerLeg_X,LeftLowerLeg_Y,LeftLowerLeg_Z,RightLowerLeg_X,RightLowerLeg_Y,RightLowerLeg_Z,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,RightFoot_X,RightFoot_Y,RightFoot_Z,Spine_X,Spine_Y,Spine_Z,Chest_X,Chest_Y,Chest_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,LeftUpperArm_X,LeftUpperArm_Y,LeftUpperArm_Z,RightUpperArm_X,RightUpperArm_Y,RightUpperArm_Z,LeftLowerArm_X,LeftLowerArm_Y,LeftLowerArm_Z,RightLowerArm_X,RightLowerArm_Y,RightLowerArm_Z,LeftHand_X,LeftHand_Y,LeftHand_Z,RightHand_X,RightHand_Y,RightHand_Z,LeftToes_X,LeftToes_Y,LeftToes_Z,RightToes_X,RightToes_Y,RightToes_Z,LeftEye_X,LeftEye_Y,LeftEye_Z,RightEye_X,RightEye_Y,RightEye_Z,Jaw_X,Jaw_Y,Jaw_Z,LeftThumbProximal_X,LeftThumbProximal_Y,LeftThumbProximal_Z,LeftThumbIntermediate_X,LeftThumbIntermediate_Y,LeftThumbIntermediate_Z,LeftThumbDistal_X,LeftThumbDistal_Y,LeftThumbDistal_Z,LeftIndexProximal_X,LeftIndexProximal_Y,LeftIndexProximal_Z,LeftIndexIntermediate_X,LeftIndexIntermediate_Y,LeftIndexIntermediate_Z,LeftIndexDistal_X,LeftIndexDistal_Y,LeftIndexDistal_Z,LeftMiddleProximal_X,LeftMiddleProximal_Y,LeftMiddleProximal_Z,LeftMiddleIntermediate_X,LeftMiddleIntermediate_Y,LeftMiddleIntermediate_Z,LeftMiddleDistal_X,LeftMiddleDistal_Y,LeftMiddleDistal_Z,LeftRingProximal_X,LeftRingProximal_Y,LeftRingProximal_Z,LeftRingIntermediate_X,LeftRingIntermediate_Y,LeftRingIntermediate_Z,LeftRingDistal_X,LeftRingDistal_Y,LeftRingDistal_Z,LeftLittleProximal_X,LeftLittleProximal_Y,LeftLittleProximal_Z,LeftLittleIntermediate_X,LeftLittleIntermediate_Y,LeftLittleIntermediate_Z,LeftLittleDistal_X,LeftLittleDistal_Y,LeftLittleDistal_Z,RightThumbProximal_X,RightThumbProximal_Y,RightThumbProximal_Z,RightThumbIntermediate_X,RightThumbIntermediate_Y,RightThumbIntermediate_Z,RightThumbDistal_X,RightThumbDistal_Y,RightThumbDistal_Z,RightIndexProximal_X,RightIndexProximal_Y,RightIndexProximal_Z,RightIndexIntermediate_X,RightIndexIntermediate_Y,RightIndexIntermediate_Z,RightIndexDistal_X,RightIndexDistal_Y,RightIndexDistal_Z,RightMiddleProximal_X,RightMiddleProximal_Y,RightMiddleProximal_Z,RightMiddleIntermediate_X,RightMiddleIntermediate_Y,RightMiddleIntermediate_Z,RightMiddleDistal_X,RightMiddleDistal_Y,RightMiddleDistal_Z,RightRingProximal_X,RightRingProximal_Y,RightRingProximal_Z,RightRingIntermediate_X,RightRingIntermediate_Y,RightRingIntermediate_Z,RightRingDistal_X,RightRingDistal_Y,RightRingDistal_Z,RightLittleProximal_X,RightLittleProximal_Y,RightLittleProximal_Z,RightLittleIntermediate_X,RightLittleIntermediate_Y,RightLittleIntermediate_Z,RightLittleDistal_X,RightLittleDistal_Y,RightLittleDistal_Z,UpperChest_X,UpperChest_Y,UpperChest_Z
0,0.000,-0.094598,0.962840,-3.334123,-0.214286,0.963713,-3.341849,0.025089,0.961968,-3.326398,-0.285732,0.557835,-3.171582,0.026932,0.536340,-3.193468,-0.237635,0.269972,-3.468373,0.027212,0.129823,-3.282954,-0.093869,1.080064,-3.332187,-0.096529,1.293896,-3.316869,-0.086848,1.534334,-3.285329,-0.081844,1.631019,-3.247537,-0.124157,1.483580,-3.287786,-0.053463,1.481454,-3.293236,-0.261569,1.429738,-3.264328,0.080286,1.417742,-3.306356,-0.325136,1.146448,-3.274110,0.143213,1.133580,-3.315066,-0.345393,0.870599,-3.215353,0.167552,0.868579,-3.219450,-0.258621,0.097025,-3.426718,0.046042,0.045466,-3.126060,,,,,,,,,,-0.328301,0.857585,-3.202621,-0.302657,0.810783,-3.202767,-0.292524,0.776970,-3.209180,-0.326233,0.777323,-3.201404,-0.312780,0.745903,-3.215274,-0.299041,0.729085,-3.230676,-0.345431,0.776866,-3.218418,-0.333094,0.746872,-3.240596,-0.321650,0.732332,-3.259109,-0.361062,0.777886,-3.232653,-0.350336,0.749899,-3.255135,-0.339431,0.740140,-3.272825,-0.373394,0.784649,-3.249403,-0.363373,0.762028,-3.270987,-0.352377,0.753353,-3.288885,0.154963,0.859516,-3.199878,0.122327,0.818173,-3.191302,0.108950,0.785430,-3.197330,0.146786,0.780930,-3.185565,0.125805,0.750725,-3.188399,0.104086,0.737894,-3.196918,0.158731,0.775953,-3.207719,0.138040,0.743251,-3.214506,0.116353,0.735273,-3.226809,0.168439,0.773226,-3.226329,0.148733,0.742572,-3.235041,0.129186,0.741150,-3.246992,0.174666,0.776290,-3.247071,0.156100,0.750840,-3.256312,0.137256,0.743772,-3.266882,,,
1,0.033,-0.094598,0.962840,-3.334123,-0.214286,0.963713,-3.341849,0.025089,0.961968,-3.326398,-0.285732,0.557835,-3.171582,0.026932,0.536340,-3.193468,-0.237635,0.269972,-3.468373,0.027212,0.129823,-3.282954,-0.093869,1.080064,-3.332187,-0.096529,1.293896,-3.316869,-0.086848,1.534334,-3.285329,-0.081844,1.631019,-3.247537,-0.124157,1.483580,-3.287786,-0.053463,1.481454,-3.293236,-0.261569,1.429738,-3.264328,0.080286,1.417742,-3.306356,-0.325136,1.146448,-3.274110,0.143213,1.133580,-3.315066,-0.345393,0.870599,-3.215353,0.167552,0.868579,-3.219450,-0.258621,0.097025,-3.426718,0.046042,0.045466,-3.126060,,,,,,,,,,-0.328301,0.857585,-3.202621,-0.302657,0.810783,-3.202767,-0.292524,0.776970,-3.209180,-0.326233,0.777323,-3.201404,-0.312780,0.745903,-3.215274,-0.299041,0.729085,-3.230676,-0.345431,0.776866,-3.218418,-0.333094,0.746872,-3.240596,-0.321650,0.732332,-3.259109,-0.361062,0.777886,-3.232653,-0.350336,0.749899,-3.255135,-0.339431,0.740140,-3.272825,-0.373394,0.784649,-3.249403,-0.363373,0.762028,-3.270987,-0.352377,0.753353,-3.288885,0.154963,0.859516,-3.199878,0.122327,0.818173,-3.191302,0.108950,0.785430,-3.197330,0.146786,0.780930,-3.185565,0.125805,0.750725,-3.188399,0.104086,0.737894,-3.196918,0.158731,0.775953,-3.207719,0.138040,0.743251,-3.214506,0.116353,0.735273,-3.226809,0.168439,0.773226,-3.226329,0.148733,0.742572,-3.235041,0.129186,0.741150,-3.246992,0.174666,0.776290,-3.247071,0.156100,0.750840,-3.256312,0.137256,0.743772,-3.266882,,,
2,0.067,-0.103082,0.977739,-3.279659,-0.222911,0.978301,-3.284763,0.016748,0.977177,-3.274556,-0.285815,0.583162,-3.087936,0.017052,0.538615,-3.193958,-0.247608,0.235374,-3.313430,0.021635,0.131082,-3.278573,-0.102594,1.094970,-3.278194,-0.104140,1.308642,-3.260643,-0.096054,1.548952,-3.227713,-0.092675,1.645615,-3.189682,-0.133065,1.498016,-3.230813,-0.062311,1.496293,-3.235573,-0.270380,1.442809,-3.210117,0.072363,1.434148,-3.246573,-0.331350,1.161130,-3.246577,0.138958,1.150746,-3.240921,-0.361542,0.881169,-3.220783,0.151541,0.894255,-3.122537,-0.272476,0.080162,-3.227541,0.042385,0.046330,-3.122136,,,,,,,,,,-0.344792,0.866066,-3.210060,-0.318653,0.820215,-3.217963,-0.307515,0.788244,-3.229836,-0.341898,0.787002,-3.223780,-0.327976,0.757370,-3.240771,-0.313508,0.742412,-3.257375,-0.360448,0.789664,-3.241303,-0.347468,0.763053,-3.267132,-0.335377,0.751199,-3.287091,-0.375553,0.793271,-3.255686,-0.364583,0.768609,-3.281670,-0.353267,0.761285,-3.300256,-0.387329,0.803001,-3.271339,-0.376939,0.784485,-3.296382,-0.365556,0.779055,-3.315288,0.136720,0.888052,-3.103420,0.103069,0.848067,-3.092612,0.090237,0.814657,-3.095163,0.126482,0.812369,-3.078621,0.106291,0.781501,-3.078803,0.085791,0.766855,-3.087417,0.140881,0.804298,-3.098264,0.121093,0.770585,-3.102197,0.100942,0.760430,-3.115469,0.152660,0.798952,-3.115017,0.134277,0.766863,-3.121032,0.116257,0.763157,-3.134761,0.161263,0.798978,-3.135126,0.143983,0.772084,-3.142609,0.126552,0.763173,-3.154165,,,
3,0.100,-0.108735,0.988696,-3.236643,-0.228616,0.989634,-3.240279,0.011146,0.987759,-3.233008,-0.282807,0.597711,-3.034626,0.008959,0.542868,-3.203007,-0.249710,0.202820,-3.162019,0.015452,0.136611,-3.293432,-0.107908,1.105898,-3.233710,-0.109006,1.319471,-3.214971,-0.105004,1.559981,-3.182757,-0.104037,1.656784,-3.144946,-0.141240,1.508547,-3.186675,-0.070365,1.507749,-3.189486,-0.278928,1.452374,-3.171910,0.065600,1.447780,-3.195603,-0.336788,1.174461,-3.233604,0.141084,1.167414,-3.173682,-0.369717,0.893638,-3.230580,0.145286,0.921246,-3.034599,-0.278216,0.076364,-3.038397,0.036572,0.052704,-3.136589,,,,,,,,,,-0.353304,0.878347,-3.219605,-0.324104,0.834652,-3.228884,-0.309918,0.804469,-3.242109,-0.344862,0.801140,-3.239986,-0.327879,0.773434,-3.257437,-0.311060,0.760346,-3.273395,-0.361738,0.804620,-3.258996,-0.345096,0.780738,-3.285386,-0.330580,0.771035,-3.304885,-0.375544,0.808896,-3.274458,-0.361161,0.786786,-3.301068,-0.347855,0.781367,-3.318975,-0.386247,0.819530,-3.290293,-0.372743,0.803720,-3.315703,-0.359424,0.800436,-3.333823,0.128950,0.915240,-3.016691,0.094807,0.875146,-3.008046,0.082354,0.841625,-3.010978,0.117222,0.839906,-2.991495,0.097192,0.808967,-2.992980,0.077549,0.794127,-3.003123,0.133287,0.831628,-3.009706,0.113932,0.797828,-3.014862,0.095000,0.787474,-3.029683,0.146479,0.826101,-3.025308,0.128764,0.793841,-3.032333,0.111975,0.789857,-3.047472,0.156749,0.825857,-3.044618,0.140225,0.798776,-3.053064,0.123837,0.789622,-3.065888,,,
4,0.133,-0.112981,0.991304,-3.184130,-0.232882,0.991455,-3.187170,0.006921,0.991154,-3.181090,-0.274548,0.592109,-2.993213,0.007374,0.545295,-3.187624,-0.251690,0.176488,-2.993635,0.011867,0.142223,-3.291431,-0.112942,1.108467,-3.179824,-0.112663,1.321954,-3.160100,-0.113042,1.562579,-3.128510,-0.114300,1.659546,-3.091129,-0.148418,1.510642,-3.133495,-0.077484,1.510812,-3.133899,-0.286163,1.453278,-3.125298,0.060101,1.454328,-3.133862,-0.336981,1.180445,-3.211143,0.147122,1.179257,-3.094529,-0.369541,0.900266,-3.231018,0.138095,0.947796,-2.932341,-0.285069,0.087597,-2.841746,0.034060,0.058673,-3.134546,,,,,,,,,,-0.353706,0.884864,-3.219371,-0.321966,0.842893,-3.228257,-0.305248,0.814138,-3.241704,-0.340121,0.809484,-3.243472,-0.320444,0.783510,-3.260757,-0.301632,0.772023,-3.275690,-0.355126,0.813616,-3.263869,-0.334944,0.792043,-3.289773,-0.318144,0.784100,-3.308207,-0.367470,0.818415,-3.280380,-0.349614,0.798562,-3.306663,-0.334372,0.794756,-3.323405,-0.376950,0.829686,-3.296550,-0.360279,0.816008,-3.321308,-0.345052,0.814350,-3.338097,0.119987,0.942059,-2.916130,0.085751,0.901601,-2.909880,0.073750,0.867908,-2.912724,0.106774,0.867374,-2.889761,0.087078,0.836356,-2.893006,0.068785,0.821260,-2.905107,0.124876,0.858823,-2.905806,0.106421,0.824755,-2.912315,0.089357,0.813917,-2.928949,0.139792,0.853050,-2.919670,0.123040,0.820537,-2.927804,0.108038,0.816111,-2.944605,0.152126,0.852376,-2.937721,0.136528,0.825030,-2.947031,0.121554,0.815483,-2.961224,,,
5,0.167,-0.116254,0.985230,-3.134569,-0.236124,0.981839,-3.136841,0.003616,0.988622,-3.132297,-0.269180,0.587566,-2.931197,0.013566,0.543406,-3.155010,-0.263747,0.183111,-2.832965,0.014741,0.149626,-3.289917,-0.119666,1.102306,-3.129349,-0.116581,1.315765,-3.109562,-0.122221,1.556435,-3.078822,-0.125275,1.653556,-3.041949,-0.156500,1.503890,-3.084966,-0.085615,1.505265,-3.082688,-0.293807,1.444950,-3.082875,0.053345,1.452728,-3.075596,-0.333570,1.177676,-3.189521,0.152496,1.185608,-3.015598,-0.362357,0.899476,-3.231130,0.134215,0.968343,-2.835536,-0.299989,0.133675,-2.664654,0.036928,0.063476,-3.134443,,,,,,,,,,-0.347556,0.883831,-3.218489,-0.314072,0.842897,-3.225646,-0.295208,0.815098,-3.238236,-0.329662,0.809919,-3.244263,-0.307705,0.785064,-3.260412,-0.287151,0.774566,-3.273683,-0.342413,0.814732,-3.266001,-0.319062,0.794705,-3.290442,-0.300181,0.787894,-3.307241,-0.352964,0.820078,-3.283553,-0.331883,0.801800,-3.308559,-0.314812,0.799049,-3.323663,-0.360856,0.831922,-3.300160,-0.341211,0.819714,-3.323462,-0.324171,0.819111,-3.338488,0.114479,0.963230,-2.821114,0.080422,0.922454,-2.816072,0.068497,0.888651,-2.817657,0.099580,0.890100,-2.791487,0.080521,0.858778,-2.795516,0.063881,0.842919,-2.808953,0.119526,0.880969,-2.804794,0.102316,0.846273,-2.811394,0.087423,0.834221,-2.829234,0.136012,0.874674,-2.816481,0.120460,0.841571,-2.824616,0.107496,0.836057,-2.842740,0.150326,0.873136,-2.832947,0.135771,0.845196,-2.842185,0.122394,0.834734,-2.857297,,,
6,0.200,-0.119252,0.973452,-3.079200,-0.238992,0.966580,-3.079891,0.000489,0.980323,-3.078509,-0.266733,0.586085,-2.849053,0.019880,0.536882,-3.121132,-0.284800,0.200647,-2.692928,0.017918,0.155140,-3.287061,-0.125993,1.090359,-3.073464,-0.121547,1.303897,-3.054828,-0.131726,1.544607,-3.025607,-0.136041,1.641867,-2.989227,-0.165012,1.491518,-3.032497,-0.094257,1.493979,-3.028077,-0.302016,1.431917,-3.035480,0.044912,1.443443,-3.013996,-0.330795,1.170225,-3.158276,0.152716,1.185919,-2.931268,-0.355895,0.895424,-3.219994,0.126405,0.980975,-2.738224,-0.322923,0.191960,-2.518121,0.040351,0.065596,-3.133552,,,,,,,,,,-0.342229,0.879215,-3.206797,-0.307607,0.839044,-3.212761,-0.287194,0.812173,-3.224943,-0.320753,0.807040,-3.234674,-0.296561,0.783936,-3.250216,-0.274494,0.774918,-3.262071,-0.331302,0.812968,-3.257299,-0.305123,0.795022,-3.280457,-0.284487,0.789675,-3.295645,-0.340094,0.819210,-3.275512,-0.316047,0.803123,-3.299319,-0.297441,0.801758,-3.312699,-0.346431,0.831908,-3.292155,-0.324299,0.821475,-3.314048,-0.305827,0.822054,-3.327275,0.105508,0.976681,-2.725244,0.071939,0.935605,-2.719426,0.060413,0.901634,-2.718703,0.089341,0.906277,-2.690180,0.071208,0.874301,-2.693231,0.056185,0.856956,-2.706738,0.110624,0.896506,-2.700660,0.094794,0.860879,-2.705534,0.081903,0.846851,-2.723488,0.128255,0.889611,-2.710125,0.114046,0.855556,-2.716624,0.102940,0.848144,-2.735297,0.144080,0.886937,-2.724986,0.130749,0.857954,-2.732740,0.118918,0.845835,-2.747903,,,
7,0.233,-0.123133,0.958270,-3.020255,-0.242783,0.950064,-3.018803,-0.003483,0.966475,-3.021706,-0.267184,0.589960,-2.756959,0.020946,0.526455,-3.089662,-0.297022,0.214143,-2.580509,0.016982,0.158744,-3.284691,-0.131067,1.075073,-3.013963,-0.127677,1.288729,-2.996480,-0.139829,1.529510,-2.968629,-0.144806,1.626926,-2.932757,-0.172665,1.476183,-2.975833,-0.102015,1.479102,-2.970199,-0.309723,1.417057,-2.982960,0.036552,1.428795,-2.950478,-0.330703,1.159347,-3.115379,0.149347,1.180544,-2.848341,-0.354705,0.888850,-3.194187,0.119045,0.984263,-2.647054,-0.334918,0.239450,-2.407277,0.040665,0.067426,-3.132420,,,,,,,,,,-0.341783,0.871975,-3.181076,-0.306577,0.832319,-3.187068,-0.285103,0.806187,-3.199033,-0.318096,0.801549,-3.211517,-0.291743,0.781635,-3.227936,-0.268615,0.775221,-3.239457,-0.327242,0.808698,-3.234397,-0.298857,0.793860,-3.257154,-0.277088,0.790667,-3.271331,-0.334915,0.815920,-3.252754,-0.308439,0.802926,-3.275861,-0.288856,0.803468,-3.287833,-0.340281,0.829509,-3.269031,-0.316396,0.820963,-3.289874,-0.297040,0.822745,-3.301650,0.097572,0.980181,-2.634977,0.065215,0.938371,-2.627700,0.055318,0.903998,-2.624890,0.081868,0.912233,-2.595176,0.065100,0.879416,-2.596740,0.051567,0.860490,-2.609686,0.104082,0.902527,-2.603577,0.089960,0.865970,-2.606357,0.078734,0.850032,-2.623829,0.122489,0.895616,-2.611414,0.109938,0.860609,-2.615974,0.100271,0.851319,-2.634608,0.139267,0.892401,-2.625073,0.127405,0.862375,-2.631034,0.116901,0.848576,-2.645733,,,
8,0.267,-0.128086,0.944414,-2.958893,-0.247722,0.936456,-2.955819,-0.008450,0.952372,-2.961967,-0.271763,0.579157,-2.690128,0.016586,0.517711,-3.058275,-0.294951,0.203070,-2.513254,0.014446,0.164433,-3.278396,-0.135692,1.061233,-2.952467,-0.134405,1.274915,-2.935040,-0.147609,1.515622,-2.907022,-0.153533,1.613066,-2.871371,-0.180181,1.462249,-2.915038,-0.109676,1.465286,-2.907859,-0.316758,1.402686,-2.926453,0.028417,1.415745,-2.883442,-0.331353,1.145754,-3.061222,0.142881,1.173136,-2.770205,-0.354841,0.879262,-3.152795,0.114322,0.980136,-2.565521,-0.327862,0.224096,-2.338438,0.038675,0.067039,-3.130026,,,,,,,,,,-0.342060,0.861766,-3.140379,-0.306506,0.822676,-3.147852,-0.284694,0.797364,-3.160918,-0.317383,0.793220,-3.174144,-0.290272,0.775422,-3.191718,-0.266862,0.770614,-3.203450,-0.326150,0.801555,-3.196770,-0.296973,0.788875,-3.219828,-0.274858,0.787103,-3.233716,-0.333527,0.809724,-3.214849,-0.306198,0.798800,-3.238034,-0.286342,0.800512,-3.249431,-0.338676,0.824149,-3.230463,-0.314170,0.816969,-3.251099,-0.294534,0.819550,-3.262246,0.092595,0.976265,-2.553834,0.061215,0.934109,-2.544556,0.052507,0.899652,-2.539623,0.077544,0.910856,-2.509757,0.061746,0.877525,-2.509528,0.049171,0.857358,-2.521533,0.100282,0.901261,-2.516768,0.087354,0.864164,-2.517296,0.077175,0.846673,-2.533902,0.119120,0.894378,-2.523534,0.107693,0.858781,-2.526021,0.098900,0.847955,-2.544254,0.136413,0.890717,-2.536417,0.125574,0.860002,-2.540534,0.115924,0.844886,-2.554504,,,
9,0.300,-0.134051,0.932161,-2.894805,-0.253805,0.926202,-2.891775,-0.014298,0.938120,-2.897836,-0.275421,0.560440,-2.637641,0.006979,0.511213,-3.024842,-0.288529,0.177204,-2.475712,0.011606,0.172415,-3.266623,-0.139764,1.049183,-2.890457,-0.140958,1.263038,-2.875280,-0.156191,1.503844,-2.849221,-0.163989,1.601517,-2.814571,-0.188243,1.450254,-2.857857,-0.117999,1.453701,-2.848605,-0.323691,1.388743,-2.872061,0.019906,1.406067,-2.819731,-0.335435,1.129086,-3.001792,0.134896,1.164479,-2.704856,-0.359062,0.863357,-3.095519,0.114001,0.968171,-2.502403,-0.312287,0.160661,-2.298941,0.036809,0.062764,-3.127239,,,,,,,,,,-0.346217,0.845110,-3.084307,-0.311890,0.805590,-3.094694,-0.291344,0.780447,-3.109951,-0.324454,0.777443,-3.121659,-0.298467,0.759900,-3.141088,-0.275668,0.755151,-3.153990,-0.333896,0.786856,-3.143579,-0.305912,0.774395,-3.168183,-0.284376,0.772642,-3.182956,-0.341777,0.795893,-3.161021,-0.315582,0.785313,-3.185631,-0.296130,0.787041,-3.197703,-0.347192,0.811035,-3.175847,-0.323554,0.804025,-3.197528,-0.304236,0.806524,-3.209235,0.092319,0.964405,-2.490600,0.061818,0.922081,-2.479361,0.054260,0.887622,-2.472816,0.078512,0.900912,-2.443424,0.063600,0.867263,-2.440985,0.051519,0.846049,-2.451616,0.101478,0.891481,-2.449897,0.089511,0.854096,-2.448237,0.079792,0.835400,-2.463772,0.120485,0.884685,-2.456267,0.110066,0.848697,-2.456692,0.101617,0.836598,-2.474275,0.137900,0.880777,-2.468909,0.128148,0.849523,-2.471343,0.119086,0.833355,-2.484507,,,
