frame_id,time_sec,Hips_X,Hips_Y,Hips_Z,LeftUpperLeg_X,LeftUpperLeg_Y,LeftUpperLeg_Z,RightUpperLeg_X,RightUpperLeg_Y,RightUpperLeg_Z,LeftLowerLeg_X,LeftLowerLeg_Y,LeftLowerLeg_Z,RightLowerLeg_X,RightLowerLeg_Y,RightLowerLeg_Z,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,RightFoot_X,RightFoot_Y,RightFoot_Z,Spine_X,Spine_Y,Spine_Z,Chest_X,Chest_Y,Chest_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,LeftUpperArm_X,LeftUpperArm_Y,LeftUpperArm_Z,RightUpperArm_X,RightUpperArm_Y,RightUpperArm_Z,LeftLowerArm_X,LeftLowerArm_Y,LeftLowerArm_Z,RightLowerArm_X,RightLowerArm_Y,RightLowerArm_Z,LeftHand_X,LeftHand_Y,LeftHand_Z,RightHand_X,RightHand_Y,RightHand_Z,LeftToes_X,LeftToes_Y,LeftToes_Z,RightToes_X,RightToes_Y,RightToes_Z,LeftEye_X,LeftEye_Y,LeftEye_Z,RightEye_X,RightEye_Y,RightEye_Z,Jaw_X,Jaw_Y,Jaw_Z,LeftThumbProximal_X,LeftThumbProximal_Y,LeftThumbProximal_Z,LeftThumbIntermediate_X,LeftThumbIntermediate_Y,LeftThumbIntermediate_Z,LeftThumbDistal_X,LeftThumbDistal_Y,LeftThumbDistal_Z,LeftIndexProximal_X,LeftIndexProximal_Y,LeftIndexProximal_Z,LeftIndexIntermediate_X,LeftIndexIntermediate_Y,LeftIndexIntermediate_Z,LeftIndexDistal_X,LeftIndexDistal_Y,LeftIndexDistal_Z,LeftMiddleProximal_X,LeftMiddleProximal_Y,LeftMiddleProximal_Z,LeftMiddleIntermediate_X,LeftMiddleIntermediate_Y,LeftMiddleIntermediate_Z,LeftMiddleDistal_X,LeftMiddleDistal_Y,LeftMiddleDistal_Z,LeftRingProximal_X,LeftRingProximal_Y,LeftRingProximal_Z,LeftRingIntermediate_X,LeftRingIntermediate_Y,LeftRingIntermediate_Z,LeftRingDistal_X,LeftRingDistal_Y,LeftRingDistal_Z,LeftLittleProximal_X,LeftLittleProximal_Y,LeftLittleProximal_Z,LeftLittleIntermediate_X,LeftLittleIntermediate_Y,LeftLittleIntermediate_Z,LeftLittleDistal_X,LeftLittleDistal_Y,LeftLittleDistal_Z,RightThumbProximal_X,RightThumbProximal_Y,RightThumbProximal_Z,RightThumbIntermediate_X,RightThumbIntermediate_Y,RightThumbIntermediate_Z,RightThumbDistal_X,RightThumbDistal_Y,RightThumbDistal_Z,RightIndexProximal_X,RightIndexProximal_Y,RightIndexProximal_Z,RightIndexIntermediate_X,RightIndexIntermediate_Y,RightIndexIntermediate_Z,RightIndexDistal_X,RightIndexDistal_Y,RightIndexDistal_Z,RightMiddleProximal_X,RightMiddleProximal_Y,RightMiddleProximal_Z,RightMiddleIntermediate_X,RightMiddleIntermediate_Y,RightMiddleIntermediate_Z,RightMiddleDistal_X,RightMiddleDistal_Y,RightMiddleDistal_Z,RightRingProximal_X,RightRingProximal_Y,RightRingProximal_Z,RightRingIntermediate_X,RightRingIntermediate_Y,RightRingIntermediate_Z,RightRingDistal_X,RightRingDistal_Y,RightRingDistal_Z,RightLittleProximal_X,RightLittleProximal_Y,RightLittleProximal_Z,RightLittleIntermediate_X,RightLittleIntermediate_Y,RightLittleIntermediate_Z,RightLittleDistal_X,RightLittleDistal_Y,RightLittleDistal_Z,UpperChest_X,UpperChest_Y,UpperChest_Z
0,0.000,-0.094433,0.962536,-3.335268,-0.214121,0.963412,-3.342981,0.025256,0.961659,-3.327555,-0.285566,0.557288,-3.173301,0.027213,0.536283,-3.193824,-0.237539,0.270362,-3.471009,0.027356,0.129767,-3.283314,-0.093699,1.079759,-3.333329,-0.096372,1.293593,-3.318038,-0.086650,1.534033,-3.286531,-0.081594,1.630721,-3.248751,-0.123963,1.483282,-3.288950,-0.053275,1.481151,-3.294461,-0.261360,1.429456,-3.265359,0.080451,1.417418,-3.307710,-0.325008,1.146170,-3.274721,0.143339,1.133256,-3.316732,-0.344994,0.870428,-3.215374,0.167929,0.868127,-3.221536,-0.258490,0.097250,-3.430026,0.046237,0.045412,-3.126426,,,,,,,,,,-0.327891,0.857461,-3.202609,-0.302247,0.810659,-3.202604,-0.292130,0.776820,-3.208908,-0.325822,0.777205,-3.201094,-0.312380,0.745745,-3.214885,-0.298657,0.728883,-3.230253,-0.345036,0.776684,-3.218088,-0.332715,0.746619,-3.240180,-0.321286,0.732021,-3.258656,-0.360680,0.777651,-3.232312,-0.349966,0.749594,-3.254713,-0.339074,0.739780,-3.272381,-0.373027,0.784351,-3.249077,-0.363017,0.761653,-3.270585,-0.352033,0.752913,-3.288458,0.155381,0.859013,-3.201962,0.122763,0.817646,-3.193427,0.109375,0.784919,-3.199513,0.147235,0.780389,-3.187838,0.126237,0.750200,-3.190718,0.104495,0.737402,-3.199231,0.159135,0.775470,-3.210030,0.138425,0.742790,-3.216865,0.116713,0.734850,-3.229146,0.168804,0.772792,-3.228667,0.149072,0.742168,-3.237422,0.129499,0.740785,-3.249336,0.174989,0.775911,-3.249413,0.156398,0.750488,-3.258679,0.137530,0.743451,-3.269227,,,
1,0.033,-0.094433,0.962536,-3.335268,-0.214121,0.963412,-3.342981,0.025256,0.961659,-3.327555,-0.285566,0.557288,-3.173301,0.027213,0.536283,-3.193824,-0.237539,0.270362,-3.471009,0.027356,0.129767,-3.283314,-0.093699,1.079759,-3.333329,-0.096372,1.293593,-3.318038,-0.086650,1.534033,-3.286531,-0.081594,1.630721,-3.248751,-0.123963,1.483282,-3.288950,-0.053275,1.481151,-3.294461,-0.261360,1.429456,-3.265359,0.080451,1.417418,-3.307710,-0.325008,1.146170,-3.274721,0.143339,1.133256,-3.316732,-0.344994,0.870428,-3.215374,0.167929,0.868127,-3.221536,-0.258490,0.097250,-3.430026,0.046237,0.045412,-3.126426,,,,,,,,,,-0.327891,0.857461,-3.202609,-0.302247,0.810659,-3.202604,-0.292130,0.776820,-3.208908,-0.325822,0.777205,-3.201094,-0.312380,0.745745,-3.214885,-0.298657,0.728883,-3.230253,-0.345036,0.776684,-3.218088,-0.332715,0.746619,-3.240180,-0.321286,0.732021,-3.258656,-0.360680,0.777651,-3.232312,-0.349966,0.749594,-3.254713,-0.339074,0.739780,-3.272381,-0.373027,0.784351,-3.249077,-0.363017,0.761653,-3.270585,-0.352033,0.752913,-3.288458,0.155381,0.859013,-3.201962,0.122763,0.817646,-3.193427,0.109375,0.784919,-3.199513,0.147235,0.780389,-3.187838,0.126237,0.750200,-3.190718,0.104495,0.737402,-3.199231,0.159135,0.775470,-3.210030,0.138425,0.742790,-3.216865,0.116713,0.734850,-3.229146,0.168804,0.772792,-3.228667,0.149072,0.742168,-3.237422,0.129499,0.740785,-3.249336,0.174989,0.775911,-3.249413,0.156398,0.750488,-3.258679,0.137530,0.743451,-3.269227,,,
2,0.067,-0.102953,0.977511,-3.280531,-0.222784,0.978075,-3.285611,0.016878,0.976946,-3.275452,-0.285736,0.582786,-3.089102,0.017264,0.538546,-3.193981,-0.247524,0.235888,-3.315961,0.021773,0.131020,-3.278635,-0.102463,1.094742,-3.279067,-0.104016,1.308416,-3.261548,-0.095877,1.548727,-3.228636,-0.092447,1.645390,-3.190610,-0.132896,1.497796,-3.231705,-0.062146,1.496064,-3.236520,-0.270199,1.442609,-3.210878,0.072506,1.433890,-3.247637,-0.331236,1.160884,-3.246868,0.139023,1.150464,-3.242267,-0.361287,0.880957,-3.220545,0.151857,0.893816,-3.124252,-0.272295,0.080288,-3.230749,0.042588,0.046270,-3.122205,,,,,,,,,,-0.344527,0.865878,-3.209804,-0.318415,0.819997,-3.217619,-0.307311,0.787990,-3.229424,-0.341679,0.786777,-3.223311,-0.327786,0.757111,-3.240268,-0.313346,0.742121,-3.256868,-0.360254,0.789396,-3.240815,-0.347312,0.762728,-3.266603,-0.335250,0.750830,-3.286555,-0.375377,0.792969,-3.255185,-0.364440,0.768250,-3.281131,-0.353148,0.760887,-3.299716,-0.387173,0.802660,-3.270848,-0.376815,0.784077,-3.295855,-0.365456,0.778595,-3.314761,0.137081,0.887576,-3.105112,0.103454,0.847571,-3.094303,0.090616,0.814166,-3.096890,0.126899,0.811846,-3.080436,0.106701,0.780982,-3.080636,0.086179,0.766358,-3.089236,0.141251,0.803813,-3.100128,0.121452,0.770109,-3.104083,0.101271,0.759981,-3.117329,0.152992,0.798499,-3.116919,0.134590,0.766424,-3.122956,0.116537,0.762749,-3.136650,0.161548,0.798563,-3.137048,0.144248,0.771686,-3.144542,0.126788,0.762798,-3.156073,,,
3,0.100,-0.108620,0.988558,-3.237388,-0.228501,0.989494,-3.241023,0.011261,0.987622,-3.233754,-0.282817,0.597538,-3.035469,0.009105,0.542785,-3.202964,-0.249640,0.203260,-3.164730,0.015610,0.136499,-3.293260,-0.107793,1.105761,-3.234479,-0.108899,1.319335,-3.215759,-0.104822,1.559843,-3.183535,-0.103808,1.656644,-3.145719,-0.141071,1.508417,-3.187431,-0.070199,1.507604,-3.190290,-0.278753,1.452261,-3.172539,0.065743,1.447592,-3.196518,-0.336703,1.174273,-3.233806,0.141074,1.167162,-3.174888,-0.369608,0.893451,-3.230393,0.145469,0.920800,-3.036155,-0.278058,0.076228,-3.041680,0.036757,0.052583,-3.136425,,,,,,,,,,-0.353187,0.878163,-3.219428,-0.324038,0.834432,-3.228700,-0.309904,0.804219,-3.241913,-0.344844,0.800921,-3.239716,-0.327914,0.773183,-3.257168,-0.311135,0.760065,-3.273144,-0.361752,0.804387,-3.258700,-0.345176,0.780461,-3.285090,-0.330703,0.770723,-3.304605,-0.375584,0.808653,-3.274142,-0.361264,0.786501,-3.300750,-0.347994,0.781051,-3.318676,-0.386309,0.819273,-3.289972,-0.372861,0.803420,-3.315385,-0.359578,0.800102,-3.333524,0.129163,0.914790,-3.018222,0.095027,0.874700,-3.009532,0.082567,0.841181,-3.012458,0.117463,0.839449,-2.993032,0.097429,0.808513,-2.994489,0.077768,0.793676,-3.004602,0.133496,0.831175,-3.011273,0.114130,0.797378,-3.016404,0.095172,0.787029,-3.031195,0.146661,0.825651,-3.026900,0.128931,0.793394,-3.033904,0.112115,0.789416,-3.049016,0.156897,0.825412,-3.046227,0.140358,0.798334,-3.054655,0.123948,0.789186,-3.067454,,,
4,0.133,-0.112878,0.991308,-3.184987,-0.232779,0.991484,-3.188016,0.007024,0.991132,-3.181958,-0.274603,0.592199,-2.993967,0.007404,0.545266,-3.187968,-0.251472,0.176600,-2.996422,0.011907,0.142117,-3.291475,-0.112814,1.108471,-3.180702,-0.112560,1.321959,-3.160990,-0.112857,1.562584,-3.129389,-0.114073,1.659548,-3.092000,-0.148249,1.510655,-3.134350,-0.077316,1.510807,-3.134808,-0.285995,1.453313,-3.126019,0.060245,1.454264,-3.134902,-0.336975,1.180386,-3.211469,0.147083,1.179089,-3.095892,-0.369569,0.900184,-3.230959,0.138305,0.947378,-2.934048,-0.284728,0.087036,-2.844903,0.034114,0.058574,-3.134587,,,,,,,,,,-0.353721,0.884784,-3.219328,-0.322021,0.842786,-3.228235,-0.305347,0.814009,-3.241687,-0.340224,0.809373,-3.243383,-0.320593,0.783373,-3.260680,-0.301816,0.771862,-3.275638,-0.355266,0.813494,-3.263755,-0.335146,0.791885,-3.289677,-0.318387,0.783916,-3.308136,-0.367639,0.818284,-3.280246,-0.349846,0.798396,-3.306544,-0.334637,0.794566,-3.323312,-0.377145,0.829544,-3.296409,-0.360530,0.815833,-3.321186,-0.345337,0.814151,-3.338004,0.120229,0.941635,-2.917803,0.085992,0.901185,-2.911512,0.073983,0.867494,-2.914359,0.107044,0.866937,-2.891459,0.087339,0.835922,-2.894675,0.069018,0.820833,-2.906743,0.125111,0.858391,-2.907547,0.106636,0.824330,-2.914035,0.089535,0.813503,-2.930639,0.139996,0.852622,-2.921446,0.123224,0.820115,-2.929562,0.108187,0.815700,-2.946335,0.152293,0.851957,-2.939522,0.136676,0.824617,-2.948818,0.121674,0.815079,-2.962988,,,
5,0.167,-0.116155,0.985361,-3.135415,-0.236027,0.982029,-3.137681,0.003717,0.988694,-3.133149,-0.269174,0.587631,-2.932292,0.013504,0.543460,-3.155576,-0.263391,0.182831,-2.835511,0.014732,0.149506,-3.289973,-0.119508,1.102440,-3.130208,-0.116461,1.315899,-3.110418,-0.122010,1.556568,-3.079658,-0.125030,1.653687,-3.042776,-0.156309,1.504033,-3.085779,-0.085422,1.505388,-3.083557,-0.293624,1.445116,-3.083566,0.053523,1.452793,-3.076607,-0.333599,1.177742,-3.189883,0.152507,1.185527,-3.016986,-0.362465,0.899497,-3.231132,0.134424,0.968029,-2.837186,-0.299554,0.132714,-2.667385,0.036947,0.063402,-3.134478,,,,,,,,,,-0.347644,0.883858,-3.218508,-0.314186,0.842908,-3.225699,-0.295357,0.815093,-3.238306,-0.329823,0.809919,-3.244259,-0.307906,0.785044,-3.260429,-0.287381,0.774528,-3.273731,-0.342615,0.814719,-3.265974,-0.319319,0.794664,-3.290446,-0.300474,0.787833,-3.307276,-0.353200,0.820054,-3.283510,-0.332176,0.801748,-3.308542,-0.315136,0.798978,-3.323678,-0.361122,0.831887,-3.300111,-0.341528,0.819654,-3.323442,-0.324518,0.819033,-3.338502,0.114716,0.962905,-2.822731,0.080653,0.922136,-2.817669,0.068725,0.888335,-2.819276,0.099849,0.889746,-2.793162,0.080775,0.858431,-2.797181,0.064104,0.842588,-2.810598,0.119765,0.880623,-2.806520,0.102531,0.845939,-2.813122,0.087598,0.833911,-2.830945,0.136225,0.874336,-2.818247,0.120649,0.841245,-2.826386,0.107647,0.835753,-2.844489,0.150506,0.872813,-2.834743,0.135930,0.844885,-2.843986,0.122522,0.834442,-2.859084,,,
6,0.200,-0.119136,0.973667,-3.080133,-0.238880,0.966844,-3.080831,0.000608,0.980489,-3.079435,-0.266657,0.586086,-2.850431,0.019853,0.537008,-3.121705,-0.284503,0.200306,-2.695130,0.017928,0.155048,-3.287133,-0.125831,1.090577,-3.074405,-0.121394,1.304114,-3.055750,-0.131503,1.544824,-3.026501,-0.135793,1.642081,-2.990113,-0.164804,1.491742,-3.033375,-0.094046,1.494187,-3.029000,-0.301813,1.432148,-3.036253,0.045128,1.443625,-3.015055,-0.330791,1.170364,-3.158807,0.152829,1.185935,-2.932714,-0.355961,0.895496,-3.220199,0.126681,0.980798,-2.739851,-0.322611,0.190954,-2.520355,0.040381,0.065553,-3.133598,,,,,,,,,,-0.342275,0.879298,-3.207010,-0.307670,0.839115,-3.212996,-0.287282,0.812230,-3.225189,-0.320858,0.807094,-3.234857,-0.296705,0.783955,-3.250408,-0.274663,0.774907,-3.262286,-0.331445,0.813002,-3.257468,-0.305314,0.795017,-3.280651,-0.284706,0.789644,-3.295868,-0.340267,0.819228,-3.275673,-0.316271,0.803101,-3.299503,-0.297689,0.801711,-3.312915,-0.346631,0.831912,-3.292316,-0.324540,0.821449,-3.314237,-0.306092,0.822009,-3.327497,0.105803,0.976495,-2.726844,0.072225,0.935425,-2.721035,0.060689,0.901457,-2.720346,0.089660,0.906044,-2.691862,0.071510,0.874079,-2.694927,0.056458,0.856760,-2.708433,0.110922,0.896280,-2.702391,0.095068,0.860668,-2.707292,0.082141,0.846671,-2.725245,0.128535,0.889391,-2.711895,0.114301,0.855351,-2.718420,0.103163,0.847970,-2.737085,0.144334,0.886732,-2.726785,0.130981,0.857766,-2.734563,0.119122,0.845674,-2.749726,,,
7,0.233,-0.122997,0.958521,-3.021243,-0.242648,0.950332,-3.019803,-0.003346,0.966712,-3.022682,-0.267049,0.589946,-2.758346,0.021011,0.526621,-3.090207,-0.296715,0.213993,-2.582157,0.017040,0.158664,-3.284772,-0.130916,1.075327,-3.014958,-0.127501,1.288980,-2.997460,-0.139619,1.529761,-2.969590,-0.144577,1.627175,-2.933711,-0.172463,1.476437,-2.976781,-0.101810,1.479350,-2.971182,-0.309524,1.417308,-2.983814,0.036770,1.429037,-2.951576,-0.330656,1.159542,-3.116102,0.149523,1.180639,-2.849747,-0.354696,0.888970,-3.194639,0.119303,0.984235,-2.648568,-0.334614,0.238888,-2.408866,0.040732,0.067394,-3.132473,,,,,,,,,,-0.341762,0.872106,-3.181526,-0.306566,0.832441,-3.187518,-0.285108,0.806297,-3.199485,-0.318113,0.801649,-3.211926,-0.291793,0.781686,-3.228337,-0.268680,0.775232,-3.239868,-0.327282,0.808779,-3.234803,-0.298932,0.793892,-3.257571,-0.277180,0.790667,-3.271768,-0.334973,0.815984,-3.253159,-0.308535,0.802943,-3.276282,-0.288967,0.803456,-3.288279,-0.340355,0.829559,-3.269443,-0.316498,0.820983,-3.290306,-0.297156,0.822748,-3.302106,0.097840,0.980150,-2.636475,0.065467,0.938349,-2.629218,0.055545,0.903980,-2.626443,0.082137,0.912159,-2.596747,0.065349,0.879353,-2.598334,0.051791,0.860452,-2.611291,0.104337,0.902450,-2.605183,0.090189,0.865906,-2.607997,0.078935,0.849998,-2.625479,0.122732,0.895539,-2.613050,0.110155,0.860545,-2.617641,0.100463,0.851285,-2.636276,0.139493,0.892332,-2.626730,0.127609,0.862320,-2.632720,0.117082,0.848548,-2.647427,,,
8,0.267,-0.127921,0.944640,-2.959921,-0.247556,0.936671,-2.956845,-0.008285,0.952610,-2.962996,-0.271565,0.579372,-2.691150,0.016748,0.517843,-3.058826,-0.294851,0.203320,-2.514216,0.014520,0.164315,-3.278546,-0.135537,1.061457,-2.953486,-0.134211,1.275139,-2.936049,-0.147388,1.515846,-2.908022,-0.153285,1.613289,-2.872364,-0.179967,1.462475,-2.916019,-0.109457,1.465508,-2.908882,-0.316558,1.402925,-2.927345,0.028648,1.415950,-2.884567,-0.331269,1.145995,-3.062104,0.143114,1.173264,-2.771497,-0.354788,0.879447,-3.153505,0.114540,0.980236,-2.566841,-0.327834,0.224557,-2.339439,0.038765,0.067050,-3.130094,,,,,,,,,,-0.342003,0.861961,-3.141077,-0.306450,0.822865,-3.148526,-0.284641,0.797542,-3.161573,-0.317334,0.793387,-3.174790,-0.290232,0.775559,-3.192347,-0.266825,0.770731,-3.204078,-0.326107,0.801702,-3.197421,-0.296940,0.788993,-3.220475,-0.274829,0.787203,-3.234367,-0.333489,0.809855,-3.215505,-0.306171,0.798903,-3.238689,-0.286317,0.800601,-3.250094,-0.338642,0.824267,-3.231129,-0.314144,0.817069,-3.251769,-0.294512,0.819640,-3.262925,0.092818,0.976362,-2.555146,0.061425,0.934209,-2.545896,0.052700,0.899753,-2.540995,0.077764,0.910911,-2.511132,0.061951,0.877588,-2.510932,0.049361,0.857440,-2.522953,0.100495,0.901314,-2.518167,0.087548,0.864224,-2.518730,0.077351,0.846757,-2.535351,0.119325,0.894429,-2.524951,0.107881,0.858841,-2.527472,0.099072,0.848040,-2.545711,0.136609,0.890775,-2.537848,0.125753,0.860070,-2.541994,0.116087,0.844975,-2.555975,,,
9,0.300,-0.133857,0.932356,-2.895880,-0.253608,0.926366,-2.892819,-0.014106,0.938347,-2.898941,-0.275226,0.560747,-2.638480,0.007215,0.511285,-3.025419,-0.288460,0.177635,-2.476266,0.011665,0.172246,-3.266864,-0.139598,1.049376,-2.891498,-0.140747,1.263227,-2.876274,-0.155946,1.504030,-2.850159,-0.163704,1.601698,-2.815485,-0.188008,1.450444,-2.858784,-0.117757,1.453884,-2.849578,-0.323476,1.388963,-2.872923,0.020157,1.406220,-2.820800,-0.335270,1.129361,-3.002759,0.135171,1.164634,-2.705945,-0.358905,0.863636,-3.096498,0.114178,0.968402,-2.503429,-0.312306,0.161737,-2.299448,0.036877,0.062841,-3.127290,,,,,,,,,,-0.346059,0.845401,-3.085269,-0.311711,0.805890,-3.095615,-0.291144,0.780744,-3.110841,-0.324248,0.777723,-3.122572,-0.298243,0.760178,-3.141975,-0.275434,0.755429,-3.154860,-0.333681,0.787121,-3.144503,-0.305679,0.774658,-3.169085,-0.284134,0.772907,-3.183846,-0.341556,0.796145,-3.161954,-0.315344,0.785561,-3.186544,-0.295886,0.787291,-3.198606,-0.346968,0.811276,-3.176791,-0.323318,0.804266,-3.198458,-0.303995,0.806768,-3.210157,0.092497,0.964635,-2.491624,0.061987,0.922312,-2.480407,0.054411,0.887852,-2.473883,0.078683,0.901113,-2.444489,0.063758,0.867468,-2.442083,0.051668,0.846270,-2.452735,0.101645,0.891680,-2.450973,0.089664,0.854298,-2.449346,0.079936,0.835620,-2.464896,0.120648,0.884884,-2.457352,0.110213,0.848901,-2.457807,0.101756,0.836820,-2.475399,0.138059,0.880978,-2.470001,0.128290,0.849732,-2.472458,0.119216,0.833580,-2.485632,,,
