joint,n,mean_cos_phi,mean_abs_cos_phi,mean_error_norm,frac_abs_cos_lt_0_3
LEFT_ANKLE,21521,0.08729503870327167,0.4894792611692592,0.5422431531783632,0.31095209330421447
LEFT_ELBOW,21521,0.12381943162114158,0.5896000573840119,0.3892315568578503,0.23000789926118675
LEFT_KNEE,21521,0.059011473677834124,0.4827390741379121,0.3304139030115548,0.31420473026346357
LEFT_SHOULDER,21521,0.007433064897470352,0.5267733647490763,0.2915186449083285,0.2820965568514474
LEFT_WRIST,21521,0.07610975961985954,0.5969884784080214,0.4444033293103057,0.2210863807443892
RIGHT_ANKLE,21521,0.05632542395493826,0.4927824824488811,0.5672635519434412,0.3180614283722875
RIGHT_ELBOW,21521,0.13635709096128734,0.579270139522889,0.4016711590877781,0.247293341387482
RIGHT_KNEE,21521,0.05904728664667383,0.4961220491215374,0.33908171858639347,0.29622229450304355
RIGHT_SHOULDER,21521,-0.0094895780824403,0.5254994522015369,0.2788387959856566,0.28028437340272294
RIGHT_WRIST,21521,0.13621719603709095,0.6078241572629479,0.4794773256152977,0.20993448259839226
