folder_name,camera_x,camera_y,camera_z,height_label,azimuth_bin,azimuth_label,D_norm,n_frames,window,k_sigma
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,4.0908080692133435,67,7,3.0
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,3.456779231156367,57,7,3.0
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,2.927349528584689,50,7,3.0
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,1.5063003754689837,28,7,3.0
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,3.7206010698223206,51,7,3.0
CapturedFrames_-1.0_0.5_4.0,-1.0,0.5,4.0,Y=0.5,0,N,3.2657573347171707,52,7,3.0
CapturedFrames_-1.0_0.5_5.0,-1.0,0.5,5.0,Y=0.5,0,N,2.353782916739987,39,7,3.0
CapturedFrames_-1.0_0.5_6.0,-1.0,0.5,6.0,Y=0.5,0,N,0.7333564071336663,14,7,3.0
CapturedFrames_-2.0_0.5_-3.0,-2.0,0.5,-3.0,Y=0.5,5,SW,3.6707111783823305,65,7,3.0
CapturedFrames_-2.0_0.5_-4.0,-2.0,0.5,-4.0,Y=0.5,5,SW,2.94474019637964,51,7,3.0
CapturedFrames_-2.0_0.5_-5.0,-2.0,0.5,-5.0,Y=0.5,4,S,2.533146805984012,46,7,3.0
CapturedFrames_-2.0_0.5_-6.0,-2.0,0.5,-6.0,Y=0.5,4,S,1.6213093945092651,26,7,3.0
CapturedFrames_-2.0_0.5_3.0,-2.0,0.5,3.0,Y=0.5,7,NW,3.6737492134500687,63,7,3.0
CapturedFrames_-2.0_0.5_4.0,-2.0,0.5,4.0,Y=0.5,7,NW,2.9880483776262725,49,7,3.0
CapturedFrames_-2.0_0.5_5.0,-2.0,0.5,5.0,Y=0.5,0,N,1.7795283764059509,29,7,3.0
CapturedFrames_-2.0_0.5_6.0,-2.0,0.5,6.0,Y=0.5,0,N,0.8463147045792129,14,7,3.0
CapturedFrames_-3.0_0.5_-1.0,-3.0,0.5,-1.0,Y=0.5,6,W,4.647307174782618,82,7,3.0
CapturedFrames_-3.0_0.5_-2.0,-3.0,0.5,-2.0,Y=0.5,5,SW,4.878065915834062,86,7,3.0
CapturedFrames_-3.0_0.5_-3.0,-3.0,0.5,-3.0,Y=0.5,5,SW,3.908553001577055,67,7,3.0
CapturedFrames_-3.0_0.5_-4.0,-3.0,0.5,-4.0,Y=0.5,5,SW,3.2250222890959996,54,7,3.0
CapturedFrames_-3.0_0.5_-5.0,-3.0,0.5,-5.0,Y=0.5,5,SW,2.4766462037802253,40,7,3.0
CapturedFrames_-3.0_0.5_-6.0,-3.0,0.5,-6.0,Y=0.5,5,SW,1.2643770079584653,23,7,3.0
CapturedFrames_-3.0_0.5_0.0,-3.0,0.5,0.0,Y=0.5,6,W,4.456047875350645,79,7,3.0
CapturedFrames_-3.0_0.5_1.0,-3.0,0.5,1.0,Y=0.5,6,W,5.231644755395859,93,7,3.0
CapturedFrames_-3.0_0.5_2.0,-3.0,0.5,2.0,Y=0.5,7,NW,4.583371965136039,76,7,3.0
CapturedFrames_-3.0_0.5_3.0,-3.0,0.5,3.0,Y=0.5,7,NW,3.4974754701873176,59,7,3.0
CapturedFrames_-3.0_0.5_4.0,-3.0,0.5,4.0,Y=0.5,7,NW,2.152981052351599,38,7,3.0
CapturedFrames_-3.0_0.5_5.0,-3.0,0.5,5.0,Y=0.5,7,NW,1.542159164718091,25,7,3.0
CapturedFrames_-3.0_0.5_6.0,-3.0,0.5,6.0,Y=0.5,7,NW,0.37926457630920407,7,7,3.0
CapturedFrames_-4.0_0.5_-1.0,-4.0,0.5,-1.0,Y=0.5,6,W,5.655847289679594,99,7,3.0
CapturedFrames_-4.0_0.5_-2.0,-4.0,0.5,-2.0,Y=0.5,5,SW,5.655880906912821,86,7,3.0
CapturedFrames_-4.0_0.5_-3.0,-4.0,0.5,-3.0,Y=0.5,5,SW,4.424798244626641,68,7,3.0
CapturedFrames_-4.0_0.5_-4.0,-4.0,0.5,-4.0,Y=0.5,5,SW,2.647445196998419,47,7,3.0
CapturedFrames_-4.0_0.5_-5.0,-4.0,0.5,-5.0,Y=0.5,5,SW,2.095955833878663,28,7,3.0
CapturedFrames_-4.0_0.5_-6.0,-4.0,0.5,-6.0,Y=0.5,5,SW,0.8132446499602689,14,7,3.0
CapturedFrames_-4.0_0.5_0.0,-4.0,0.5,0.0,Y=0.5,6,W,5.914810825817087,105,7,3.0
CapturedFrames_-4.0_0.5_1.0,-4.0,0.5,1.0,Y=0.5,6,W,5.912875528072361,104,7,3.0
CapturedFrames_-4.0_0.5_2.0,-4.0,0.5,2.0,Y=0.5,7,NW,3.9322262706708524,68,7,3.0
CapturedFrames_-4.0_0.5_3.0,-4.0,0.5,3.0,Y=0.5,7,NW,3.044366782934507,49,7,3.0
CapturedFrames_-4.0_0.5_4.0,-4.0,0.5,4.0,Y=0.5,7,NW,2.3339123468221765,41,7,3.0
CapturedFrames_-4.0_0.5_5.0,-4.0,0.5,5.0,Y=0.5,7,NW,1.2093347935766177,17,7,3.0
CapturedFrames_-4.0_0.5_6.0,-4.0,0.5,6.0,Y=0.5,7,NW,0.3226648421179476,3,7,3.0
CapturedFrames_-5.0_0.5_-1.0,-5.0,0.5,-1.0,Y=0.5,6,W,5.9126786018596516,89,7,3.0
CapturedFrames_-5.0_0.5_-2.0,-5.0,0.5,-2.0,Y=0.5,6,W,4.426331078636572,64,7,3.0
CapturedFrames_-5.0_0.5_-3.0,-5.0,0.5,-3.0,Y=0.5,5,SW,4.067146447466454,42,7,3.0
CapturedFrames_-5.0_0.5_-4.0,-5.0,0.5,-4.0,Y=0.5,5,SW,2.352316671948741,36,7,3.0
CapturedFrames_-5.0_0.5_-5.0,-5.0,0.5,-5.0,Y=0.5,5,SW,0.6987590184834828,11,7,3.0
CapturedFrames_-5.0_0.5_0.0,-5.0,0.5,0.0,Y=0.5,6,W,5.911048613841542,94,7,3.0
CapturedFrames_-5.0_0.5_1.0,-5.0,0.5,1.0,Y=0.5,6,W,5.53500805513786,63,7,3.0
CapturedFrames_-5.0_0.5_2.0,-5.0,0.5,2.0,Y=0.5,6,W,3.0443244373446796,46,7,3.0
CapturedFrames_-5.0_0.5_3.0,-5.0,0.5,3.0,Y=0.5,7,NW,1.3201247500039532,24,7,3.0
CapturedFrames_-5.0_0.5_4.0,-5.0,0.5,4.0,Y=0.5,7,NW,1.2092317819876386,16,7,3.0
CapturedFrames_-5.0_0.5_5.0,-5.0,0.5,5.0,Y=0.5,7,NW,0.9704496882584899,7,7,3.0
CapturedFrames_-6.0_0.5_-1.0,-6.0,0.5,-1.0,Y=0.5,6,W,5.655896698203566,11,7,3.0
CapturedFrames_-6.0_0.5_-2.0,-6.0,0.5,-2.0,Y=0.5,6,W,2.020549913525028,12,7,3.0
CapturedFrames_-6.0_0.5_-3.0,-6.0,0.5,-3.0,Y=0.5,5,SW,2.202772250849597,14,7,3.0
