joint,n,replace_rate,mean_err_before,mean_err_after,mean_los_before,mean_perp_before,mean_dyn_before,mean_dyn_after,dyn_improvement_pct,improvement_pct
LEFT_ANKLE,21502,0.07580690168356433,0.9227916837426348,0.9212200603200074,0.5161338382082518,0.6758052113852879,0.6778777810534033,0.6730146544235711,0.7174046363158669,0.17031183205436462
LEFT_ELBOW,21502,0.0880383220165566,0.6954546929422822,0.6937512722542613,0.48159663026797644,0.4157089327924532,0.5475372833674241,0.5454170535969483,0.387230209682927,0.24493625613686903
LEFT_HIP,21502,0.11938424332620222,,,,,,,,
LEFT_KNEE,21502,0.07994605153009023,0.7034804061750796,0.7023524021037648,0.4223916830722762,0.4878444434978937,0.5770269208576286,0.5745357133455807,0.43173159206250644,0.1603461960579488
LEFT_SHOULDER,21502,0.08375965026509162,0.6941953643808162,0.6926007020278435,0.47012730835931965,0.42913977029984696,0.525179352175727,0.5230493825412013,0.4055699497136786,0.2297137714820418
LEFT_WRIST,21502,0.08929401916100828,0.7168405740503292,0.715115869528117,0.48000916006512906,0.4481287100943476,0.5793186697984384,0.5766209111978419,0.46567782832463167,0.24059806108172288
RIGHT_ANKLE,21502,0.07557436517533253,0.9355555587899553,0.9327209881201088,0.5078171926234958,0.703136030165463,0.68947877305677,0.6839028652954926,0.8087134773644814,0.3029826121190191
RIGHT_ELBOW,21502,0.08134127057948098,0.7031031860029918,0.7021421606893746,0.48341831746204833,0.4190895697550303,0.5488010821902033,0.5467955156431878,0.3654450787544837,0.13668339622814663
RIGHT_HIP,21502,0.1177099804669333,,,,,,,,
RIGHT_KNEE,21502,0.07980652962515115,0.712395801456611,0.710954767186063,0.41277767651218944,0.5054846195029377,0.5893197691605706,0.5867329631440192,0.43894777537092045,0.20228000608672145
RIGHT_SHOULDER,21502,0.0800855734350293,0.6945401087490002,0.6934880994840742,0.45349960882235524,0.4434272988319439,0.5308765754053119,0.5289697449582883,0.3591852674169575,0.15146846836835107
RIGHT_WRIST,21502,0.08571295693423868,0.7330445329764897,0.7317924632509355,0.5034304568880107,0.4457346588293769,0.5723808329883338,0.5693684697090254,0.5262865396070512,0.17080404657958298
