joint,theta_mean,theta_std,theta_min,theta_max,theta_abs_mean,psi_mean,psi_std,psi_min,psi_max,psi_abs_mean,error3d_mean,error3d_std,error3d_min,error3d_max
LEFT_ANKLE,5.74,14.04,-178.59,173.09,11.26,-21.95,105.84,-179.99,179.99,90.56,0.71,0.08,0.13,1.6
LEFT_ELBOW,-57.91,24.05,-178.88,171.62,58.31,24.97,90.6,-179.84,179.98,87.3,0.31,0.06,0.1,0.84
LEFT_KNEE,12.28,18.79,-175.45,170.94,17.37,-0.57,97.92,-179.99,179.95,84.65,0.4,0.04,0.08,0.85
LEFT_SHOULDER,-7.93,11.71,-177.66,179.93,10.36,52.64,86.44,-179.99,179.99,94.06,0.33,0.04,0.03,1.02
LEFT_WRIST,8.97,103.71,-180.0,179.97,84.26,36.89,91.93,-179.97,179.95,88.56,0.36,0.07,0.1,1.08
RIGHT_ANKLE,-7.32,14.46,-179.88,176.91,11.86,51.24,103.09,-179.99,180.0,100.38,0.71,0.09,0.25,1.58
RIGHT_ELBOW,58.86,22.74,-167.82,172.97,59.28,-10.07,94.51,-179.93,179.99,88.56,0.32,0.06,0.11,0.84
RIGHT_KNEE,-13.61,19.08,-177.38,179.24,18.5,19.97,97.49,-179.97,179.95,87.18,0.41,0.04,0.13,0.75
RIGHT_SHOULDER,7.93,10.08,-179.73,179.73,9.29,-35.5,92.0,-179.96,179.96,92.72,0.32,0.04,0.05,1.03
RIGHT_WRIST,-0.61,111.85,-179.98,180.0,91.5,-21.28,99.16,-179.98,180.0,91.55,0.4,0.07,0.12,1.09
