joint,height_bin,height_label,model,bias_mean,bias_median,bias_std,n,reliability_weight
L_Shoulder,0,Y=0.5,Model3_HeightWise,36.658083169410126,36.65638607142554,6.407280324667721,81,0.5408218687455222
R_Shoulder,0,Y=0.5,Model3_HeightWise,34.20747277325994,34.41210654296955,6.2486446616332145,83,0.5525281635697262
L_Elbow,0,Y=0.5,Model3_HeightWise,15.10661525367103,15.149376069565754,7.936411044344792,81,0.5139463783263932
R_Elbow,0,Y=0.5,Model3_HeightWise,13.936395626788935,9.10226841055307,9.018800238178674,83,0.5037932107074106
L_Hip,0,Y=0.5,Model3_HeightWise,13.111153467504803,13.119608160083615,4.982192320075044,85,0.5853250164295078
R_Hip,0,Y=0.5,Model3_HeightWise,13.67999730910543,13.51658771544167,5.300707654043367,86,0.5834913084448838
L_Knee,0,Y=0.5,Model3_HeightWise,14.370921806555708,13.457242212738304,4.803980181365053,85,0.588812431937619
R_Knee,0,Y=0.5,Model3_HeightWise,13.415776703795872,13.533495353926703,4.595590492978399,86,0.5973680731982294
L_Shoulder,1,Y=1.0,Model3_HeightWise,35.07784468099808,33.8372908304502,7.419158737487921,100,0.5947305934086108
R_Shoulder,1,Y=1.0,Model3_HeightWise,33.23311903635615,33.541791664545336,5.9539816531438765,99,0.6210277180950252
L_Elbow,1,Y=1.0,Model3_HeightWise,14.336361863487157,14.409818705311913,7.08597533230128,100,0.6013725537962848
R_Elbow,1,Y=1.0,Model3_HeightWise,13.159507900882257,8.120554281193874,9.217209203330967,99,0.5570201771060207
L_Hip,1,Y=1.0,Model3_HeightWise,18.1792159780144,18.349225279453833,7.080417143233608,102,0.6080172571668406
R_Hip,1,Y=1.0,Model3_HeightWise,17.69643107794472,18.391831042944922,5.51044713241715,102,0.6406835150717878
L_Knee,1,Y=1.0,Model3_HeightWise,14.8925431508415,14.111923654906963,4.876595201961125,102,0.6543641471578656
R_Knee,1,Y=1.0,Model3_HeightWise,13.947781271642606,14.218870906315507,4.225777774034491,102,0.6687149667711569
L_Shoulder,2,Y=1.5,Model3_HeightWise,36.54055971106467,35.9696191209542,8.552701729920324,79,0.4950883916992579
R_Shoulder,2,Y=1.5,Model3_HeightWise,33.855969473429006,34.039036862493056,6.160542963102361,78,0.5315389337425621
L_Elbow,2,Y=1.5,Model3_HeightWise,15.583531413417157,15.910155458714888,8.038469822330239,79,0.5036478831202775
R_Elbow,2,Y=1.5,Model3_HeightWise,14.685331508925987,10.146749895161214,9.464296210496457,78,0.4761111519281455
L_Hip,2,Y=1.5,Model3_HeightWise,22.9206936810743,22.78850701993612,9.272061971468567,81,0.49156650471093305
R_Hip,2,Y=1.5,Model3_HeightWise,22.99094745689537,23.91296600598298,7.800910210234571,81,0.5162729673820904
L_Knee,2,Y=1.5,Model3_HeightWise,14.237649670731251,13.8377800436267,5.219009926424397,81,0.5626731871486823
R_Knee,2,Y=1.5,Model3_HeightWise,14.575667194337013,13.990198951189145,4.709413075979053,81,0.5723127093339772
L_Shoulder,3,Y=2.0,Model3_HeightWise,37.86694849709946,37.29531173108851,8.386373724291134,78,0.49352923091624545
R_Shoulder,3,Y=2.0,Model3_HeightWise,36.167230269406886,35.65500864074564,8.349997405347027,78,0.494128019762183
L_Elbow,3,Y=2.0,Model3_HeightWise,16.84753753467667,13.850115330768443,10.02631330570286,78,0.46727476019449854
R_Elbow,3,Y=2.0,Model3_HeightWise,18.033015531435026,13.806594899713833,11.085916724368714,78,0.45105862605018415
L_Hip,3,Y=2.0,Model3_HeightWise,28.243064363503027,28.660341541570226,11.625165115350276,80,0.4507135623579162
R_Hip,3,Y=2.0,Model3_HeightWise,28.103460146356316,29.381303985608007,9.21811923108014,79,0.4842279332581087
L_Knee,3,Y=2.0,Model3_HeightWise,14.83338381995463,13.969805619956965,6.261280473408582,80,0.5389528960617197
R_Knee,3,Y=2.0,Model3_HeightWise,14.878267916807959,14.128600980248686,4.592563058886283,79,0.5649520939509917
