joint,metric,height_bin,azimuth_bin,height_label,n_azimuth,n_distance,model,bias_mean,bias_median,bias_std,n,reliability_weight
L_Shoulder,angle_mae,0,0,Y=0.5,8,1,Model4_ViewBin,32.3285079234654,31.074357228632813,6.933041803808929,12,0.09478454914805504
R_Shoulder,angle_mae,0,0,Y=0.5,8,1,Model4_ViewBin,29.139272806943346,28.35999245441094,2.5955765172067715,11,0.10047803677500003
L_Elbow,angle_mae,0,0,Y=0.5,8,1,Model4_ViewBin,15.258933071902677,15.794021372289116,6.070192623701348,12,0.09755029114574405
R_Elbow,angle_mae,0,0,Y=0.5,8,1,Model4_ViewBin,7.689016430141072,8.403035341685303,1.5034743159883994,11,0.10420317204754327
L_Hip,angle_mae,0,0,Y=0.5,8,1,Model4_ViewBin,9.892478072832796,9.508788497074494,3.6212180829336567,12,0.10584762250399068
R_Hip,angle_mae,0,0,Y=0.5,8,1,Model4_ViewBin,9.932403434628933,9.670409149421765,2.283943472532629,12,0.11067260701822114
L_Knee,angle_mae,0,0,Y=0.5,8,1,Model4_ViewBin,16.184516435811243,15.975767150570233,4.764344283694793,12,0.10189025774721351
R_Knee,angle_mae,0,0,Y=0.5,8,1,Model4_ViewBin,18.1000080926428,20.00922209217917,3.956759708932527,12,0.10467034243926114
L_Shoulder,angle_mae,0,1,Y=0.5,8,1,Model4_ViewBin,41.429062515839284,42.98420270645814,6.133084425865826,13,0.10537096024944229
R_Shoulder,angle_mae,0,1,Y=0.5,8,1,Model4_ViewBin,35.719696055862165,35.149997324116995,3.3788762658863387,11,0.09788850945672974
L_Elbow,angle_mae,0,1,Y=0.5,8,1,Model4_ViewBin,14.560859657779828,15.149376069565754,2.6283497418508888,13,0.1184287564232611
R_Elbow,angle_mae,0,1,Y=0.5,8,1,Model4_ViewBin,15.00969148043295,12.084919604448537,9.646401981411012,11,0.07943282124048363
L_Hip,angle_mae,0,1,Y=0.5,8,1,Model4_ViewBin,10.664878719192386,10.80363379432286,3.4249529376592376,13,0.11532544963607558
