height_bin,azimuth_bin,n_calib,n_test,covered_by_test
0,0,12,4,False
0,1,14,2,False
0,2,12,3,False
0,3,10,2,False
0,4,11,4,False
0,5,13,4,False
0,6,12,2,False
0,7,11,4,False
1,0,15,2,False
1,1,13,2,False
1,2,13,4,False
1,3,17,1,False
1,4,15,1,False
1,5,15,3,False
1,6,13,3,False
1,7,13,1,False
2,0,13,3,False
2,1,14,2,False
2,2,13,2,False
2,3,10,6,True
2,4,13,0,False
2,5,15,0,False
2,6,14,0,False
2,7,9,4,False
3,0,8,5,True
3,1,14,3,False
3,2,11,2,False
3,3,12,3,False
3,4,12,3,False
3,5,12,2,False
3,6,14,4,False
3,7,10,6,True
