height_bin,azimuth_bin,mean_r2,min_r2,mean_n,low_r2_cnt,total_cnt,low_r2_pct
0,0,0.7618144244250924,0.4252221326955443,11.75,2,8,25.0
0,1,0.6575263611264244,0.3843976197489124,12.75,5,8,62.5
0,2,0.6717582299471268,0.3061412688676411,12.0,4,8,50.0
0,3,0.7116501948787475,0.3566102458344365,9.0,3,8,37.5
0,4,0.6976048394803265,0.3650072756381396,10.25,2,8,25.0
0,5,0.8117020321346604,0.4772868432812911,8.75,1,8,12.5
0,6,0.603923828378732,0.2440741872615174,9.75,5,8,62.5
0,7,0.7255845360215226,0.4269279038664828,10.0,4,8,50.0
1,0,0.7187695543550968,0.2392220841350328,14.0,2,8,25.0
1,1,0.7756112875799693,0.427630250857077,11.5,3,8,37.5
1,2,0.6342803873397301,0.2054184873635108,12.0,3,8,37.5
1,3,0.7005387776707728,0.4718712343679939,15.0,4,8,50.0
1,4,0.74426942963786,0.5579086062230048,13.75,3,8,37.5
1,5,0.6344196220781716,0.4541663478533531,10.0,6,8,75.0
1,6,0.6796032102746243,0.4539660782937899,11.75,5,8,62.5
1,7,0.6127636173206195,0.2392699826299853,12.0,5,8,62.5
2,0,0.7727827216881289,0.3640524721407385,11.75,2,8,25.0
2,1,0.663925596312835,0.1952979790147433,12.75,3,8,37.5
2,2,0.7343216777638302,0.3998202523347922,12.0,3,8,37.5
2,3,0.8214755844904147,0.5697176137927127,9.0,2,8,25.0
2,4,0.7275325944248561,0.5633747717133337,10.5,4,8,50.0
2,5,0.7311581875427018,0.2675578238622597,8.0,3,8,37.5
2,6,0.5492199515496687,0.0735927319949095,11.5,5,8,62.5
2,7,0.8418037405005822,0.4894721280764224,7.0,2,8,25.0
3,0,0.8431800824338843,0.6705764625701064,7.0,2,8,25.0
3,1,0.6979081548289396,0.2128326240487401,12.75,3,8,37.5
3,2,0.7551815401584441,0.2731240157025427,11.0,2,8,25.0
3,3,0.7434113646985855,0.1639803612624323,12.0,2,8,25.0
3,4,0.7709170249450558,0.6149105468932884,10.75,3,8,37.5
3,5,0.7619854566069911,0.590400321058794,8.0,2,6,33.33333333333333
3,6,0.6265135557087695,0.0665842208432869,12.5,5,8,62.5
3,7,0.794170698183677,0.4157139913706422,8.875,1,8,12.5
