n_azimuth,n_distance,min_samples,regularize,e_calib,e_val,gen_gap,n_bins,n_small_bins,score
4,1,5,0.0,22.323789717463335,22.440156393132824,0.11636667566948944,128,0,23.77833973096757
4,1,10,0.0,22.323789717463335,22.440156393132824,0.11636667566948944,128,0,23.77833973096757
8,1,5,0.0,24.499578768470784,24.61890036128776,0.11932159281697707,256,0,27.23856115769625
4,2,5,0.0,24.483847263422646,24.553703131473625,0.0698558680509791,256,4,27.548631065499112
4,1,20,0.0,23.14769445398442,23.72365424456358,0.5759597905791587,128,31,28.39163413985316
12,1,5,0.0,25.264705328391816,25.38402672653138,0.1193213981395651,384,42,33.48368742560116
4,2,10,0.0,24.81368325497906,24.94045771605551,0.1267744610764474,256,74,34.96384494659373
8,1,10,0.0,24.893163937016592,25.278059821785853,0.38489588476926073,256,70,35.03050776417048
8,2,5,0.0,25.75107013351424,25.98327522179839,0.2322050882841502,512,152,46.41937776594047
16,1,5,0.0,25.83772900121496,26.031276014678927,0.19354701346396652,512,200,51.248049521410906
4,2,20,0.0,27.015975700603967,26.913629812200853,-0.10234588840311432,256,256,55.022456867999296
8,1,20,0.0,27.015975700603967,26.913629812200853,-0.10234588840311432,256,256,55.022456867999296
12,1,10,0.0,26.377293181269742,26.49498692939062,0.11769374812087818,384,310,61.39383380345106
12,1,20,0.0,27.015975700603967,26.913629812200853,-0.10234588840311432,384,384,69.10245686799931
16,1,10,0.0,26.96439010976738,26.913629812200853,-0.05076029756652645,512,506,82.60824966341758
16,1,20,0.0,27.015975700603967,26.913629812200853,-0.10234588840311432,512,512,83.18245686799929
8,2,20,0.0,27.015975700603967,26.913629812200853,-0.10234588840311432,512,512,83.18245686799929
8,2,10,0.0,27.015975700603967,26.913629812200853,-0.10234588840311432,512,512,83.18245686799929
12,2,5,0.0,26.359025494498844,26.42629781894578,0.06727232444693598,768,535,87.63993398116925
12,2,20,0.0,27.015975700603967,26.913629812200853,-0.10234588840311432,768,768,111.3424568679993
12,2,10,0.0,27.015975700603967,26.913629812200853,-0.10234588840311432,768,768,111.3424568679993
16,2,5,0.0,26.71170044521117,26.764487901417034,0.05278745620586278,1008,890,125.87088162951997
16,2,10,0.0,27.015975700603967,26.913629812200853,-0.10234588840311432,1008,1008,137.7424568679993
16,2,20,0.0,27.015975700603967,26.913629812200853,-0.10234588840311432,1008,1008,137.7424568679993
