frame,gt,mp,corr
0,168.94276922230853,128.1058600184186,106.90541218728595
1,168.9946327660108,132.24083118837126,111.0403833572386
2,169.2279360271721,,
3,169.83237875284425,,
4,170.99977288000792,,
5,172.83846715763596,,
6,174.8362482678155,,
7,175.85518049514764,,
8,175.5490754044306,,
9,174.30051014503692,,
10,172.3430639827004,,
11,169.9100870778716,,
12,167.18854811461017,,
13,164.14727429868287,,
14,160.49414686284229,,
15,155.89709082766282,,
16,149.9689499395347,,
17,142.88879055850475,,
18,136.02085171612023,,
19,130.12578060374688,,
20,125.23358700965584,131.19294588942537,109.99249805829271
21,122.24719205271181,119.64771048622357,98.44726265509091
22,121.5492104051131,115.75576148358057,94.55531365244791
23,122.71178425739957,113.1466651867765,91.94621735564384
24,125.64561144222854,106.26238522884469,85.06193739771203
25,130.75629590635722,102.80968804545688,81.60924021432422
26,138.49729313738436,102.22391574713963,81.02346791600696
27,148.13298547868322,110.40705484145306,89.2066070103204
28,156.9756474679859,117.66355571052547,96.46310787939281
29,163.36183529784074,124.32061020222216,103.12016237108949
30,167.36210365883392,,
31,168.94241740578468,,
32,168.99440288740772,,
33,169.2276692114071,,
34,169.83255853208078,,
35,170.9998883303984,,
36,172.83846715763596,,
37,174.8362829440473,,
38,175.85537266025267,,
39,175.54891673726306,,
40,174.3005075810855,,
41,172.34311581646745,,
42,169.91003612971633,,
43,167.18855104873901,,
44,164.14708670012564,,
45,160.4943619748122,,
46,155.89734669748205,,
47,149.96891769473214,,
49,136.02086994823256,,
50,130.1256191612907,,
51,125.23405177354205,,
52,122.24764063476127,,
53,121.5493253998187,117.07427748868082,95.87382965754816
54,122.71187346540238,,
55,125.64502796908313,108.0416281592856,86.84118032815293
56,130.7561822109455,102.63971589966212,81.43926806852946
57,138.49726001526255,104.34257235464608,83.14212452351342
58,148.1327591389168,107.89533193994065,86.69488410880798
59,156.97543185183238,118.00659736500234,96.80614953386967
60,163.36180367036923,,
61,167.36226256460782,,
62,168.94270616276225,,
63,168.99452966928402,,
64,169.2278463987015,,
65,169.83231265534178,,
66,170.99997759074475,,
67,172.838227830482,,
68,174.83621496988388,,
69,175.85547453158512,145.71099705185094,124.51054922071827
70,175.5491746987798,140.70394937129936,119.5035015401667
71,174.3002767879028,140.51478902175748,119.31434119062482
72,172.3430681440275,139.48995849346568,118.28951066233302
73,169.91035446663022,139.62977381111082,118.42932597997816
74,167.18893366192964,,
75,164.14745326120402,,
76,160.49436665023433,,
77,155.8973011342311,,
78,149.9690190274491,,
79,142.88895367414946,,
80,136.02130005880366,,
81,130.126257125155,,
82,125.23420848716631,,
83,122.24753744165714,,
84,121.54932563669104,,
85,122.71175275588129,,
86,125.64496561883058,,
87,130.75596052165417,,
89,148.13226490742161,,
90,156.9752951794047,,
91,163.36155811553473,,
92,167.36249304256998,,
93,168.94241664584519,,
94,168.99485411699527,,
95,169.2275795810995,,
96,169.83243496205824,,
97,170.99996806521938,,
98,172.83827607346308,159.42452393819744,138.22407610706477
99,174.83598014807006,158.6709885826874,137.47054075155472
100,175.8553179415168,160.35656243929765,139.15611460816498
101,175.54914099109587,162.3701687649813,141.16972093384862
102,174.30044024529815,160.24574957170518,139.0453017405725
103,172.34282280032312,156.2035673308851,135.00311949975244
104,169.91009669632777,159.91686248062382,138.71641464949116
105,167.1890802562085,158.46009973403181,137.25965190289915
106,164.14726202727223,168.56053421506596,147.3600863839333
