frame,gt,mp,corr
0,125.48556366723673,144.0657356190249,127.51199567396057
1,141.52386270691267,134.86133855615608,118.30759861109175
2,158.55326452410515,131.38728490396025,114.83354495889591
3,168.54130427652754,129.59180941863468,113.03806947357035
4,171.40964821315606,136.06668024344816,119.51294029838382
5,170.15415772131865,148.48002988394734,131.926289938883
6,169.63048197229182,154.8059068037404,138.25216685867608
7,168.76830131940855,154.66643627550917,138.11269633044483
8,165.03126034658118,155.66212513428871,139.10838518922438
9,155.26018578770655,159.1527531092794,142.59901316421505
10,144.4254199079436,159.01858178096478,142.46484183590044
11,139.69260681429893,155.99381065073968,139.44007070567534
12,138.83734737046072,157.80356561947534,141.249825674411
13,141.02086373265203,140.08462723885995,123.53088729379562
14,145.03482729442442,143.5444760457621,126.99073610069777
15,149.84821794725787,146.88625035491262,130.33251040984828
16,155.06938467394266,159.41915093497934,142.865410989915
17,159.76956294507715,159.07717419729565,142.5234342522313
18,163.62948421402368,,
19,166.457652913084,146.85991843235132,130.30617848728699
20,168.71086308501248,169.67566934156005,153.12192939649572
21,171.6342053618177,175.11863798433998,158.56489803927565
22,171.03313173577016,175.06415151042225,158.5104115653579
23,166.50529833407833,175.32360363272542,158.7698636876611
24,156.99727356678008,174.70294752527798,158.14920758021364
25,141.72485889814305,178.59948405235573,162.0457441072914
26,125.00959872974548,173.05538659678095,156.5016466517166
27,112.83196719047646,164.574618151967,148.02087820690267
28,107.3400249511811,148.89879995807314,132.3450600130088
29,108.1747146507123,145.46362396412115,128.90988401905682
30,114.4033118779168,136.31630648192643,119.7625665368621
31,125.48549848962308,144.1944290515612,127.64068910649686
32,141.52358156642737,156.44684746462588,139.89310751956154
33,158.55291916144634,140.43925210768253,123.8855121626182
34,168.5414247241628,146.12624347053702,129.57250352547268
35,171.4095865078228,161.99808298476543,145.4443430397011
36,170.15404471741525,167.8075650197774,151.25382507471306
37,169.6303626558422,169.22332479368194,152.6695848486176
38,168.76818459751254,163.00696174281148,146.45322179774715
39,165.03138913326333,166.16654015031855,149.61280020525422
40,155.26044606316495,163.47996286063312,146.9262229155688
41,144.42546851695656,163.12415175790625,146.5704118128419
42,139.69257358650302,164.99713655794983,148.4433966128855
43,138.837430289417,162.58532364882046,146.03158370375613
44,141.02080822572978,159.68332780403276,143.12958785896842
45,145.0348272944244,160.75307573134467,144.19933578628033
46,149.84810174127927,158.38041353670536,141.82667359164103
47,155.0692234465724,158.08426983542378,141.53052989035945
49,163.6291973938796,,
50,166.45742326911957,,
51,168.71085155412553,173.57584268279433,157.02210273773
52,171.6341932820433,171.89846629396527,155.34472634890093
53,171.03322226656476,174.9137420769016,158.36000213183726
54,166.50560603532068,176.5326869137427,159.97894696867837
55,156.99773949033664,176.4272768853115,159.87353694024716
56,141.72534617453672,175.69334537371765,159.1396054286533
57,125.01019386991945,172.60950834949307,156.05576840442873
58,112.83212313661423,169.15091389975996,152.59717395469562
59,107.34000591919555,158.41883411831967,141.86509417325533
60,108.17470551557788,152.74284347834478,136.18910353328044
61,114.40318817065435,147.04126868065634,130.487528735592
62,125.48502578069478,138.58627154741663,122.0325316023523
63,141.5228784691201,148.254862245676,131.70112230061167
64,158.5525342178331,,
65,168.5410441047227,,
66,171.40991413870074,,
67,170.15415772131854,167.3472821582172,150.79354221315288
68,169.63042134307014,169.4068049867027,152.85306504163836
69,168.76836722581726,173.29019323500012,156.73645328993578
70,165.03151791974642,175.6155086459346,159.06176870087026
71,155.261125748077,171.16334213605805,154.6096021909937
72,144.42549172430154,173.3883063123994,156.83456636733507
73,139.6927606593048,172.87039198994688,156.31665204488255
74,138.83744377666002,169.42433679612483,152.8705968510605
75,141.0207114391907,162.26840277132564,145.7146628262613
76,145.0343457483845,160.2524676040507,143.69872765898637
77,149.8478958117726,,
78,155.06861865044428,,
79,159.76930474480287,,
80,163.62905856314907,159.03783947891083,142.4840995338465
81,166.4572833186606,172.09570311805697,155.54196317299264
82,168.7107120307293,170.6341884513093,154.08044850624498
83,171.63431962483548,173.89303618009,157.33929623502567
84,171.03320854238027,173.9167202631308,157.36298031806646
85,166.50566287027792,176.2612536488152,159.70751370375086
86,156.9981616699018,176.5561372120787,160.00239726701437
87,141.7260694244996,175.228286127461,158.67454618239665
89,112.83241208919917,166.17185531367306,149.61811536860873
90,107.34017758131453,160.96792812623022,144.41418818116588
91,108.17442842396459,150.00057059618854,133.4468306511242
92,114.40289780560836,153.37177178819178,136.81803184312744
93,125.48479379971224,144.5353779604794,127.98163801541506
94,141.52242323129755,,
95,158.55223368950442,162.89790933921688,146.34416939415254
96,168.54088990817257,166.55638963574833,150.002649690684
97,171.40991413870083,172.50166428522706,155.94792434016273
98,170.1541772599616,175.53105807252328,158.97731812745894
99,169.63017218684615,178.46791309769338,161.91417315262905
100,168.76837143433275,177.62348810449257,161.06974815942823
101,165.031679263088,177.5708540569358,161.01711411187145
102,155.26094851214293,175.79862850712806,159.24488856206372
103,144.42565192070762,174.1667238660239,157.61298392095955
104,139.69253916988822,175.5352313052237,158.98149136015937
105,138.83725332563682,171.72646457739322,155.17272463232888
106,141.0206849926143,158.00538323327015,141.45164328820582
