frame,gt,mp,corr
0,163.7626931790706,148.37822672003773,133.73149279418018
1,163.7626931790706,147.3796768904778,132.73294296462026
2,166.16556140881164,153.36319430221593,138.71646037635838
3,166.17678955972232,159.97087564905632,145.32414172319878
4,166.29521941617514,164.25741336342688,149.61067943756933
5,166.70170104265114,162.33816382821968,147.69142990236213
6,167.57386141617837,163.0320761874933,148.38534226163574
7,169.0743571729552,162.60986205260264,147.9631281267451
8,171.11472354046168,166.5824260009428,151.93569207508526
9,172.47654882888867,168.88425218180154,154.237518255944
10,172.534289479476,168.66145716661913,154.01472324076158
11,171.71200993643527,154.54451078252845,139.8977768566709
12,170.1451783105147,146.54213017958836,131.8953962537308
13,167.9986863278996,142.63415968656886,127.98742576071132
14,165.48583121234262,137.26598328538262,122.61924935952507
15,162.71782929867865,131.9318437782421,117.28510985238455
16,159.4436617856697,138.80281514705968,124.15608122120213
17,155.33650661159956,142.058637443359,127.41190351750146
18,150.0651769951346,143.6755092692645,129.02877534340695
19,143.17315821927903,144.19577868730457,129.54904476144702
20,135.92623831332918,140.5060538313827,125.85931990552515
21,129.81863422329644,135.1161021512188,120.46936822536125
22,124.37635129098248,135.91087636248412,121.26414243662657
23,120.50724681272264,137.50483237732897,122.85809845147142
24,119.08592654745655,138.59021136318285,123.9434774373253
25,119.65254085301213,137.22181309614982,122.57507917029227
26,121.8498275455605,131.41307888602856,116.76634496017101
27,126.04741355983235,136.76180436607794,122.11507044022039
28,132.7053809392705,142.89988891040892,128.25315498455137
29,142.20432871043926,148.96146937675988,134.31473545090233
30,151.87035026619878,143.8252877101439,129.17855378428635
31,159.02361972825776,134.56926367996735,119.9225297541098
32,163.7626553566351,140.88240296807226,126.23566904221471
33,166.1654715309281,140.52039527319934,125.8736613473418
34,166.17684969676333,142.0222838529861,127.37554992712856
35,166.2952447405208,142.96192400898732,128.31519008312978
36,166.7014771252009,146.71740706471297,132.07067313885543
37,167.5736642800716,149.48574450576749,134.83901057990994
38,169.07417741823957,157.43362400606492,142.78689008020737
39,171.11485382633518,155.47701233984893,140.83027841399138
40,172.4764833324479,151.80875083334007,137.16201690748252
41,172.53440062996734,149.53357940903885,134.8868454831813
42,171.71202363208616,146.0221690666069,131.37543514074935
43,170.144876233589,140.38363647930993,125.73690255345238
44,167.99868695694838,140.75914756400593,126.11241363814838
45,165.48607322325773,137.1876280635083,122.54089413765075
46,162.71780137395925,149.22729631162707,134.58056238576953
47,159.44348648905034,156.75012362126583,142.10338969540828
48,155.33632505843553,160.6308483826207,145.98411445676317
50,143.17311474608718,155.15167299227355,140.504939066416
51,135.92644860724667,156.4346032480042,141.78786932214666
52,129.81846751683926,165.6743494589119,151.02761553305436
57,121.84999152323485,147.41331852779118,132.76658460193363
58,126.04708785459582,154.69736833162204,140.0506344057645
61,151.87026388405073,155.54441903936544,140.8976851135079
62,159.02346384841,153.82943092555428,139.18269699969673
