frame,gt,mp,corr
0,163.74888139387738,167.31263909452196,157.2929113907915
1,163.74888139387738,171.8267036561957,161.80697595246522
2,166.16549091514386,176.10590181414057,166.0861741104101
3,166.17634028061258,173.56473623094826,163.5450085272178
4,166.29303043881157,173.99999743044086,163.9802697267104
5,166.69667878446157,175.68140659090216,165.6616788871717
7,169.06282066422904,176.17608983893524,166.15636213520477
8,171.10676900268516,174.7534592155018,164.73373151177134
9,172.47608292457286,179.43932181485357,169.4195941111231
10,172.53895598982717,163.95950189188918,153.9397741881587
11,171.72053094033927,164.53135542449067,154.5116277207602
12,170.1569043765174,169.96152470726798,159.94179700353752
13,168.012787529556,169.01733816003284,158.99761045630237
14,165.501353293956,165.72780048667087,155.7080727829404
15,162.7364746444562,170.4828901240402,160.46316242030974
16,159.46601894623475,168.76377977735876,158.7440520736283
17,155.36578061371037,162.25830935370587,152.2385816499754
18,150.10359440954758,158.01611943959327,147.9963917358628
19,143.21410213540366,148.21990107961466,138.2001733758842
20,135.96092053901887,141.1774213931535,131.15769368942304
21,129.8492595363319,129.35400588205698,119.33427817832651
22,124.3985213178572,114.42559899521028,104.40587129147983
23,120.51526403920543,113.91683683270985,103.8971091289794
24,119.08295356199474,114.62674060905847,104.60701290532802
25,119.640435934363,119.31156710588132,109.29183940215086
26,121.82671176595558,121.78422436346861,111.76449665973814
27,126.00972104553144,131.1157823840544,121.09605468032393
28,132.6516448348676,140.32619596694528,130.3064682632148
29,142.14959471704347,145.36629675327399,135.34656904954352
30,151.82946913909538,151.48051296710474,141.46078526337428
31,158.99673395937918,167.22017764407596,157.2004499403455
32,163.74862087930993,170.5293812971026,160.50965359337212
33,166.16540780385247,173.2796630654522,163.25993536172174
34,166.17633042552066,175.0991672126458,165.07943950891533
35,166.29273647115647,173.50596639166787,163.4862386879374
36,166.69677053436456,172.8642559987569,162.84452829502644
37,167.56542484789838,170.5491918116964,160.52946410796594
38,169.06246253761967,175.4859921371446,165.46626443341412
39,171.1067690026851,177.40074495069555,167.3810172469651
40,172.47595204616937,176.89705331176899,166.87732560803852
41,172.53865134780835,177.22362799540377,167.2039002916733
42,171.72066877205117,175.73694348510966,165.7172157813792
43,170.15688839665415,173.1106277283805,163.09090002465004
44,168.01298774911368,174.6637252925626,164.64399758883212
45,165.5011609244958,171.0196343331252,160.99990662939473
46,162.73623733884114,159.53996403874226,149.5202363350118
47,159.46643719908008,154.19942879679857,144.1797010930681
48,155.36618755510298,148.45702297771513,138.43729527398466
49,150.10387739399258,141.95088076164367,131.9311530579132
50,143.21433726339214,132.41126275366943,122.39153504993897
51,135.96113374623704,123.8488503759859,113.82912267225544
52,129.84958217907214,124.33853084520922,114.31880314147875
53,124.39880733789008,124.37088235721235,114.3511546534819
54,120.5154038836561,124.2131833435506,114.19345563982014
55,119.08302548659158,125.22657809927544,115.20685039554499
56,119.64043593436305,120.38902082476147,110.369293121031
57,121.82611966479772,121.97984161135676,111.9601139076263
58,126.00967966601215,123.82891674342714,113.80918903969669
59,132.65129808657508,132.61149155032246,122.59176384659199
60,142.14920397106204,139.01596514722087,128.9962374434904
61,151.82920528043894,142.65540675129594,132.63567904756547
62,158.99629330470682,152.50685032005006,142.4871226163196
63,163.74891739141046,166.49207365437945,156.472345950649
64,166.1654852609757,170.33513795648136,160.3154102527509
65,166.17614155736587,173.24063978527283,163.22091208154237
66,166.2928315101536,170.78163084924603,160.76190314551556
67,166.69654642109822,173.5499219344191,163.53019423068864
68,167.5653940862078,172.74538284761712,162.72565514388666
69,169.06258234918164,170.90993294904538,160.89020524531492
70,171.1067690026851,170.9415564591362,160.92182875540573
71,172.47601057803692,171.21450564001975,161.19477793628928
72,172.53907320631833,171.25524053609308,161.23551283236262
73,171.72060263870773,170.93242193201144,160.91269422828097
74,170.15680119752386,165.14311700022228,155.1233892964918
75,168.0127994334893,154.2498187979395,144.23009109420903
76,165.5011139837889,147.77933656816668,137.75960886443622
77,162.73658585423263,145.84003359695998,135.82030589322952
78,159.46662149138527,140.87765222097374,130.85792451724328
79,155.36600599627002,138.97592057877762,128.95619287504715
80,150.10422641109213,138.88963072326237,128.8699030195319
81,143.2144525288311,144.86022346974337,134.8404957660129
82,135.96120868721692,145.62163106785013,135.60190336411966
83,129.84969897564866,138.3308322439125,128.31110454018204
84,124.39881553839012,137.1107956473472,127.09106794361674
85,120.5152965133849,137.4206883493218,127.40096064559134
86,119.08281348684491,134.07227111221073,124.05254340848026
87,119.64042250920775,131.65234719053447,121.632619486804
88,121.82608984379272,132.13668537348138,122.11695766975092
89,126.00951844203405,145.88586745297533,135.86613974924487
90,132.65116948489077,151.7927362968972,141.77300859316674
91,142.14897821992005,149.72927863445187,139.7095509307214
92,151.82925162163536,145.71713755228765,135.6974098485572
93,158.9961682978003,136.1915537711504,126.17182606741994
94,163.748558093183,141.56507453582623,131.54534683209576
95,166.1653439946995,145.450616762845,135.43088905911452
96,166.1762742155995,147.66461448284758,137.64488677911712
97,166.29287118634798,150.7103222576107,140.69059455388023
98,166.69651346279244,150.8618718145496,140.84214411081913
99,167.56539408620773,158.83069318044394,148.81096547671348
100,169.0625968026718,157.70210840280893,147.68238069907846
101,171.10712919344581,157.05089041748897,147.0311627137585
102,172.47626552127264,154.84209057732605,144.82236287359558
103,172.5389534840109,148.24418736144005,138.2244596577096
104,171.7206163335466,147.50551878885585,137.48579108512538
