frame,gt,mp,corr
0,150.4368284193724,169.0062198417884,155.37025296732574
1,150.4368284193724,172.38802281572444,158.75205594126177
2,157.99660156922607,173.96960822916458,160.3336413547019
3,163.625928891262,172.85697518206075,159.22100830759808
4,166.32402758330875,173.68675305733646,160.0507861828738
5,163.9156976995973,174.46283682090976,160.8268699464471
6,161.7585904457528,173.53573287596822,159.89976600150555
7,160.48923420673162,171.73066435666996,158.0946974822073
8,160.27845900153693,170.58799924967926,156.9520323752166
9,161.0003059244467,167.89089109956313,154.25492422510047
10,162.7944306414185,164.3133198880114,150.67735301354872
11,156.7027928688454,162.35869854363955,148.72273166917688
12,141.88521430830795,153.3843088489047,139.74834197444204
13,124.19251486027488,126.36161080692713,112.72564393246446
14,111.19363429762609,111.97246689170332,98.33650001724065
15,104.76020611754878,129.72717758491436,116.09121071045169
16,102.84260195373022,124.84665684145638,111.21068996699371
17,103.81995462253543,146.4852683241084,132.84930144964574
18,107.68610127238773,157.5414210098289,143.90545413536623
19,114.41078813568193,156.91408093509523,143.27811406063256
22,154.94813037585504,168.53453725601366,154.898570381551
23,171.02611714117913,168.05495904594997,154.4189921714873
