frame,gt,mp,corr
0,97.39677396125867,,
1,97.39677396125867,67.94197447741982,26.385375460250835
2,96.78441170982086,89.22413728869489,47.667538271525906
3,95.78543395222866,44.37330516141817,2.8167061442491885
4,94.66476975629939,98.85973088772602,57.30313187055703
5,95.17651109247218,107.52914729396288,65.9725482767939
8,97.02259344358022,105.74807996567222,64.19148094850323
13,94.00129336981252,57.97693858735521,16.420339570186222
19,88.28812484139968,,
20,88.08663964809638,135.37165634088953,93.81505732372054
21,87.83474657196581,144.18216399324825,102.62556497607926
23,87.86340142425287,149.41553784346794,107.85893882629895
26,90.47393986137018,142.321958133974,100.765359116805
28,96.29223617910115,,
38,96.71196155819008,120.97820015913823,79.42160114196923
39,97.02259344358022,131.6336859966798,90.0770869795108
40,95.95705778795772,141.37724316371686,99.82064414654786
41,94.30542445868942,139.17312949901105,97.61653048184206
42,93.73701425676383,140.35225528521423,98.79565626804524
50,88.28869942777843,,
51,88.08662797076583,148.33131504746305,106.77471603029406
53,87.84145134832382,155.60454846205883,114.04794944488984
54,87.86292555859794,152.57678335703613,111.02018433986714
66,94.6648896810179,141.1006249673446,99.54402595017561
67,95.17705476737873,144.51871709889363,102.96211808172464
69,96.71197646835303,152.69000488033737,111.13340586316838
70,97.02291749201868,152.91087497397803,111.35427595680903
71,95.95678521771616,152.88469328610972,111.32809426894073
72,94.30514381316748,131.12363116785576,89.56703215068677
74,94.12421735341285,146.58612439103726,105.02952537386827
101,97.02275676564611,148.86401044965646,107.30741143248747
103,94.3054202980614,148.58677395318796,107.03017493601897
104,93.73701425676394,140.01442830023643,98.45782928306744
