frame,gt,mp,corr
25,80.22710951030244,132.74980369131097,88.51304583366971
26,78.40963919437121,150.30102305779542,106.06426520015415
36,61.806734601044504,,
38,61.39278519980465,,
39,61.06467868175386,,
53,75.46650801040138,135.9949122314092,91.75815437376792
57,78.40944409955075,127.1655574251892,82.92879956754794
68,61.608831080583926,,
70,61.064940620521675,,
71,61.323199155217296,,
98,61.80663265448626,,
99,61.60879976462709,,
100,61.39301012875656,108.89097602304858,64.65421816540731
102,61.32324280790947,110.66111046109948,66.42435260345823
103,62.21397300238413,107.68371100716138,63.44695314952012
104,63.3050957859666,102.40614297422927,58.16938511658801
