frame,gt,mp,corr
0,109.76980740028355,,
1,109.76980740028355,,
2,119.18947395257442,,
3,133.02098115812325,,
4,152.66738875028625,,
5,165.2274045601043,158.27314935711559,145.0102130428371
6,170.76129214112652,160.54871267747595,147.28577636319747
7,169.1082063963044,158.52816268609007,145.2652263718116
8,168.57108869206675,160.05407842750324,146.79114211322477
9,168.08779758448978,163.89757072057364,150.63463440629516
10,166.61560728742947,153.55931714648705,140.29638083220857
11,159.18138767031226,143.89255121311658,130.6296148988381
12,145.65267733192374,145.1697688460301,131.90683253175163
13,139.37124462502368,144.44409094707734,131.18115463279887
14,137.234906377326,148.97668912076622,135.71375280648775
15,138.51585886312574,133.0073291046409,119.74439279036243
16,142.19364457189934,148.34916844578208,135.0862321315036
17,146.75140879971596,147.9812469787825,134.71831066450403
18,151.96689623536295,159.885842109946,146.62290579566752
19,157.16201670244317,162.87896325584978,149.6160269415713
20,160.9978461744618,169.5414306208155,156.27849430653703
21,164.84188301958633,165.28583786376262,152.02290154948415
22,165.9354030835241,168.02032604206838,154.7573897277899
23,170.0433665055121,172.27845158552716,159.0155152712487
24,170.88774874624738,164.88760291865685,151.62466660437838
25,167.89862109431235,160.39891393076823,147.13597761648975
26,160.94126013144583,153.79156060010303,140.52862428582455
27,147.32037783923576,142.2403572296095,128.977420915331
28,129.39825940742244,138.3671163330364,125.10418001875793
29,114.74708318444345,131.5953050526575,118.33236873837903
30,106.71372683512293,141.24204414381705,127.97910782953859
31,105.46320905255044,141.3563389775052,128.09340266322673
32,109.76959259714637,145.39356224635787,132.1306259320794
33,119.18907672910485,153.075728996185,139.81279268190653
34,133.02059511938037,165.4516338259902,152.18869751171172
35,152.66712704688877,171.36130874400612,158.09837242972765
36,165.22730672743046,174.23369933465395,160.97076302037547
37,170.76147848410884,170.5658666144104,157.30293030013192
38,169.108423251404,168.675682987649,155.41274667337052
39,168.57108869206675,168.3616278501991,155.09869153592064
40,168.0879669036288,167.88414033504964,154.62120402077116
41,166.61578212492577,165.50275531735485,152.23981900307638
42,159.1819216284961,161.46319623609745,148.20025992181897
43,145.65265070747773,154.54119934532073,141.27826303104226
44,139.37150501476725,156.69311072243605,143.43017440815757
45,137.2351545213678,156.35532723579053,143.09239092151205
46,138.51581877791628,157.3060102144932,144.04307390021472
47,142.19358644125924,163.9135925849492,150.65065627067074
48,146.7515394250322,167.7204554166155,154.45751910233702
49,151.96664616405485,168.90260600364022,155.63966968936174
50,157.16175364264913,173.50889094316494,160.24595462888647
51,160.99763876077986,174.38330740394633,161.12037108966786
52,164.84188830432154,174.6565899225208,161.39365360824232
53,165.93546878760412,173.26929204052817,160.0063557262497
54,170.0434255848281,176.19623954037664,162.93330322609816
55,170.88791059534964,176.10869240279635,162.84575608851787
56,167.89892028960094,169.83221592712815,156.56927961284967
57,160.94168363466375,160.77809994960452,147.51516363532605
58,147.32109698902042,148.95854352422555,135.69560720994707
59,129.39895852637534,147.33607556890536,134.07313925462688
60,114.74740354963868,128.75097954438394,115.48804323010548
61,106.71369300246461,124.86000222053504,111.59706590625657
62,105.46287486101171,149.7528415406544,136.48990522637592
63,109.76937555893647,132.57194339928404,119.30900708500558
64,119.18842858037429,138.88001486511098,125.61707855083252
65,133.0198584496497,156.06524893583352,142.80231262155505
66,152.6665765919395,150.33503681755363,137.07210050327515
67,165.22712683950684,174.03720062745674,160.77426431317826
68,170.76141907088257,174.97705685104245,161.71412053676397
69,169.10819490033103,172.45507181318143,159.19213549890296
70,168.5710460435461,170.3735049702272,157.11056865594873
71,168.08789413142674,170.87774486683793,157.61480855255945
72,166.61604015561892,169.80802958057072,156.54509326629224
73,159.18251413098878,159.61396837258968,146.3510320583112
74,145.65292736735194,148.19213247890576,134.92919616462729
75,139.37146298118657,153.44243180458864,140.17949549031016
76,137.23492680713403,153.1539921893557,139.89105587507723
77,138.51562477349006,157.33085311685562,144.06791680257714
78,142.1932284109459,154.1985971288052,140.93566081452673
79,146.75109882083265,140.6629629568366,127.40002664255813
80,151.96636618735099,166.27042944370427,153.0074931294258
81,157.1617717126587,,
82,160.9976347658753,,
83,164.84193853965215,172.72436165957433,159.46142534529585
84,165.9351935755291,,
85,170.0434865304683,175.51733588585168,162.2543995715732
86,170.88816871109583,174.44189114122906,161.1789548269506
87,167.899027765421,172.41811106324016,159.15517474896168
88,160.94213454230808,161.94124429075242,148.67830797647395
89,147.32163705978206,146.33056440954684,133.06762809526836
90,129.39921000013015,,
91,114.7475870196622,105.51688618470462,92.25394987042615
92,106.71382306012259,103.24298786270892,89.98005154843045
93,105.46300309755702,119.32837949327575,106.06544317899728
94,109.76928365795798,,
95,119.18827747340231,129.13796091309283,115.87502459881436
96,133.01968851406116,,
97,152.666445740019,,
98,165.22700093588836,,
99,170.76140140026175,,
100,169.108423251404,,
101,168.57116810746683,,
102,168.0879153827983,,
103,166.61619588422363,167.6770493579927,154.41411304371422
104,159.18251100994206,149.40557078784795,136.14263447356947
105,145.6528505757219,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
