frame,gt,mp,corr
0,150.33094870836933,,
1,150.33094870836933,,
2,157.91722228516105,,
3,163.58610358329096,,
4,166.3575203503988,,
5,163.94592467071593,,
6,161.77671171025767,,
7,160.49246249734256,,
8,160.2692860727706,,
9,160.97218931305068,,
10,162.87511128240286,,
11,156.9066612425007,,
12,142.13218793711434,,
13,124.3755416011239,,
14,111.28466109771989,,
15,104.78811874360233,,
16,102.83008800644724,,
17,103.76768594758431,,
18,107.59434984003852,,
19,114.26794917648841,,
20,124.6415643465054,,
21,139.51178817201207,,
22,154.71639935413756,,
23,171.0496285668418,,
24,169.20716272073307,,
25,159.31704237018187,,
26,150.16392094157843,,
27,143.55226115999986,,
28,139.47198219552266,,
29,138.2068948124461,,
30,139.91919120406692,,
31,144.1691764397493,,
32,150.33086015510045,,
33,157.91724273819102,,
34,163.58608820319984,,
35,166.35778471093224,,
36,163.94579024008118,,
37,161.77670978401395,,
38,160.4924068191355,,
39,160.26897061661117,,
40,160.97203070551052,,
41,162.87530344385377,,
42,156.90697640994682,,
43,142.1327527271404,,
44,124.37594519064334,,
45,111.28482937376506,,
46,104.78808034858518,,
47,102.83021043207106,,
48,103.76753706569447,,
49,107.59414130455713,,
50,114.26803835958441,,
51,124.64121607112095,,
52,139.51155477726343,,
53,154.7157584547055,,
54,171.04983043511672,,
55,169.20751259007892,,
56,159.31729060213516,,
57,150.16405641318482,,
58,143.55223284323503,,
59,139.47210766918226,,
60,138.20699249239513,,
61,139.9189251433345,,
62,144.168795421175,,
63,150.33048061724162,,
64,157.91698291683863,,
65,163.58586350655276,,
66,166.35782075373362,,
67,163.94581080659452,,
68,161.7767410584874,,
69,160.49263367510432,,
70,160.26886349460975,,
71,160.97207001444187,,
72,162.87549684532155,,
73,156.90769767406172,151.9989173629265,134.68153370701745
74,142.13332680533296,,
75,124.37636736285558,,
76,111.28521288492634,,
77,104.78814393335502,,
78,102.82997403737347,,
79,103.76756314743463,,
80,107.59396816259763,,
81,114.26755737569567,,
82,124.6404574579314,,
83,139.51115035409842,,
84,154.71532728617535,,
85,171.05000544625676,,
86,169.20775467002704,,
87,159.31765372725044,,
88,150.16425151857476,,
89,143.55270002422827,,
90,139.47194000345388,,
91,138.2067100199611,,
92,139.91873903530475,,
93,144.1687489344121,129.50386453078013,112.18648087487108
94,150.33031975620926,117.89963500661189,100.58225135070283
95,157.91673372041114,131.33207125080682,114.01468759489777
96,163.58570455716534,154.40105166318932,137.08366800728027
97,166.35765595363551,153.2068266024317,135.88944294652265
98,163.94597531025263,157.03582932930146,139.7184456733924
99,161.77665472864268,172.17022613933136,154.8528424834223
100,160.49254598802196,164.29732102718376,146.9799373712747
101,160.26901626376102,154.66956604769362,137.35218239178457
102,160.9717887639913,149.74106610426531,132.42368244835626
103,162.8756290066636,148.62992758423636,131.3125439283273
104,156.9081287457577,133.91823058594372,116.60084693003466
105,142.1338892374821,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
