frame,gt,mp,corr
0,157.42722202408098,158.66116591680782,152.59753337139492
1,157.42722202408098,157.2564167166472,151.1927841712343
2,154.36352676532056,147.52896922796785,141.46533668255495
3,151.59288258832663,138.5194020627103,132.4557695172974
4,147.33954047322624,137.73141024894906,131.66777770353616
5,144.5382588924975,139.91584358109458,133.85221103568168
6,143.19795780266242,142.8584652264819,136.794832681069
7,143.12461884927043,143.27599969196413,137.21236714655123
8,144.12072179575506,143.57447712806896,137.51084458265606
9,145.98714821817347,146.3639877147898,140.3003551693769
10,148.52413126642531,146.7257351086261,140.6621025632132
11,151.34901832813375,151.4745850038894,145.4109524584765
12,153.84677518753466,154.5310408691215,148.4674083237086
13,155.86582592550445,161.89137832661345,155.82774578120055
14,158.99289481019125,160.2679511248512,154.2043185794383
15,162.4347360201474,157.9870372112085,151.9234046657956
16,165.13377396401347,159.67474372577217,153.61111118035927
17,166.7306871431039,158.63448731529553,152.57085476988263
18,167.55200430973997,156.49166149082424,150.42802894541134
19,167.59349987140186,155.45551053896142,149.39187799354852
20,167.13992580976392,158.39608417317325,152.33245162776035
21,166.62914411718924,158.1647298643877,152.1010973189748
22,166.28141551245872,156.9890889811873,150.9254564357744
23,166.31409550285795,163.27935722476994,157.21572467935704
24,166.86639607844722,,
25,167.60548556750058,163.51613636196993,157.45250381655703
26,168.04062406126388,154.89919254206583,148.83555999665293
27,167.68537723875562,147.8941642137417,141.8305316683288
28,166.42183382850163,156.33108237181696,150.26744982640406
29,164.5856436183627,157.94470264108276,151.88107009566986
30,162.37713512848873,150.35322910441042,144.28959655899752
31,160.0044104180202,151.86152988738561,145.7978973419727
32,157.42740898012298,154.31767349156468,148.25404094615178
33,154.3634034732932,155.63705872739038,149.57342618197748
34,151.5928527428467,155.4474791032848,149.3838465578719
35,147.33931591448876,,
36,144.53845401231794,,
37,143.1980606681208,,
38,143.12448224144293,,
39,144.12063082481126,,
40,145.9867737593261,,
41,148.52410533069826,,
42,151.34891982049137,,
43,153.84652985709266,,
44,155.86583739921895,,
45,158.99278014050648,,
46,162.43481201396048,,
47,165.13367658124608,,
48,166.73068087970967,,
49,167.55182245287176,,
50,167.59364798301752,,
51,167.13990285072893,,
52,166.6292122337259,,
53,166.2814739391853,,
54,166.3140357697778,,
55,166.86635974768123,,
56,167.60572328348013,,
57,168.04093418255042,,
58,167.68554677079,,
59,166.4216139536239,,
60,164.58580645680937,,
61,162.3775276966099,,
62,160.00467653276732,,
63,157.42776387267483,,
64,154.363745478452,,
65,151.59286884757435,,
66,147.33980152325066,,
67,144.5387002690507,,
68,143.19791100483434,,
69,143.12481143806895,,
70,144.1205623256794,,
71,145.98698283494306,,
72,148.52388599897418,,
73,151.34883803512588,,
74,153.84652713990783,,
75,155.86587106116446,,
76,158.99233839393975,,
77,162.43437648672335,,
78,165.13361072637124,,
79,166.73045034455959,,
80,167.55185759019594,,
81,167.59367867568753,,
82,167.1397106125955,,
83,166.6293691814704,,
84,166.28137898195422,,
85,166.3142137188115,,
86,166.86653522080226,,
87,167.60556812075217,,
88,168.04067785537217,,
89,167.6854180785865,,
90,166.4218571018327,,
91,164.58577511330776,,
92,162.3775693555714,,
93,160.00487011246423,,
94,157.42757513907367,,
95,154.3636510244939,,
96,151.5930210008597,,
97,147.3396339753527,,
98,144.5386429396566,,
99,143.19815575239676,,
100,143.124714973227,,
101,144.12072530733977,,
102,145.98651619648203,,
103,148.52355587533654,,
104,151.34883803512582,,
105,153.84641336288684,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
