frame,gt,mp,corr
0,161.96750843346737,121.7597075127421,103.6545458468342
1,161.96750843346737,122.18228578948063,104.07712412357273
2,165.2645327337012,125.67844621862531,107.57328455271741
3,166.1716811923418,,
4,166.24769656816724,,
5,166.5422918674351,,
6,167.23490537174254,,
7,168.49643894352135,,
8,170.34613054665562,,
9,171.97217969293763,,
10,172.51857009984266,,
11,172.0366782658148,,
12,170.75868847997654,,
13,168.83345692440895,,
14,166.45800396009056,,
15,163.78840806776387,,
16,160.71016828776771,124.35665694564877,106.25149527974085
17,156.92551315353293,123.65812568902439,105.55296402311649
18,152.10463119643845,121.23306741110851,103.1279057452006
19,145.82529583848518,,
20,138.70252125788753,,
21,132.16021004357984,111.46191970634356,93.35675804043566
22,126.45537227456063,110.46254895842233,92.35738729251443
23,121.97511287618562,101.7119054747933,83.6067438088854
24,119.6166493330643,98.30613767132671,80.2009760054188
25,119.42264701227535,100.00317304329604,81.89801137738814
26,120.99107223667211,100.45523444737819,82.35007278147029
27,124.41660960152059,110.71223640328924,92.60707473738134
28,130.1268704516925,117.31544456888348,99.21028290297556
29,138.556473051246,123.7591824353896,105.65402076948169
30,148.18186053672005,,
31,156.3014498310676,,
32,161.96726552650415,,
33,165.2645646118352,,
34,166.17166114689383,,
35,166.247451506126,,
36,166.54207445758541,,
37,167.2347549493627,,
38,168.49655457674845,,
39,170.3457656031088,,
40,171.97223597465702,,
41,172.5187536741259,,
42,172.036780663379,,
43,170.75844309292827,,
44,168.83343925139457,,
45,166.4584452402013,,
46,163.78862021791332,,
47,160.71024804893324,129.74933633177764,111.64417466586974
48,156.9253143113268,,
49,152.10454352581036,,
50,145.82513282877076,,
51,138.70230352371223,121.26022497527893,103.15506330937103
52,132.16012158903854,112.25952565141985,94.15436398551194
53,126.4552332923029,106.54660497739971,88.44144331149181
54,121.97486756985599,102.01161867725557,83.90645701134767
55,119.61695620971729,99.89621102339407,81.79104935748617
56,119.4226470122754,100.42787741962435,82.32271575371644
57,120.99076550462543,103.52465544048387,85.41949377457595
58,124.41675256485865,114.49816451872213,96.39300285281422
59,130.12645697609145,123.8540159563302,105.74885429042229
60,138.5565462614824,,
61,148.18170808067967,,
62,156.30100704023855,,
63,161.96739151333273,,
64,165.26471690071932,,
65,166.17170095419553,,
66,166.2476171642799,,
67,166.54214236755826,,
68,167.23457699318766,,
69,168.49650413730882,,
70,170.34576560310884,,
71,171.97188122989343,,
72,172.518686740332,,
73,172.0366055098492,,
74,170.75867562976174,,
75,168.83338403573293,,
76,166.45821617955343,,
77,163.7885783848971,,
78,160.7102449442705,,
79,156.9256365286519,,
80,152.10494859792084,,
81,145.8256599752428,,
82,138.7028674519298,116.28349796902364,98.17833630311574
83,132.16054090066595,110.84189637130545,92.73673470539754
84,126.45553465713947,107.38812255650411,89.2829608905962
85,121.9750427098408,101.36150023374363,83.25633856783571
86,119.61654475683649,105.42144227096003,87.31628060505213
87,119.42287116729166,106.97118523888736,88.86602357297946
88,120.9908872028437,,
89,124.41639976548664,,
90,130.12641807129066,,
91,138.55590966784672,,
92,148.18131196443932,,
93,156.30113166250746,,
94,161.96719755746344,,
95,165.26425059186786,,
96,166.17187914813655,,
97,166.247552133748,146.70373434466313,128.59857267875523
98,166.54205853368686,141.63638944960175,123.53122778369385
99,167.23495369918817,140.94181221006562,122.83665054415772
100,168.4965041373089,150.2051261937435,132.0999645278356
101,170.34590921016436,141.50574144399087,123.40057977808297
102,171.9719377565756,140.84091878709663,122.73575712118873
103,172.5187536741259,151.00580814570546,132.90064647979756
104,172.03679450310094,151.5075480642001,133.4023863982922
105,170.75879826331075,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
