frame_id,time_sec,Hips_X,Hips_Y,Hips_Z,LeftUpperLeg_X,LeftUpperLeg_Y,LeftUpperLeg_Z,RightUpperLeg_X,RightUpperLeg_Y,RightUpperLeg_Z,LeftLowerLeg_X,LeftLowerLeg_Y,LeftLowerLeg_Z,RightLowerLeg_X,RightLowerLeg_Y,RightLowerLeg_Z,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,RightFoot_X,RightFoot_Y,RightFoot_Z,Spine_X,Spine_Y,Spine_Z,Chest_X,Chest_Y,Chest_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,LeftUpperArm_X,LeftUpperArm_Y,LeftUpperArm_Z,RightUpperArm_X,RightUpperArm_Y,RightUpperArm_Z,LeftLowerArm_X,LeftLowerArm_Y,LeftLowerArm_Z,RightLowerArm_X,RightLowerArm_Y,RightLowerArm_Z,LeftHand_X,LeftHand_Y,LeftHand_Z,RightHand_X,RightHand_Y,RightHand_Z,LeftToes_X,LeftToes_Y,LeftToes_Z,RightToes_X,RightToes_Y,RightToes_Z,LeftEye_X,LeftEye_Y,LeftEye_Z,RightEye_X,RightEye_Y,RightEye_Z,Jaw_X,Jaw_Y,Jaw_Z,LeftThumbProximal_X,LeftThumbProximal_Y,LeftThumbProximal_Z,LeftThumbIntermediate_X,LeftThumbIntermediate_Y,LeftThumbIntermediate_Z,LeftThumbDistal_X,LeftThumbDistal_Y,LeftThumbDistal_Z,LeftIndexProximal_X,LeftIndexProximal_Y,LeftIndexProximal_Z,LeftIndexIntermediate_X,LeftIndexIntermediate_Y,LeftIndexIntermediate_Z,LeftIndexDistal_X,LeftIndexDistal_Y,LeftIndexDistal_Z,LeftMiddleProximal_X,LeftMiddleProximal_Y,LeftMiddleProximal_Z,LeftMiddleIntermediate_X,LeftMiddleIntermediate_Y,LeftMiddleIntermediate_Z,LeftMiddleDistal_X,LeftMiddleDistal_Y,LeftMiddleDistal_Z,LeftRingProximal_X,LeftRingProximal_Y,LeftRingProximal_Z,LeftRingIntermediate_X,LeftRingIntermediate_Y,LeftRingIntermediate_Z,LeftRingDistal_X,LeftRingDistal_Y,LeftRingDistal_Z,LeftLittleProximal_X,LeftLittleProximal_Y,LeftLittleProximal_Z,LeftLittleIntermediate_X,LeftLittleIntermediate_Y,LeftLittleIntermediate_Z,LeftLittleDistal_X,LeftLittleDistal_Y,LeftLittleDistal_Z,RightThumbProximal_X,RightThumbProximal_Y,RightThumbProximal_Z,RightThumbIntermediate_X,RightThumbIntermediate_Y,RightThumbIntermediate_Z,RightThumbDistal_X,RightThumbDistal_Y,RightThumbDistal_Z,RightIndexProximal_X,RightIndexProximal_Y,RightIndexProximal_Z,RightIndexIntermediate_X,RightIndexIntermediate_Y,RightIndexIntermediate_Z,RightIndexDistal_X,RightIndexDistal_Y,RightIndexDistal_Z,RightMiddleProximal_X,RightMiddleProximal_Y,RightMiddleProximal_Z,RightMiddleIntermediate_X,RightMiddleIntermediate_Y,RightMiddleIntermediate_Z,RightMiddleDistal_X,RightMiddleDistal_Y,RightMiddleDistal_Z,RightRingProximal_X,RightRingProximal_Y,RightRingProximal_Z,RightRingIntermediate_X,RightRingIntermediate_Y,RightRingIntermediate_Z,RightRingDistal_X,RightRingDistal_Y,RightRingDistal_Z,RightLittleProximal_X,RightLittleProximal_Y,RightLittleProximal_Z,RightLittleIntermediate_X,RightLittleIntermediate_Y,RightLittleIntermediate_Z,RightLittleDistal_X,RightLittleDistal_Y,RightLittleDistal_Z,UpperChest_X,UpperChest_Y,UpperChest_Z
0,0.000,-0.094456,0.962571,-3.335105,-0.214143,0.963448,-3.342836,0.025231,0.961694,-3.327374,-0.285614,0.557294,-3.173237,0.027181,0.536345,-3.193558,-0.237550,0.270462,-3.471030,0.027325,0.129828,-3.283046,-0.093722,1.079795,-3.333166,-0.096399,1.293628,-3.317878,-0.086678,1.534069,-3.286373,-0.081623,1.630758,-3.248594,-0.123991,1.483318,-3.288794,-0.053303,1.481186,-3.294300,-0.261389,1.429493,-3.265210,0.080423,1.417451,-3.307543,-0.325047,1.146209,-3.274539,0.143310,1.133290,-3.316589,-0.345011,0.870478,-3.215129,0.167912,0.868147,-3.221435,-0.258506,0.097334,-3.430119,0.046186,0.045473,-3.126156,,,,,,,,,,-0.327909,0.857516,-3.202358,-0.302265,0.810715,-3.202331,-0.292149,0.776873,-3.208621,-0.325840,0.777261,-3.200809,-0.312397,0.745796,-3.214588,-0.298673,0.728929,-3.229949,-0.345052,0.776733,-3.217804,-0.332729,0.746660,-3.239883,-0.321299,0.732055,-3.258353,-0.360695,0.777694,-3.232030,-0.349979,0.749629,-3.254419,-0.339086,0.739808,-3.272082,-0.373041,0.784387,-3.248798,-0.363029,0.761680,-3.270295,-0.352044,0.752933,-3.288164,0.155365,0.859027,-3.201864,0.122748,0.817658,-3.193339,0.109360,0.784932,-3.199434,0.147221,0.780399,-3.187761,0.126221,0.750213,-3.190650,0.104479,0.737418,-3.199167,0.159120,0.775487,-3.209955,0.138409,0.742809,-3.216799,0.116696,0.734873,-3.229082,0.168788,0.772815,-3.228594,0.149054,0.742194,-3.237357,0.129481,0.740814,-3.249270,0.174972,0.775940,-3.249339,0.156380,0.750519,-3.258612,0.137511,0.743485,-3.269160,,,
1,0.033,-0.094456,0.962571,-3.335105,-0.214143,0.963448,-3.342836,0.025231,0.961694,-3.327374,-0.285614,0.557294,-3.173237,0.027181,0.536345,-3.193558,-0.237550,0.270462,-3.471030,0.027325,0.129828,-3.283046,-0.093722,1.079795,-3.333166,-0.096399,1.293628,-3.317878,-0.086678,1.534069,-3.286373,-0.081623,1.630758,-3.248594,-0.123991,1.483318,-3.288794,-0.053303,1.481186,-3.294300,-0.261389,1.429493,-3.265210,0.080423,1.417451,-3.307543,-0.325047,1.146209,-3.274539,0.143310,1.133290,-3.316589,-0.345011,0.870478,-3.215129,0.167912,0.868147,-3.221435,-0.258506,0.097334,-3.430119,0.046186,0.045473,-3.126156,,,,,,,,,,-0.327909,0.857516,-3.202358,-0.302265,0.810715,-3.202331,-0.292149,0.776873,-3.208621,-0.325840,0.777261,-3.200809,-0.312397,0.745796,-3.214588,-0.298673,0.728929,-3.229949,-0.345052,0.776733,-3.217804,-0.332729,0.746660,-3.239883,-0.321299,0.732055,-3.258353,-0.360695,0.777694,-3.232030,-0.349979,0.749629,-3.254419,-0.339086,0.739808,-3.272082,-0.373041,0.784387,-3.248798,-0.363029,0.761680,-3.270295,-0.352044,0.752933,-3.288164,0.155365,0.859027,-3.201864,0.122748,0.817658,-3.193339,0.109360,0.784932,-3.199434,0.147221,0.780399,-3.187761,0.126221,0.750213,-3.190650,0.104479,0.737418,-3.199167,0.159120,0.775487,-3.209955,0.138409,0.742809,-3.216799,0.116696,0.734873,-3.229082,0.168788,0.772815,-3.228594,0.149054,0.742194,-3.237357,0.129481,0.740814,-3.249270,0.174972,0.775940,-3.249339,0.156380,0.750519,-3.258612,0.137511,0.743485,-3.269160,,,
2,0.067,-0.102937,0.977485,-3.280632,-0.222767,0.978050,-3.285728,0.016894,0.976920,-3.275536,-0.285753,0.582740,-3.089271,0.017276,0.538537,-3.193970,-0.247505,0.235935,-3.316267,0.021793,0.131014,-3.278632,-0.102446,1.094717,-3.279166,-0.104003,1.308391,-3.261652,-0.095864,1.548702,-3.228741,-0.092435,1.645365,-3.190715,-0.132883,1.497771,-3.231813,-0.062133,1.496038,-3.236622,-0.270188,1.442587,-3.210994,0.072518,1.433862,-3.247731,-0.331228,1.160857,-3.246942,0.139029,1.150434,-3.242380,-0.361266,0.880934,-3.220560,0.151876,0.893769,-3.124403,-0.272279,0.080293,-3.231133,0.042591,0.046265,-3.122200,,,,,,,,,,-0.344506,0.865858,-3.209815,-0.318394,0.819974,-3.217613,-0.307291,0.787962,-3.229408,-0.341659,0.786752,-3.223294,-0.327765,0.757083,-3.240244,-0.313325,0.742089,-3.256841,-0.360233,0.789366,-3.240799,-0.347291,0.762691,-3.266581,-0.335228,0.750788,-3.286528,-0.375356,0.792934,-3.255172,-0.364417,0.768209,-3.281110,-0.353124,0.760842,-3.299692,-0.387151,0.802620,-3.270838,-0.376792,0.784029,-3.295839,-0.365432,0.778541,-3.314741,0.137101,0.887524,-3.105263,0.103476,0.847516,-3.094461,0.090638,0.814112,-3.097056,0.126923,0.811787,-3.080607,0.106723,0.780924,-3.080814,0.086200,0.766303,-3.089415,0.141273,0.803759,-3.100302,0.121473,0.770056,-3.104265,0.101290,0.759933,-3.117511,0.153011,0.798450,-3.117096,0.134608,0.766377,-3.123140,0.116554,0.762706,-3.136834,0.161564,0.798519,-3.137226,0.144263,0.771645,-3.144725,0.126803,0.762761,-3.156257,,,
3,0.100,-0.108612,0.988540,-3.237466,-0.228492,0.989476,-3.241120,0.011269,0.987605,-3.233812,-0.282854,0.597509,-3.035597,0.009114,0.542774,-3.202930,-0.249647,0.203296,-3.165047,0.015634,0.136486,-3.293215,-0.107785,1.105743,-3.234559,-0.108895,1.319318,-3.215842,-0.104815,1.559825,-3.183615,-0.103802,1.656625,-3.145799,-0.141066,1.508400,-3.187515,-0.070193,1.507585,-3.190367,-0.278749,1.452246,-3.172632,0.065748,1.447569,-3.196585,-0.336698,1.174249,-3.233863,0.141061,1.167133,-3.174973,-0.369601,0.893428,-3.230413,0.145453,0.920751,-3.036276,-0.278075,0.076201,-3.042064,0.036759,0.052569,-3.136378,,,,,,,,,,-0.353180,0.878140,-3.219446,-0.324037,0.834404,-3.228712,-0.309906,0.804189,-3.241921,-0.344846,0.800893,-3.239722,-0.327918,0.773152,-3.257171,-0.311141,0.760031,-3.273145,-0.361754,0.804359,-3.258705,-0.345181,0.780427,-3.285093,-0.330710,0.770685,-3.304607,-0.375586,0.808622,-3.274148,-0.361269,0.786466,-3.300753,-0.347999,0.781013,-3.318678,-0.386311,0.819241,-3.289979,-0.372865,0.803383,-3.315390,-0.359583,0.800061,-3.333529,0.129147,0.914741,-3.018342,0.095011,0.874652,-3.009654,0.082550,0.841132,-3.012580,0.117446,0.839400,-2.993155,0.097412,0.808464,-2.994612,0.077750,0.793627,-3.004725,0.133479,0.831126,-3.011396,0.114113,0.797329,-3.016528,0.095154,0.786980,-3.031319,0.146643,0.825602,-3.027024,0.128913,0.793346,-3.034028,0.112097,0.789368,-3.049139,0.156880,0.825364,-3.046351,0.140339,0.798286,-3.054779,0.123930,0.789138,-3.067578,,,
4,0.133,-0.112880,0.991305,-3.185083,-0.232781,0.991483,-3.188130,0.007021,0.991128,-3.182036,-0.274655,0.592208,-2.994071,0.007398,0.545262,-3.187979,-0.251496,0.176612,-2.996761,0.011920,0.142106,-3.291461,-0.112815,1.108469,-3.180800,-0.112566,1.321957,-3.161090,-0.112860,1.562581,-3.129488,-0.114077,1.659545,-3.092098,-0.148253,1.510653,-3.134452,-0.077320,1.510804,-3.134904,-0.286000,1.453313,-3.126130,0.060239,1.454254,-3.134990,-0.336982,1.180376,-3.211544,0.147052,1.179069,-3.095999,-0.369577,0.900172,-3.230997,0.138279,0.947330,-2.934195,-0.284762,0.086972,-2.845288,0.034102,0.058562,-3.134571,,,,,,,,,,-0.353729,0.884772,-3.219365,-0.322033,0.842771,-3.228268,-0.305361,0.813991,-3.241718,-0.340238,0.809358,-3.243412,-0.320610,0.783354,-3.260707,-0.301834,0.771840,-3.275664,-0.355281,0.813476,-3.263783,-0.335163,0.791864,-3.289704,-0.318406,0.783892,-3.308163,-0.367654,0.818266,-3.280275,-0.349863,0.798374,-3.306572,-0.334656,0.794541,-3.323339,-0.377160,0.829525,-3.296438,-0.360547,0.815810,-3.321215,-0.345355,0.814125,-3.338033,0.120203,0.941587,-2.917949,0.085965,0.901138,-2.911659,0.073955,0.867447,-2.914508,0.107017,0.866888,-2.891609,0.087311,0.835873,-2.894825,0.068990,0.820784,-2.906891,0.125083,0.858342,-2.907699,0.106606,0.824281,-2.914187,0.089504,0.813456,-2.930789,0.139966,0.852573,-2.921598,0.123194,0.820067,-2.929715,0.108155,0.815652,-2.946487,0.152262,0.851909,-2.939675,0.136645,0.824569,-2.948972,0.121642,0.815032,-2.963142,,,
5,0.167,-0.116165,0.985373,-3.135507,-0.236037,0.982047,-3.137792,0.003707,0.988700,-3.133222,-0.269229,0.587640,-2.932429,0.013480,0.543463,-3.155619,-0.263433,0.182797,-2.835825,0.014737,0.149491,-3.289961,-0.119513,1.102452,-3.130302,-0.116474,1.315911,-3.110512,-0.122018,1.556580,-3.079751,-0.125040,1.653699,-3.042869,-0.156318,1.504046,-3.085875,-0.085431,1.505399,-3.083647,-0.293634,1.445132,-3.083670,0.053511,1.452797,-3.076690,-0.333615,1.177747,-3.189956,0.152467,1.185515,-3.017093,-0.362485,0.899497,-3.231170,0.134378,0.967991,-2.837325,-0.299617,0.132605,-2.667726,0.036930,0.063391,-3.134460,,,,,,,,,,-0.347663,0.883858,-3.218546,-0.314208,0.842907,-3.225735,-0.295380,0.815090,-3.238342,-0.329846,0.809917,-3.244292,-0.307931,0.785040,-3.260461,-0.287408,0.774522,-3.273764,-0.342640,0.814715,-3.266007,-0.319346,0.794658,-3.290478,-0.300502,0.787825,-3.307309,-0.353226,0.820050,-3.283542,-0.332203,0.801740,-3.308574,-0.315165,0.798969,-3.323711,-0.361148,0.831882,-3.300144,-0.341556,0.819646,-3.323476,-0.324547,0.819023,-3.338536,0.114670,0.962866,-2.822870,0.080606,0.922098,-2.817811,0.068679,0.888297,-2.819421,0.099803,0.889704,-2.793308,0.080728,0.858390,-2.797329,0.064055,0.842548,-2.810746,0.119717,0.880582,-2.806669,0.102482,0.845899,-2.813273,0.087547,0.833873,-2.831096,0.136177,0.874295,-2.818398,0.120600,0.841205,-2.826539,0.107596,0.835715,-2.844642,0.150456,0.872773,-2.834895,0.135879,0.844847,-2.844139,0.122471,0.834405,-2.859238,,,
6,0.200,-0.119154,0.973689,-3.080236,-0.238898,0.966873,-3.080954,0.000590,0.980505,-3.079518,-0.266718,0.586088,-2.850603,0.019825,0.537020,-3.121750,-0.284564,0.200263,-2.695413,0.017933,0.155036,-3.287123,-0.125844,1.090599,-3.074510,-0.121412,1.304136,-3.055852,-0.131517,1.544846,-3.026602,-0.135810,1.642103,-2.990213,-0.164819,1.491765,-3.033480,-0.094061,1.494208,-3.029098,-0.301829,1.432172,-3.036368,0.045110,1.443642,-3.015146,-0.330810,1.170378,-3.158897,0.152786,1.185934,-2.932830,-0.355980,0.895502,-3.220257,0.126627,0.980775,-2.739994,-0.322700,0.190836,-2.520648,0.040363,0.065547,-3.133582,,,,,,,,,,-0.342294,0.879305,-3.207067,-0.307690,0.839121,-3.213050,-0.287303,0.812234,-3.225241,-0.320880,0.807098,-3.234908,-0.296728,0.783956,-3.250457,-0.274687,0.774906,-3.262335,-0.331467,0.813004,-3.257519,-0.305337,0.795015,-3.280701,-0.284731,0.789639,-3.295918,-0.340290,0.819228,-3.275724,-0.316295,0.803098,-3.299553,-0.297714,0.801705,-3.312966,-0.346654,0.831910,-3.292369,-0.324564,0.821445,-3.314289,-0.306116,0.822002,-3.327549,0.105749,0.976469,-2.726986,0.072170,0.935400,-2.721183,0.060633,0.901432,-2.720500,0.089604,0.906013,-2.692016,0.071454,0.874049,-2.695085,0.056400,0.856733,-2.708594,0.110866,0.896250,-2.702547,0.095010,0.860639,-2.707454,0.082082,0.846646,-2.725409,0.128478,0.889362,-2.712053,0.114243,0.855324,-2.718583,0.103103,0.847947,-2.737249,0.144277,0.886705,-2.726944,0.130923,0.857741,-2.734726,0.119063,0.845652,-2.749891,,,
7,0.233,-0.123023,0.958549,-3.021353,-0.242674,0.950362,-3.019934,-0.003371,0.966737,-3.022772,-0.267119,0.589937,-2.758536,0.020988,0.526639,-3.090247,-0.296786,0.213964,-2.582390,0.017050,0.158655,-3.284761,-0.130941,1.075355,-3.015070,-0.127526,1.289008,-2.997570,-0.139644,1.529789,-2.969699,-0.144606,1.627203,-2.933820,-0.172489,1.476466,-2.976895,-0.101836,1.479377,-2.971287,-0.309548,1.417335,-2.983939,0.036743,1.429064,-2.951671,-0.330677,1.159562,-3.116213,0.149473,1.180648,-2.849862,-0.354708,0.888982,-3.194723,0.119233,0.984229,-2.648702,-0.334712,0.238797,-2.409096,0.040718,0.067388,-3.132457,,,,,,,,,,-0.341775,0.872118,-3.181608,-0.306579,0.832453,-3.187595,-0.285122,0.806307,-3.199559,-0.318126,0.801659,-3.212000,-0.291808,0.781689,-3.228406,-0.268695,0.775230,-3.239935,-0.327295,0.808786,-3.234878,-0.298945,0.793893,-3.257644,-0.277193,0.790664,-3.271839,-0.334985,0.815990,-3.253235,-0.308548,0.802942,-3.276356,-0.288979,0.803453,-3.288352,-0.340367,0.829562,-3.269520,-0.316510,0.820983,-3.290382,-0.297167,0.822746,-3.302182,0.097769,0.980143,-2.636609,0.065392,0.938343,-2.629360,0.055467,0.903975,-2.626590,0.082060,0.912147,-2.596892,0.065270,0.879343,-2.598485,0.051711,0.860444,-2.611444,0.104260,0.902438,-2.605330,0.090109,0.865895,-2.608149,0.078854,0.849990,-2.625633,0.122654,0.895527,-2.613196,0.110075,0.860534,-2.617793,0.100383,0.851278,-2.636430,0.139416,0.892320,-2.626877,0.127529,0.862311,-2.632872,0.117002,0.848541,-2.647581,,,
8,0.267,-0.127953,0.944666,-2.960036,-0.247589,0.936696,-2.956980,-0.008317,0.952636,-2.963091,-0.271637,0.579392,-2.691295,0.016730,0.517857,-3.058867,-0.294961,0.203339,-2.514366,0.014531,0.164302,-3.278542,-0.135571,1.061483,-2.953603,-0.134244,1.275164,-2.936165,-0.147423,1.515871,-2.908141,-0.153324,1.613314,-2.872482,-0.180001,1.462500,-2.916141,-0.109492,1.465533,-2.908996,-0.316591,1.402951,-2.927478,0.028610,1.415974,-2.884670,-0.331295,1.146019,-3.062235,0.143058,1.173278,-2.771603,-0.354802,0.879463,-3.153616,0.114452,0.980243,-2.566958,-0.327978,0.224584,-2.339597,0.038754,0.067048,-3.130079,,,,,,,,,,-0.342019,0.861979,-3.141185,-0.306466,0.822882,-3.148626,-0.284656,0.797557,-3.161668,-0.317348,0.793401,-3.174889,-0.290244,0.775570,-3.192440,-0.266836,0.770739,-3.204167,-0.326118,0.801714,-3.197521,-0.296949,0.789001,-3.220571,-0.274837,0.787209,-3.234461,-0.333498,0.809866,-3.215607,-0.306178,0.798910,-3.238787,-0.286323,0.800605,-3.250191,-0.338649,0.824276,-3.231234,-0.314149,0.817075,-3.251870,-0.294516,0.819645,-3.263025,0.092729,0.976369,-2.555265,0.061333,0.934216,-2.546023,0.052605,0.899760,-2.541127,0.077668,0.910913,-2.511261,0.061853,0.877590,-2.511066,0.049263,0.857444,-2.523091,0.100398,0.901315,-2.518296,0.087450,0.864226,-2.518865,0.077253,0.846762,-2.535488,0.119229,0.894431,-2.525079,0.107783,0.858843,-2.527605,0.098975,0.848045,-2.545846,0.136513,0.890777,-2.537975,0.125657,0.860074,-2.542126,0.115991,0.844980,-2.556110,,,
9,0.300,-0.133897,0.932379,-2.896001,-0.253648,0.926385,-2.892957,-0.014145,0.938373,-2.899045,-0.275306,0.560781,-2.638601,0.007201,0.511296,-3.025465,-0.288583,0.177681,-2.476361,0.011673,0.172229,-3.266872,-0.139642,1.049398,-2.891616,-0.140789,1.263250,-2.876388,-0.155988,1.504052,-2.850272,-0.163748,1.601719,-2.815598,-0.188049,1.450466,-2.858900,-0.117799,1.453906,-2.849688,-0.323517,1.388988,-2.873054,0.020111,1.406238,-2.820899,-0.335298,1.129391,-3.002901,0.135108,1.164650,-2.706030,-0.358920,0.863665,-3.096639,0.114071,0.968424,-2.503513,-0.312470,0.161850,-2.299543,0.036864,0.062845,-3.127277,,,,,,,,,,-0.346075,0.845432,-3.085406,-0.311724,0.805921,-3.095742,-0.291152,0.780774,-3.110961,-0.324254,0.777751,-3.122699,-0.298244,0.760206,-3.142095,-0.275432,0.755457,-3.154975,-0.333682,0.787147,-3.144633,-0.305674,0.774684,-3.169208,-0.284127,0.772933,-3.183964,-0.341554,0.796170,-3.162086,-0.315336,0.785586,-3.186670,-0.295876,0.787315,-3.198728,-0.346964,0.811300,-3.176925,-0.323308,0.804290,-3.198587,-0.303983,0.806792,-3.210283,0.092388,0.964656,-2.491711,0.061875,0.922333,-2.480501,0.054297,0.887874,-2.473982,0.078566,0.901131,-2.444583,0.063638,0.867486,-2.442184,0.051549,0.846290,-2.452840,0.101528,0.891698,-2.451065,0.089546,0.854316,-2.449443,0.079819,0.835641,-2.464997,0.120532,0.884901,-2.457442,0.110096,0.848919,-2.457902,0.101640,0.836841,-2.475497,0.137945,0.880996,-2.470088,0.128174,0.849751,-2.472550,0.119101,0.833600,-2.485727,,,
