frame_id,time_sec,Hips_X,Hips_Y,Hips_Z,LeftUpperLeg_X,LeftUpperLeg_Y,LeftUpperLeg_Z,RightUpperLeg_X,RightUpperLeg_Y,RightUpperLeg_Z,LeftLowerLeg_X,LeftLowerLeg_Y,LeftLowerLeg_Z,RightLowerLeg_X,RightLowerLeg_Y,RightLowerLeg_Z,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,RightFoot_X,RightFoot_Y,RightFoot_Z,Spine_X,Spine_Y,Spine_Z,Chest_X,Chest_Y,Chest_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,LeftUpperArm_X,LeftUpperArm_Y,LeftUpperArm_Z,RightUpperArm_X,RightUpperArm_Y,RightUpperArm_Z,LeftLowerArm_X,LeftLowerArm_Y,LeftLowerArm_Z,RightLowerArm_X,RightLowerArm_Y,RightLowerArm_Z,LeftHand_X,LeftHand_Y,LeftHand_Z,RightHand_X,RightHand_Y,RightHand_Z,LeftToes_X,LeftToes_Y,LeftToes_Z,RightToes_X,RightToes_Y,RightToes_Z,LeftEye_X,LeftEye_Y,LeftEye_Z,RightEye_X,RightEye_Y,RightEye_Z,Jaw_X,Jaw_Y,Jaw_Z,LeftThumbProximal_X,LeftThumbProximal_Y,LeftThumbProximal_Z,LeftThumbIntermediate_X,LeftThumbIntermediate_Y,LeftThumbIntermediate_Z,LeftThumbDistal_X,LeftThumbDistal_Y,LeftThumbDistal_Z,LeftIndexProximal_X,LeftIndexProximal_Y,LeftIndexProximal_Z,LeftIndexIntermediate_X,LeftIndexIntermediate_Y,LeftIndexIntermediate_Z,LeftIndexDistal_X,LeftIndexDistal_Y,LeftIndexDistal_Z,LeftMiddleProximal_X,LeftMiddleProximal_Y,LeftMiddleProximal_Z,LeftMiddleIntermediate_X,LeftMiddleIntermediate_Y,LeftMiddleIntermediate_Z,LeftMiddleDistal_X,LeftMiddleDistal_Y,LeftMiddleDistal_Z,LeftRingProximal_X,LeftRingProximal_Y,LeftRingProximal_Z,LeftRingIntermediate_X,LeftRingIntermediate_Y,LeftRingIntermediate_Z,LeftRingDistal_X,LeftRingDistal_Y,LeftRingDistal_Z,LeftLittleProximal_X,LeftLittleProximal_Y,LeftLittleProximal_Z,LeftLittleIntermediate_X,LeftLittleIntermediate_Y,LeftLittleIntermediate_Z,LeftLittleDistal_X,LeftLittleDistal_Y,LeftLittleDistal_Z,RightThumbProximal_X,RightThumbProximal_Y,RightThumbProximal_Z,RightThumbIntermediate_X,RightThumbIntermediate_Y,RightThumbIntermediate_Z,RightThumbDistal_X,RightThumbDistal_Y,RightThumbDistal_Z,RightIndexProximal_X,RightIndexProximal_Y,RightIndexProximal_Z,RightIndexIntermediate_X,RightIndexIntermediate_Y,RightIndexIntermediate_Z,RightIndexDistal_X,RightIndexDistal_Y,RightIndexDistal_Z,RightMiddleProximal_X,RightMiddleProximal_Y,RightMiddleProximal_Z,RightMiddleIntermediate_X,RightMiddleIntermediate_Y,RightMiddleIntermediate_Z,RightMiddleDistal_X,RightMiddleDistal_Y,RightMiddleDistal_Z,RightRingProximal_X,RightRingProximal_Y,RightRingProximal_Z,RightRingIntermediate_X,RightRingIntermediate_Y,RightRingIntermediate_Z,RightRingDistal_X,RightRingDistal_Y,RightRingDistal_Z,RightLittleProximal_X,RightLittleProximal_Y,RightLittleProximal_Z,RightLittleIntermediate_X,RightLittleIntermediate_Y,RightLittleIntermediate_Z,RightLittleDistal_X,RightLittleDistal_Y,RightLittleDistal_Z,UpperChest_X,UpperChest_Y,UpperChest_Z
0,0.000,-0.094522,0.962811,-3.334625,-0.214216,0.963676,-3.342256,0.025172,0.961947,-3.326995,-0.285421,0.558051,-3.171286,0.027031,0.535913,-3.195372,-0.237677,0.268476,-3.466464,0.027492,0.129370,-3.284735,-0.093798,1.080035,-3.332702,-0.096426,1.293863,-3.317326,-0.086779,1.534298,-3.285754,-0.081807,1.630984,-3.247957,-0.124080,1.483540,-3.288217,-0.053387,1.481424,-3.293667,-0.261485,1.429662,-3.264796,0.080384,1.417752,-3.306767,-0.325005,1.146385,-3.275242,0.143410,1.133602,-3.315129,-0.345529,0.870385,-3.217296,0.167503,0.868794,-3.218915,-0.258773,0.095830,-3.423632,0.046433,0.045005,-3.127860,,,,,,,,,,-0.328445,0.857312,-3.204614,-0.302796,0.810514,-3.204965,-0.292644,0.776735,-3.211524,-0.326369,0.777046,-3.203778,-0.312910,0.745666,-3.217732,-0.299158,0.728893,-3.233171,-0.345555,0.776667,-3.220807,-0.333211,0.746751,-3.243086,-0.321757,0.732275,-3.261643,-0.361177,0.777754,-3.235047,-0.350454,0.749844,-3.257626,-0.339544,0.740143,-3.275345,-0.373497,0.784595,-3.251774,-0.363476,0.762069,-3.273456,-0.352477,0.753472,-3.291389,0.154863,0.859804,-3.199344,0.122209,0.818489,-3.190698,0.108853,0.785721,-3.196636,0.146659,0.781271,-3.184754,0.125704,0.751042,-3.187520,0.104014,0.738162,-3.196042,0.158664,0.776212,-3.206857,0.138001,0.743477,-3.213569,0.116349,0.735444,-3.225898,0.168423,0.773416,-3.225430,0.148755,0.742719,-3.234074,0.129240,0.741240,-3.246072,0.174705,0.776402,-3.246166,0.156174,0.750911,-3.255363,0.137362,0.743796,-3.265959,,,
1,0.033,-0.094522,0.962811,-3.334625,-0.214216,0.963676,-3.342256,0.025172,0.961947,-3.326995,-0.285421,0.558051,-3.171286,0.027031,0.535913,-3.195372,-0.237677,0.268476,-3.466464,0.027492,0.129370,-3.284735,-0.093798,1.080035,-3.332702,-0.096426,1.293863,-3.317326,-0.086779,1.534298,-3.285754,-0.081807,1.630984,-3.247957,-0.124080,1.483540,-3.288217,-0.053387,1.481424,-3.293667,-0.261485,1.429662,-3.264796,0.080384,1.417752,-3.306767,-0.325005,1.146385,-3.275242,0.143410,1.133602,-3.315129,-0.345529,0.870385,-3.217296,0.167503,0.868794,-3.218915,-0.258773,0.095830,-3.423632,0.046433,0.045005,-3.127860,,,,,,,,,,-0.328445,0.857312,-3.204614,-0.302796,0.810514,-3.204965,-0.292644,0.776735,-3.211524,-0.326369,0.777046,-3.203778,-0.312910,0.745666,-3.217732,-0.299158,0.728893,-3.233171,-0.345555,0.776667,-3.220807,-0.333211,0.746751,-3.243086,-0.321757,0.732275,-3.261643,-0.361177,0.777754,-3.235047,-0.350454,0.749844,-3.257626,-0.339544,0.740143,-3.275345,-0.373497,0.784595,-3.251774,-0.363476,0.762069,-3.273456,-0.352477,0.753472,-3.291389,0.154863,0.859804,-3.199344,0.122209,0.818489,-3.190698,0.108853,0.785721,-3.196636,0.146659,0.781271,-3.184754,0.125704,0.751042,-3.187520,0.104014,0.738162,-3.196042,0.158664,0.776212,-3.206857,0.138001,0.743477,-3.213569,0.116349,0.735444,-3.225898,0.168423,0.773416,-3.225430,0.148755,0.742719,-3.234074,0.129240,0.741240,-3.246072,0.174705,0.776402,-3.246166,0.156174,0.750911,-3.255363,0.137362,0.743796,-3.265959,,,
2,0.067,-0.103268,0.978042,-3.278561,-0.223103,0.978615,-3.283548,0.016567,0.977470,-3.273573,-0.285659,0.583515,-3.086531,0.016872,0.538676,-3.194247,-0.247703,0.234267,-3.309800,0.021533,0.131175,-3.279012,-0.102771,1.095273,-3.277058,-0.104294,1.308942,-3.259477,-0.096289,1.549258,-3.226569,-0.092946,1.645925,-3.188546,-0.133283,1.498310,-3.229666,-0.062529,1.496610,-3.234424,-0.270597,1.443079,-3.209029,0.072174,1.434519,-3.245389,-0.331546,1.161474,-3.246091,0.139012,1.151181,-3.239373,-0.361821,0.881472,-3.220847,0.151493,0.894936,-3.120448,-0.272591,0.079636,-3.222876,0.042415,0.046449,-3.122578,,,,,,,,,,-0.345072,0.866363,-3.210130,-0.318864,0.820563,-3.218095,-0.307659,0.788634,-3.230017,-0.342058,0.787337,-3.224033,-0.328070,0.757751,-3.241052,-0.313552,0.742840,-3.257656,-0.360580,0.790018,-3.241585,-0.347525,0.763474,-3.267444,-0.335384,0.751675,-3.287406,-0.375662,0.793641,-3.255986,-0.364624,0.769042,-3.282001,-0.353269,0.761767,-3.300582,-0.387421,0.803395,-3.271637,-0.376969,0.784946,-3.296704,-0.365548,0.779570,-3.315603,0.136645,0.888740,-3.101349,0.102985,0.848754,-3.090571,0.090160,0.815342,-3.093122,0.126384,0.813067,-3.076530,0.106194,0.782198,-3.076729,0.085708,0.767548,-3.085369,0.140812,0.804989,-3.096147,0.121030,0.771275,-3.100097,0.100899,0.761116,-3.113395,0.152617,0.799637,-3.112881,0.134245,0.767544,-3.118908,0.116244,0.763832,-3.132661,0.161249,0.799654,-3.132978,0.143981,0.772757,-3.140473,0.126567,0.763840,-3.152049,,,
3,0.100,-0.108857,0.988789,-3.235311,-0.228741,0.989707,-3.238853,0.011027,0.987871,-3.231770,-0.282480,0.597579,-3.033473,0.008928,0.542918,-3.202693,-0.249612,0.201683,-3.157770,0.015312,0.136736,-3.293459,-0.108047,1.105990,-3.232344,-0.109098,1.319561,-3.213579,-0.105186,1.560075,-3.181383,-0.104251,1.656883,-3.143582,-0.141403,1.508628,-3.185304,-0.070528,1.507854,-3.188101,-0.279087,1.452425,-3.170614,0.065479,1.447973,-3.194152,-0.336842,1.174620,-3.232892,0.141290,1.167724,-3.171849,-0.369792,0.893794,-3.230424,0.145297,0.921908,-3.032139,-0.278120,0.076074,-3.033288,0.036561,0.052838,-3.136628,,,,,,,,,,-0.353385,0.878501,-3.219443,-0.324126,0.834849,-3.228738,-0.309884,0.804701,-3.241984,-0.344832,0.801335,-3.239935,-0.327791,0.773672,-3.257399,-0.310930,0.760626,-3.273346,-0.361674,0.804830,-3.258971,-0.344958,0.781006,-3.285367,-0.330396,0.771348,-3.304854,-0.375455,0.809119,-3.274453,-0.361001,0.787065,-3.301071,-0.347655,0.781688,-3.318962,-0.386138,0.819769,-3.290291,-0.372568,0.804013,-3.315699,-0.359212,0.800771,-3.333798,0.128927,0.915912,-3.014260,0.094782,0.875812,-3.005650,0.082337,0.842286,-3.008570,0.117176,0.840595,-2.989021,0.097149,0.809657,-2.990535,0.077529,0.794811,-3.000715,0.133283,0.832308,-3.007191,0.113943,0.798503,-3.012367,0.095044,0.788138,-3.027223,0.146510,0.826772,-3.022761,0.128810,0.794507,-3.029801,0.112053,0.790513,-3.044972,0.156820,0.826516,-3.042049,0.140310,0.799428,-3.050505,0.123947,0.790265,-3.063353,,,
4,0.133,-0.113040,0.991175,-3.182851,-0.232944,0.991236,-3.185792,0.006864,0.991114,-3.179909,-0.274259,0.591935,-2.991667,0.007555,0.545262,-3.186850,-0.251894,0.176292,-2.989758,0.011957,0.142398,-3.291468,-0.113087,1.108337,-3.178522,-0.112723,1.321823,-3.158796,-0.113216,1.562451,-3.127224,-0.114495,1.659422,-3.089855,-0.148568,1.510498,-3.132217,-0.077634,1.510698,-3.132599,-0.286300,1.453094,-3.124084,0.059993,1.454314,-3.132474,-0.336919,1.180385,-3.210438,0.147376,1.179423,-3.092687,-0.369425,0.900238,-3.230845,0.138263,0.948310,-2.930010,-0.285272,0.088284,-2.837355,0.034257,0.058780,-3.134633,,,,,,,,,,-0.353607,0.884831,-3.219182,-0.321824,0.842887,-3.228048,-0.305058,0.814157,-3.241488,-0.339928,0.809487,-3.243342,-0.320201,0.783542,-3.260615,-0.301353,0.772081,-3.275521,-0.354891,0.813634,-3.263767,-0.334642,0.792101,-3.289652,-0.317799,0.784189,-3.308059,-0.367201,0.818446,-3.280298,-0.349279,0.798634,-3.306566,-0.333998,0.794856,-3.323280,-0.376653,0.829731,-3.296476,-0.359920,0.816090,-3.321213,-0.344655,0.814461,-3.337970,0.120124,0.942590,-2.913827,0.085894,0.902127,-2.907583,0.073895,0.868429,-2.910384,0.106891,0.867944,-2.887360,0.087206,0.836920,-2.890611,0.068944,0.821805,-2.902734,0.125032,0.859375,-2.903352,0.106602,0.825291,-2.909851,0.089580,0.814422,-2.926506,0.139980,0.853586,-2.917174,0.123252,0.821057,-2.925296,0.108287,0.816604,-2.942123,0.152353,0.852888,-2.935196,0.136775,0.825526,-2.944494,0.121830,0.815956,-2.958701,,,
5,0.167,-0.116265,0.984943,-3.133162,-0.236135,0.981463,-3.135316,0.003605,0.988424,-3.131009,-0.268920,0.587519,-2.929001,0.013787,0.543239,-3.154230,-0.264293,0.183389,-2.829397,0.014841,0.149737,-3.289945,-0.119759,1.102016,-3.127928,-0.116627,1.315477,-3.108171,-0.122361,1.556149,-3.077464,-0.125424,1.653274,-3.040601,-0.156620,1.503590,-3.083605,-0.085736,1.504992,-3.081319,-0.293921,1.444634,-3.081553,0.053238,1.452505,-3.074140,-0.333491,1.177490,-3.188595,0.152679,1.185607,-3.013637,-0.362238,0.899360,-3.230696,0.134339,0.968649,-2.833212,-0.300569,0.134931,-2.660809,0.037136,0.063499,-3.134536,,,,,,,,,,-0.347457,0.883701,-3.218049,-0.313947,0.842787,-3.225199,-0.295051,0.815012,-3.237794,-0.329491,0.809831,-3.243894,-0.307487,0.785020,-3.260047,-0.286901,0.774560,-3.273299,-0.342201,0.814672,-3.265649,-0.318792,0.794697,-3.290079,-0.299875,0.787924,-3.306853,-0.352719,0.820040,-3.283215,-0.331578,0.801818,-3.308210,-0.314476,0.799102,-3.323285,-0.360583,0.831905,-3.299820,-0.340888,0.819743,-3.323104,-0.323819,0.819171,-3.338098,0.114583,0.963558,-2.818810,0.080543,0.922773,-2.813725,0.068631,0.888962,-2.815242,0.099682,0.890491,-2.789029,0.080645,0.859151,-2.793021,0.064036,0.843253,-2.806451,0.119656,0.881341,-2.802280,0.102479,0.846618,-2.808826,0.087624,0.834514,-2.826663,0.136166,0.875027,-2.813924,0.120644,0.841898,-2.822009,0.107713,0.836335,-2.840141,0.150508,0.873458,-2.830362,0.135980,0.845490,-2.839554,0.122631,0.834984,-2.854662,,,
6,0.200,-0.119259,0.973076,-3.077704,-0.238999,0.966171,-3.078262,0.000480,0.979982,-3.077146,-0.266513,0.586161,-2.846598,0.019985,0.536610,-3.120424,-0.284734,0.200936,-2.689968,0.017888,0.155195,-3.287104,-0.126028,1.089981,-3.071949,-0.121596,1.303523,-3.053345,-0.131806,1.544235,-3.024152,-0.136114,1.641498,-2.987783,-0.165085,1.491139,-3.031029,-0.094330,1.493611,-3.026624,-0.302095,1.431551,-3.034027,0.044836,1.443081,-3.012491,-0.330765,1.169956,-3.157054,0.152841,1.185778,-2.929341,-0.355898,0.895252,-3.219189,0.126564,0.981048,-2.736065,-0.322757,0.193096,-2.515100,0.040453,0.065607,-3.133640,,,,,,,,,,-0.342243,0.879026,-3.206002,-0.307612,0.838866,-3.211990,-0.287179,0.812014,-3.224182,-0.320733,0.806893,-3.233961,-0.296497,0.783866,-3.249548,-0.274409,0.774912,-3.261414,-0.331261,0.812852,-3.256587,-0.305041,0.794982,-3.279759,-0.284385,0.789690,-3.294938,-0.340037,0.819118,-3.274800,-0.315943,0.803109,-3.298611,-0.297319,0.801792,-3.311971,-0.346360,0.831839,-3.291430,-0.324197,0.821454,-3.313315,-0.305710,0.822064,-3.326519,0.105661,0.976760,-2.723093,0.072129,0.935662,-2.717217,0.060647,0.901678,-2.716436,0.089535,0.906412,-2.687897,0.071437,0.874412,-2.690900,0.056443,0.857026,-2.704385,0.110837,0.896641,-2.698339,0.095049,0.860988,-2.703152,0.082189,0.846909,-2.721088,0.128483,0.889744,-2.707776,0.114313,0.855662,-2.714218,0.103231,0.848202,-2.732886,0.144323,0.887055,-2.722617,0.131026,0.858044,-2.730319,0.119218,0.845880,-2.745466,,,
7,0.233,-0.123127,0.957923,-3.018693,-0.242776,0.949723,-3.017122,-0.003478,0.966122,-3.020264,-0.266998,0.589690,-2.755164,0.020935,0.526216,-3.088958,-0.296563,0.213863,-2.578688,0.016899,0.158848,-3.284631,-0.131049,1.074727,-3.012393,-0.127701,1.288383,-2.994912,-0.139861,1.529162,-2.967049,-0.144839,1.626579,-2.931179,-0.172696,1.475834,-2.974252,-0.102045,1.478756,-2.968625,-0.309747,1.416697,-2.981398,0.036525,1.428469,-2.948876,-0.330654,1.159006,-3.113867,0.149440,1.180357,-2.846531,-0.354710,0.888604,-3.192982,0.119317,0.984156,-2.645141,-0.334223,0.239062,-2.405389,0.040697,0.067375,-3.132471,,,,,,,,,,-0.341784,0.871712,-3.179896,-0.306575,0.832068,-3.185949,-0.285101,0.805955,-3.197956,-0.318095,0.801330,-3.210438,-0.291734,0.781467,-3.226905,-0.268606,0.775092,-3.238449,-0.327246,0.808510,-3.233306,-0.298857,0.793724,-3.256091,-0.277088,0.790567,-3.270277,-0.334923,0.815756,-3.251652,-0.308441,0.802813,-3.274780,-0.288859,0.803384,-3.286752,-0.340294,0.829366,-3.267909,-0.316407,0.820854,-3.288764,-0.297052,0.822656,-3.300537,0.097845,0.980078,-2.633060,0.065521,0.938256,-2.625710,0.055657,0.903878,-2.622841,0.082190,0.912190,-2.593138,0.065447,0.879357,-2.594646,0.051931,0.860398,-2.607562,0.104413,0.902485,-2.601518,0.090321,0.865912,-2.604233,0.079110,0.849933,-2.621678,0.122826,0.895575,-2.609342,0.110303,0.860550,-2.613842,0.100645,0.851221,-2.632461,0.139608,0.892348,-2.622993,0.127770,0.862302,-2.628901,0.117278,0.848469,-2.643575,,,
8,0.267,-0.128065,0.944108,-2.957260,-0.247702,0.936200,-2.954107,-0.008427,0.952016,-2.960412,-0.271504,0.578682,-2.688689,0.016454,0.517523,-3.057519,-0.294325,0.202402,-2.512179,0.014345,0.164598,-3.278207,-0.135618,1.060932,-2.950882,-0.134384,1.274620,-2.933511,-0.147621,1.515329,-2.905534,-0.153570,1.612779,-2.869903,-0.180186,1.461951,-2.913544,-0.109682,1.464998,-2.906359,-0.316743,1.402338,-2.924942,0.028425,1.415505,-2.881919,-0.331351,1.145336,-3.059575,0.142975,1.172921,-2.768715,-0.354906,0.878864,-3.151188,0.114741,0.979834,-2.564067,-0.326888,0.222478,-2.337186,0.038702,0.066883,-3.130069,,,,,,,,,,-0.342114,0.861348,-3.138810,-0.306594,0.822245,-3.146380,-0.284822,0.796937,-3.159517,-0.317531,0.792822,-3.172684,-0.290460,0.775029,-3.190323,-0.267072,0.770222,-3.202101,-0.326330,0.801185,-3.195287,-0.297199,0.788509,-3.218404,-0.275106,0.786737,-3.232329,-0.333733,0.809375,-3.213345,-0.306447,0.798459,-3.236585,-0.286608,0.800171,-3.248012,-0.338899,0.823819,-3.228936,-0.314428,0.816643,-3.249615,-0.294807,0.819222,-3.260789,0.093023,0.975967,-2.552363,0.061672,0.933804,-2.543015,0.052996,0.899346,-2.538035,0.078034,0.910604,-2.508197,0.062258,0.877263,-2.507901,0.049688,0.857068,-2.519864,0.100773,0.901012,-2.515209,0.087869,0.863906,-2.515673,0.077690,0.846384,-2.532246,0.119611,0.894131,-2.521977,0.108208,0.858523,-2.524405,0.099411,0.847664,-2.542617,0.136898,0.890463,-2.534866,0.126084,0.859733,-2.538934,0.116439,0.844590,-2.552877,,,
9,0.300,-0.134014,0.931914,-2.893087,-0.253768,0.925991,-2.890026,-0.014259,0.937838,-2.896147,-0.275101,0.559999,-2.636201,0.006823,0.511198,-3.024079,-0.287935,0.176510,-2.474845,0.011606,0.172727,-3.266314,-0.139692,1.048939,-2.888772,-0.140941,1.262802,-2.873707,-0.156182,1.503625,-2.847807,-0.164024,1.601313,-2.813211,-0.188232,1.450028,-2.856409,-0.117989,1.453483,-2.847156,-0.323670,1.388483,-2.870564,0.019927,1.405883,-2.818279,-0.335546,1.128696,-3.000023,0.134929,1.164207,-2.703601,-0.359286,0.862880,-3.093474,0.114398,0.967679,-2.501324,-0.311528,0.158898,-2.298156,0.036941,0.062486,-3.127421,,,,,,,,,,-0.346429,0.844621,-3.082296,-0.312155,0.805079,-3.092771,-0.291666,0.779928,-3.108094,-0.324799,0.776949,-3.119715,-0.298867,0.759395,-3.139210,-0.276101,0.754635,-3.152165,-0.334283,0.786376,-3.141612,-0.306360,0.773901,-3.166278,-0.284857,0.772138,-3.181097,-0.342196,0.795423,-3.159034,-0.316062,0.784832,-3.183703,-0.296635,0.786550,-3.195817,-0.347634,0.810573,-3.173843,-0.324045,0.803549,-3.195573,-0.304749,0.806035,-3.207319,0.092724,0.963917,-2.489504,0.062235,0.921596,-2.478224,0.054704,0.887134,-2.471660,0.078956,0.900443,-2.442290,0.064061,0.866792,-2.439788,0.051976,0.845559,-2.450376,0.101918,0.891011,-2.448776,0.089965,0.853625,-2.447063,0.080236,0.834908,-2.462567,0.120921,0.884215,-2.455157,0.110518,0.848221,-2.455535,0.102059,0.836100,-2.473098,0.138327,0.880301,-2.467810,0.128595,0.849039,-2.470212,0.119534,0.832857,-2.483359,,,
