frame_id,time_sec,Hips_X,Hips_Y,Hips_Z,LeftUpperLeg_X,LeftUpperLeg_Y,LeftUpperLeg_Z,RightUpperLeg_X,RightUpperLeg_Y,RightUpperLeg_Z,LeftLowerLeg_X,LeftLowerLeg_Y,LeftLowerLeg_Z,RightLowerLeg_X,RightLowerLeg_Y,RightLowerLeg_Z,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,RightFoot_X,RightFoot_Y,RightFoot_Z,Spine_X,Spine_Y,Spine_Z,Chest_X,Chest_Y,Chest_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,LeftUpperArm_X,LeftUpperArm_Y,LeftUpperArm_Z,RightUpperArm_X,RightUpperArm_Y,RightUpperArm_Z,LeftLowerArm_X,LeftLowerArm_Y,LeftLowerArm_Z,RightLowerArm_X,RightLowerArm_Y,RightLowerArm_Z,LeftHand_X,LeftHand_Y,LeftHand_Z,RightHand_X,RightHand_Y,RightHand_Z,LeftToes_X,LeftToes_Y,LeftToes_Z,RightToes_X,RightToes_Y,RightToes_Z,LeftEye_X,LeftEye_Y,LeftEye_Z,RightEye_X,RightEye_Y,RightEye_Z,Jaw_X,Jaw_Y,Jaw_Z,LeftThumbProximal_X,LeftThumbProximal_Y,LeftThumbProximal_Z,LeftThumbIntermediate_X,LeftThumbIntermediate_Y,LeftThumbIntermediate_Z,LeftThumbDistal_X,LeftThumbDistal_Y,LeftThumbDistal_Z,LeftIndexProximal_X,LeftIndexProximal_Y,LeftIndexProximal_Z,LeftIndexIntermediate_X,LeftIndexIntermediate_Y,LeftIndexIntermediate_Z,LeftIndexDistal_X,LeftIndexDistal_Y,LeftIndexDistal_Z,LeftMiddleProximal_X,LeftMiddleProximal_Y,LeftMiddleProximal_Z,LeftMiddleIntermediate_X,LeftMiddleIntermediate_Y,LeftMiddleIntermediate_Z,LeftMiddleDistal_X,LeftMiddleDistal_Y,LeftMiddleDistal_Z,LeftRingProximal_X,LeftRingProximal_Y,LeftRingProximal_Z,LeftRingIntermediate_X,LeftRingIntermediate_Y,LeftRingIntermediate_Z,LeftRingDistal_X,LeftRingDistal_Y,LeftRingDistal_Z,LeftLittleProximal_X,LeftLittleProximal_Y,LeftLittleProximal_Z,LeftLittleIntermediate_X,LeftLittleIntermediate_Y,LeftLittleIntermediate_Z,LeftLittleDistal_X,LeftLittleDistal_Y,LeftLittleDistal_Z,RightThumbProximal_X,RightThumbProximal_Y,RightThumbProximal_Z,RightThumbIntermediate_X,RightThumbIntermediate_Y,RightThumbIntermediate_Z,RightThumbDistal_X,RightThumbDistal_Y,RightThumbDistal_Z,RightIndexProximal_X,RightIndexProximal_Y,RightIndexProximal_Z,RightIndexIntermediate_X,RightIndexIntermediate_Y,RightIndexIntermediate_Z,RightIndexDistal_X,RightIndexDistal_Y,RightIndexDistal_Z,RightMiddleProximal_X,RightMiddleProximal_Y,RightMiddleProximal_Z,RightMiddleIntermediate_X,RightMiddleIntermediate_Y,RightMiddleIntermediate_Z,RightMiddleDistal_X,RightMiddleDistal_Y,RightMiddleDistal_Z,RightRingProximal_X,RightRingProximal_Y,RightRingProximal_Z,RightRingIntermediate_X,RightRingIntermediate_Y,RightRingIntermediate_Z,RightRingDistal_X,RightRingDistal_Y,RightRingDistal_Z,RightLittleProximal_X,RightLittleProximal_Y,RightLittleProximal_Z,RightLittleIntermediate_X,RightLittleIntermediate_Y,RightLittleIntermediate_Z,RightLittleDistal_X,RightLittleDistal_Y,RightLittleDistal_Z,UpperChest_X,UpperChest_Y,UpperChest_Z
0,0.000,-0.094788,0.963147,-3.332869,-0.214472,0.964018,-3.340651,0.024896,0.962277,-3.325087,-0.285971,0.558205,-3.170250,0.026653,0.536543,-3.192495,-0.237765,0.269897,-3.466591,0.027041,0.130019,-3.281949,-0.094061,1.080371,-3.330936,-0.096723,1.294201,-3.315604,-0.087073,1.534639,-3.284050,-0.082103,1.631325,-3.246253,-0.124378,1.483884,-3.286533,-0.053681,1.481761,-3.291935,-0.261804,1.430033,-3.263179,0.080083,1.418059,-3.304960,-0.325352,1.146746,-3.273175,0.143041,1.133900,-3.313536,-0.345718,0.870858,-3.214642,0.167252,0.868949,-3.217748,-0.258808,0.097028,-3.424645,0.045794,0.045660,-3.125047,,,,,,,,,,-0.328637,0.857828,-3.201911,-0.302991,0.811027,-3.202094,-0.292849,0.777223,-3.208538,-0.326567,0.777565,-3.200792,-0.313103,0.746155,-3.214675,-0.299351,0.729349,-3.230078,-0.345751,0.777128,-3.217823,-0.333397,0.747154,-3.240019,-0.321938,0.732631,-3.258535,-0.361370,0.778166,-3.232070,-0.350629,0.750199,-3.254570,-0.339711,0.740454,-3.272260,-0.373687,0.784948,-3.248823,-0.363652,0.762352,-3.270425,-0.352643,0.753697,-3.288325,0.154636,0.859905,-3.198185,0.121989,0.818569,-3.189613,0.108622,0.785820,-3.195627,0.146442,0.781332,-3.183805,0.125470,0.751121,-3.186636,0.103764,0.738277,-3.195171,0.158418,0.776334,-3.205938,0.137738,0.743624,-3.212720,0.116069,0.735631,-3.225044,0.168152,0.773589,-3.224532,0.148462,0.742924,-3.233240,0.128931,0.741488,-3.245216,0.174408,0.776633,-3.245268,0.155857,0.751172,-3.254511,0.137028,0.744092,-3.265100,,,
1,0.033,-0.094788,0.963147,-3.332869,-0.214472,0.964018,-3.340651,0.024896,0.962277,-3.325087,-0.285971,0.558205,-3.170250,0.026653,0.536543,-3.192495,-0.237765,0.269897,-3.466591,0.027041,0.130019,-3.281949,-0.094061,1.080371,-3.330936,-0.096723,1.294201,-3.315604,-0.087073,1.534639,-3.284050,-0.082103,1.631325,-3.246253,-0.124378,1.483884,-3.286533,-0.053681,1.481761,-3.291935,-0.261804,1.430033,-3.263179,0.080083,1.418059,-3.304960,-0.325352,1.146746,-3.273175,0.143041,1.133900,-3.313536,-0.345718,0.870858,-3.214642,0.167252,0.868949,-3.217748,-0.258808,0.097028,-3.424645,0.045794,0.045660,-3.125047,,,,,,,,,,-0.328637,0.857828,-3.201911,-0.302991,0.811027,-3.202094,-0.292849,0.777223,-3.208538,-0.326567,0.777565,-3.200792,-0.313103,0.746155,-3.214675,-0.299351,0.729349,-3.230078,-0.345751,0.777128,-3.217823,-0.333397,0.747154,-3.240019,-0.321938,0.732631,-3.258535,-0.361370,0.778166,-3.232070,-0.350629,0.750199,-3.254570,-0.339711,0.740454,-3.272260,-0.373687,0.784948,-3.248823,-0.363652,0.762352,-3.270425,-0.352643,0.753697,-3.288325,0.154636,0.859905,-3.198185,0.121989,0.818569,-3.189613,0.108622,0.785820,-3.195627,0.146442,0.781332,-3.183805,0.125470,0.751121,-3.186636,0.103764,0.738277,-3.195171,0.158418,0.776334,-3.205938,0.137738,0.743624,-3.212720,0.116069,0.735631,-3.225044,0.168152,0.773589,-3.224532,0.148462,0.742924,-3.233240,0.128931,0.741488,-3.245216,0.174408,0.776633,-3.245268,0.155857,0.751172,-3.254511,0.137028,0.744092,-3.265100,,,
2,0.067,-0.103121,0.977818,-3.279374,-0.222948,0.978383,-3.284528,0.016707,0.977253,-3.274219,-0.285895,0.583253,-3.087695,0.016957,0.538631,-3.193951,-0.247601,0.235086,-3.312587,0.021618,0.131106,-3.278601,-0.102632,1.095049,-3.277898,-0.104183,1.308720,-3.260341,-0.096141,1.549031,-3.227411,-0.092797,1.645695,-3.189380,-0.133146,1.498093,-3.230535,-0.062388,1.496375,-3.235247,-0.270474,1.442879,-3.209948,0.072301,1.434244,-3.246146,-0.331414,1.161219,-3.246605,0.138955,1.150859,-3.240355,-0.361645,0.881247,-3.220974,0.151431,0.894431,-3.121822,-0.272532,0.080024,-3.226446,0.042297,0.046360,-3.122151,,,,,,,,,,-0.344902,0.866143,-3.210242,-0.318740,0.820305,-3.218143,-0.307577,0.788345,-3.230021,-0.341968,0.787089,-3.224007,-0.328018,0.757469,-3.240995,-0.313525,0.742523,-3.257590,-0.360499,0.789756,-3.241550,-0.347482,0.763162,-3.267378,-0.335364,0.751323,-3.287330,-0.375588,0.793367,-3.255948,-0.364582,0.768721,-3.281933,-0.353244,0.761410,-3.300510,-0.387349,0.803103,-3.271608,-0.376926,0.784604,-3.296651,-0.365520,0.779189,-3.315547,0.136590,0.888230,-3.102719,0.102929,0.848245,-3.091942,0.090101,0.814835,-3.094502,0.126329,0.812550,-3.077923,0.106138,0.781682,-3.078122,0.085648,0.767034,-3.086757,0.140749,0.804477,-3.097549,0.120965,0.770764,-3.101500,0.100828,0.760608,-3.114792,0.152546,0.799130,-3.114289,0.134170,0.767039,-3.120319,0.116164,0.763332,-3.134067,0.161170,0.799153,-3.134389,0.143899,0.772259,-3.141887,0.126480,0.763346,-3.153460,,,
3,0.100,-0.108787,0.988720,-3.236301,-0.228666,0.989653,-3.239993,0.011093,0.987788,-3.232609,-0.282879,0.597677,-3.034448,0.008908,0.542881,-3.202849,-0.249756,0.202523,-3.161016,0.015435,0.136643,-3.293358,-0.107966,1.105922,-3.233358,-0.109064,1.319495,-3.214613,-0.105108,1.560006,-3.182401,-0.104174,1.656810,-3.144592,-0.141336,1.508568,-3.186345,-0.070459,1.507777,-3.189104,-0.279033,1.452388,-3.171693,0.065521,1.447831,-3.195112,-0.336824,1.174503,-3.233577,0.141074,1.167494,-3.173040,-0.369760,0.893678,-3.230720,0.145131,0.921417,-3.033792,-0.278346,0.076286,-3.037190,0.036481,0.052739,-3.136503,,,,,,,,,,-0.353356,0.878387,-3.219732,-0.324135,0.834703,-3.228995,-0.309925,0.804529,-3.242216,-0.344872,0.801191,-3.240136,-0.327862,0.773496,-3.257579,-0.311021,0.760419,-3.273522,-0.361726,0.804674,-3.259164,-0.345047,0.780807,-3.285544,-0.330505,0.771116,-3.305031,-0.375515,0.808954,-3.274641,-0.361096,0.786858,-3.301243,-0.347767,0.781450,-3.319137,-0.386202,0.819592,-3.290484,-0.372664,0.803796,-3.315884,-0.359323,0.800523,-3.333990,0.128775,0.915414,-3.015902,0.094625,0.875319,-3.007289,0.082177,0.841796,-3.010227,0.117023,0.840084,-2.990703,0.096995,0.809146,-2.992209,0.077365,0.794304,-3.002375,0.133112,0.831804,-3.008892,0.113764,0.798003,-3.014067,0.094851,0.787646,-3.028910,0.146324,0.826275,-3.024477,0.128617,0.794013,-3.031518,0.111846,0.790027,-3.046677,0.156617,0.826028,-3.043774,0.140102,0.798944,-3.052234,0.123730,0.789789,-3.065076,,,
4,0.133,-0.113052,0.991271,-3.183805,-0.232951,0.991398,-3.186900,0.006848,0.991143,-3.180709,-0.274658,0.592064,-2.992928,0.007368,0.545286,-3.187348,-0.251929,0.176436,-2.992730,0.011908,0.142268,-3.291362,-0.113038,1.108433,-3.179492,-0.112750,1.321920,-3.159767,-0.113180,1.562546,-3.128183,-0.114470,1.659514,-3.090806,-0.148547,1.510604,-3.133194,-0.077613,1.510782,-3.133544,-0.286294,1.453230,-3.125107,0.059984,1.454324,-3.133391,-0.337002,1.180429,-3.211118,0.147072,1.179300,-3.093881,-0.369534,0.900259,-3.231153,0.137912,0.947929,-2.931572,-0.285411,0.087774,-2.840730,0.034022,0.058700,-3.134475,,,,,,,,,,-0.353712,0.884855,-3.219491,-0.321955,0.842891,-3.228350,-0.305215,0.814143,-3.241784,-0.340086,0.809485,-3.243599,-0.320384,0.783518,-3.260867,-0.301553,0.772038,-3.275780,-0.355066,0.813620,-3.264013,-0.334849,0.792058,-3.289898,-0.318026,0.784123,-3.308314,-0.367390,0.818423,-3.280537,-0.349500,0.798581,-3.306805,-0.334236,0.794782,-3.323529,-0.376852,0.829697,-3.296716,-0.360148,0.816029,-3.321457,-0.344900,0.814378,-3.338228,0.119785,0.942197,-2.915380,0.085546,0.901738,-2.909156,0.073548,0.868043,-2.911996,0.106549,0.867522,-2.888995,0.086858,0.836503,-2.892255,0.068582,0.821402,-2.904374,0.124672,0.858967,-2.905014,0.106228,0.824895,-2.911533,0.089186,0.814048,-2.928184,0.139605,0.853189,-2.918857,0.122866,0.820672,-2.926999,0.107884,0.816239,-2.943817,0.151962,0.852509,-2.936892,0.136375,0.825158,-2.946209,0.121419,0.815606,-2.960416,,,
5,0.167,-0.116346,0.985156,-3.134212,-0.236215,0.981741,-3.136535,0.003523,0.988571,-3.131890,-0.269340,0.587554,-2.930740,0.013548,0.543362,-3.154728,-0.264185,0.183182,-2.832150,0.014784,0.149655,-3.289844,-0.119782,1.102231,-3.128991,-0.116699,1.315690,-3.109210,-0.122384,1.556361,-3.078482,-0.125466,1.653483,-3.041614,-0.156654,1.503812,-3.084649,-0.085771,1.505194,-3.082321,-0.293961,1.444868,-3.082661,0.053188,1.452670,-3.075112,-0.333601,1.177628,-3.189437,0.152373,1.185607,-3.014916,-0.362349,0.899446,-3.231193,0.133955,0.968422,-2.834772,-0.300551,0.133999,-2.663791,0.036893,0.063482,-3.134372,,,,,,,,,,-0.347562,0.883797,-3.218540,-0.314067,0.842868,-3.225672,-0.295186,0.815075,-3.238251,-0.329632,0.809896,-3.244321,-0.307653,0.785052,-3.260456,-0.287081,0.774564,-3.273708,-0.342358,0.814716,-3.266071,-0.318975,0.794703,-3.290494,-0.300073,0.787901,-3.307274,-0.352888,0.820068,-3.283634,-0.331775,0.801804,-3.308623,-0.314686,0.799063,-3.323708,-0.360762,0.831918,-3.300246,-0.341088,0.819722,-3.323530,-0.324031,0.819127,-3.338536,0.114204,0.963314,-2.820369,0.080148,0.922537,-2.815338,0.068227,0.888731,-2.816913,0.099285,0.890201,-2.790712,0.080234,0.858875,-2.794744,0.063611,0.843005,-2.808190,0.119247,0.881065,-2.803990,0.102049,0.846362,-2.810588,0.087179,0.834296,-2.828437,0.135747,0.874765,-2.815655,0.120208,0.841655,-2.823788,0.107265,0.836128,-2.841923,0.150079,0.873219,-2.832104,0.135537,0.845272,-2.841340,0.122178,0.834799,-2.856460,,,
6,0.200,-0.119380,0.973354,-3.078823,-0.239120,0.966474,-3.079560,0.000360,0.980234,-3.078085,-0.266959,0.586104,-2.848527,0.019809,0.536811,-3.120865,-0.285172,0.200722,-2.692283,0.017926,0.155154,-3.286989,-0.126133,1.090261,-3.073086,-0.121703,1.303800,-3.054456,-0.131910,1.544510,-3.025249,-0.136248,1.641771,-2.988875,-0.165189,1.491420,-3.032158,-0.094438,1.493883,-3.027694,-0.302193,1.431822,-3.035238,0.044721,1.443348,-3.013505,-0.330861,1.170155,-3.158113,0.152521,1.185882,-2.930594,-0.355927,0.895379,-3.219956,0.126088,0.980994,-2.737508,-0.323388,0.192253,-2.517487,0.040289,0.065599,-3.133477,,,,,,,,,,-0.342273,0.879166,-3.206753,-0.307645,0.838997,-3.212699,-0.287218,0.812131,-3.224870,-0.320769,0.807002,-3.234637,-0.296555,0.783918,-3.250174,-0.274475,0.774916,-3.262016,-0.331297,0.812938,-3.257268,-0.305092,0.795011,-3.280413,-0.284441,0.789679,-3.295585,-0.340073,0.819186,-3.275488,-0.315998,0.803119,-3.299279,-0.297377,0.801766,-3.312642,-0.346395,0.831890,-3.292132,-0.324240,0.821470,-3.314007,-0.305755,0.822057,-3.327216,0.105181,0.976702,-2.724544,0.071617,0.935620,-2.718734,0.060102,0.901646,-2.718004,0.089000,0.906312,-2.689457,0.070879,0.874329,-2.692507,0.055873,0.856974,-2.706019,0.110295,0.896541,-2.699913,0.094480,0.860907,-2.704781,0.081609,0.846866,-2.722739,0.127937,0.889645,-2.709359,0.113742,0.855584,-2.715852,0.102656,0.848159,-2.734532,0.143776,0.886967,-2.724204,0.130459,0.857977,-2.731953,0.118644,0.845846,-2.747120,,,
7,0.233,-0.123298,0.958180,-3.019863,-0.242949,0.949976,-3.018461,-0.003647,0.966384,-3.021264,-0.267481,0.589890,-2.756604,0.020824,0.526393,-3.089395,-0.297368,0.214070,-2.580168,0.016974,0.158770,-3.284594,-0.131233,1.074984,-3.013575,-0.127866,1.288639,-2.996090,-0.140039,1.529420,-2.968244,-0.145040,1.626836,-2.932376,-0.172870,1.476093,-2.975470,-0.102223,1.479012,-2.969790,-0.309921,1.416964,-2.982695,0.036330,1.428711,-2.949967,-0.330793,1.159259,-3.115141,0.149088,1.180495,-2.847700,-0.354755,0.888786,-3.194045,0.118695,0.984235,-2.646407,-0.335320,0.239350,-2.406944,0.040583,0.067412,-3.132335,,,,,,,,,,-0.341841,0.871907,-3.180932,-0.306630,0.832254,-3.186916,-0.285148,0.806127,-3.198877,-0.318133,0.801492,-3.211383,-0.291766,0.781592,-3.227796,-0.268630,0.775187,-3.239308,-0.327265,0.808650,-3.234266,-0.298863,0.793825,-3.257011,-0.277084,0.790641,-3.271175,-0.334926,0.815878,-3.252625,-0.308433,0.802897,-3.275720,-0.288842,0.803446,-3.287678,-0.340282,0.829472,-3.268900,-0.316383,0.820934,-3.289731,-0.297019,0.822722,-3.301492,0.097214,0.980155,-2.634344,0.064861,0.938341,-2.627069,0.054970,0.903967,-2.624251,0.081496,0.912222,-2.594522,0.064736,0.879401,-2.596082,0.051216,0.860466,-2.609030,0.103718,0.902516,-2.602902,0.089605,0.865955,-2.605675,0.078396,0.850006,-2.623147,0.122132,0.895606,-2.610723,0.109591,0.860593,-2.615277,0.099939,0.851294,-2.633913,0.138920,0.892387,-2.624369,0.127068,0.862356,-2.630324,0.116577,0.848548,-2.645024,,,
8,0.267,-0.128289,0.944335,-2.958486,-0.247928,0.936390,-2.955473,-0.008651,0.952280,-2.961499,-0.272087,0.579034,-2.689869,0.016411,0.517662,-3.057997,-0.295300,0.202897,-2.513105,0.014429,0.164475,-3.278267,-0.135885,1.061155,-2.952078,-0.134625,1.274839,-2.934665,-0.147856,1.515546,-2.906666,-0.153810,1.612992,-2.871024,-0.180421,1.462172,-2.914702,-0.109921,1.465211,-2.907474,-0.316985,1.402596,-2.926206,0.028160,1.415683,-2.882957,-0.331492,1.145645,-3.060949,0.142569,1.173080,-2.769651,-0.354935,0.879159,-3.152549,0.113955,0.980057,-2.564996,-0.328239,0.223677,-2.338264,0.038590,0.066998,-3.129941,,,,,,,,,,-0.342159,0.861658,-3.140134,-0.306609,0.822565,-3.147608,-0.284798,0.797254,-3.160678,-0.317484,0.793117,-3.173911,-0.290371,0.775320,-3.191483,-0.266959,0.770513,-3.203211,-0.326244,0.801459,-3.196537,-0.297063,0.788780,-3.219590,-0.274944,0.787009,-3.233472,-0.333616,0.809633,-3.214615,-0.306282,0.798711,-3.237796,-0.286422,0.800423,-3.249187,-0.338758,0.824063,-3.230227,-0.314247,0.816884,-3.250857,-0.294608,0.819465,-3.261998,0.092222,0.976188,-2.553319,0.060843,0.934030,-2.544044,0.052141,0.899573,-2.539105,0.077157,0.910791,-2.509229,0.061365,0.877457,-2.508993,0.048800,0.857283,-2.520996,0.099901,0.901197,-2.516226,0.086979,0.864097,-2.516745,0.076811,0.846598,-2.533350,0.118743,0.894314,-2.522979,0.107324,0.858714,-2.525459,0.098542,0.847880,-2.543692,0.136043,0.890651,-2.535851,0.125214,0.859932,-2.539963,0.115575,0.844809,-2.553933,,,
9,0.300,-0.134294,0.932097,-2.894380,-0.254049,0.926147,-2.891423,-0.014538,0.938047,-2.897337,-0.275765,0.560326,-2.637384,0.006775,0.511209,-3.024569,-0.288911,0.177024,-2.475612,0.011607,0.172496,-3.266464,-0.140001,1.049119,-2.890045,-0.141219,1.262976,-2.874897,-0.156471,1.503787,-2.848890,-0.164305,1.601464,-2.814260,-0.188517,1.450195,-2.857539,-0.118279,1.453644,-2.848239,-0.323953,1.388675,-2.871822,0.019608,1.406019,-2.819271,-0.335643,1.128985,-3.001490,0.134523,1.164408,-2.704368,-0.359236,0.863233,-3.095162,0.113586,0.968043,-2.501975,-0.312746,0.160204,-2.298878,0.036750,0.062691,-3.127191,,,,,,,,,,-0.346395,0.844983,-3.083950,-0.312075,0.805458,-3.094336,-0.291534,0.780312,-3.109597,-0.324642,0.777315,-3.121305,-0.298656,0.759769,-3.140733,-0.275856,0.755017,-3.153633,-0.334079,0.786732,-3.143225,-0.306094,0.774266,-3.167826,-0.284557,0.772511,-3.182596,-0.341957,0.795771,-3.160667,-0.315762,0.785188,-3.185275,-0.296308,0.786914,-3.197345,-0.347368,0.810915,-3.175492,-0.323728,0.803901,-3.197170,-0.304408,0.806397,-3.208874,0.091897,0.964279,-2.490183,0.061392,0.921955,-2.478953,0.053836,0.887496,-2.472409,0.078069,0.900790,-2.443006,0.063159,0.867141,-2.440561,0.051085,0.845922,-2.451189,0.101038,0.891359,-2.449467,0.089074,0.853974,-2.447801,0.079363,0.835272,-2.463334,0.120048,0.884563,-2.455827,0.109634,0.848574,-2.456246,0.101194,0.836469,-2.473830,0.137470,0.880653,-2.468460,0.127725,0.849397,-2.470892,0.118672,0.833226,-2.484057,,,
