frame_id,time_sec,Hips_X,Hips_Y,Hips_Z,LeftUpperLeg_X,LeftUpperLeg_Y,LeftUpperLeg_Z,RightUpperLeg_X,RightUpperLeg_Y,RightUpperLeg_Z,LeftLowerLeg_X,LeftLowerLeg_Y,LeftLowerLeg_Z,RightLowerLeg_X,RightLowerLeg_Y,RightLowerLeg_Z,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,RightFoot_X,RightFoot_Y,RightFoot_Z,Spine_X,Spine_Y,Spine_Z,Chest_X,Chest_Y,Chest_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,LeftUpperArm_X,LeftUpperArm_Y,LeftUpperArm_Z,RightUpperArm_X,RightUpperArm_Y,RightUpperArm_Z,LeftLowerArm_X,LeftLowerArm_Y,LeftLowerArm_Z,RightLowerArm_X,RightLowerArm_Y,RightLowerArm_Z,LeftHand_X,LeftHand_Y,LeftHand_Z,RightHand_X,RightHand_Y,RightHand_Z,LeftToes_X,LeftToes_Y,LeftToes_Z,RightToes_X,RightToes_Y,RightToes_Z,LeftEye_X,LeftEye_Y,LeftEye_Z,RightEye_X,RightEye_Y,RightEye_Z,Jaw_X,Jaw_Y,Jaw_Z,LeftThumbProximal_X,LeftThumbProximal_Y,LeftThumbProximal_Z,LeftThumbIntermediate_X,LeftThumbIntermediate_Y,LeftThumbIntermediate_Z,LeftThumbDistal_X,LeftThumbDistal_Y,LeftThumbDistal_Z,LeftIndexProximal_X,LeftIndexProximal_Y,LeftIndexProximal_Z,LeftIndexIntermediate_X,LeftIndexIntermediate_Y,LeftIndexIntermediate_Z,LeftIndexDistal_X,LeftIndexDistal_Y,LeftIndexDistal_Z,LeftMiddleProximal_X,LeftMiddleProximal_Y,LeftMiddleProximal_Z,LeftMiddleIntermediate_X,LeftMiddleIntermediate_Y,LeftMiddleIntermediate_Z,LeftMiddleDistal_X,LeftMiddleDistal_Y,LeftMiddleDistal_Z,LeftRingProximal_X,LeftRingProximal_Y,LeftRingProximal_Z,LeftRingIntermediate_X,LeftRingIntermediate_Y,LeftRingIntermediate_Z,LeftRingDistal_X,LeftRingDistal_Y,LeftRingDistal_Z,LeftLittleProximal_X,LeftLittleProximal_Y,LeftLittleProximal_Z,LeftLittleIntermediate_X,LeftLittleIntermediate_Y,LeftLittleIntermediate_Z,LeftLittleDistal_X,LeftLittleDistal_Y,LeftLittleDistal_Z,RightThumbProximal_X,RightThumbProximal_Y,RightThumbProximal_Z,RightThumbIntermediate_X,RightThumbIntermediate_Y,RightThumbIntermediate_Z,RightThumbDistal_X,RightThumbDistal_Y,RightThumbDistal_Z,RightIndexProximal_X,RightIndexProximal_Y,RightIndexProximal_Z,RightIndexIntermediate_X,RightIndexIntermediate_Y,RightIndexIntermediate_Z,RightIndexDistal_X,RightIndexDistal_Y,RightIndexDistal_Z,RightMiddleProximal_X,RightMiddleProximal_Y,RightMiddleProximal_Z,RightMiddleIntermediate_X,RightMiddleIntermediate_Y,RightMiddleIntermediate_Z,RightMiddleDistal_X,RightMiddleDistal_Y,RightMiddleDistal_Z,RightRingProximal_X,RightRingProximal_Y,RightRingProximal_Z,RightRingIntermediate_X,RightRingIntermediate_Y,RightRingIntermediate_Z,RightRingDistal_X,RightRingDistal_Y,RightRingDistal_Z,RightLittleProximal_X,RightLittleProximal_Y,RightLittleProximal_Z,RightLittleIntermediate_X,RightLittleIntermediate_Y,RightLittleIntermediate_Z,RightLittleDistal_X,RightLittleDistal_Y,RightLittleDistal_Z,UpperChest_X,UpperChest_Y,UpperChest_Z
0,0.000,-0.094434,0.962625,-3.335214,-0.214127,0.963495,-3.342850,0.025259,0.961756,-3.327578,-0.285405,0.557714,-3.172282,0.027167,0.535972,-3.195149,-0.237576,0.269194,-3.468477,0.027478,0.129445,-3.284588,-0.093705,1.079849,-3.333283,-0.096347,1.293679,-3.317941,-0.086665,1.534116,-3.286393,-0.081656,1.630802,-3.248601,-0.123972,1.483361,-3.288836,-0.053281,1.481239,-3.294318,-0.261371,1.429505,-3.265332,0.080471,1.417542,-3.307489,-0.324924,1.146220,-3.275339,0.143432,1.133384,-3.316094,-0.345258,0.870313,-3.216884,0.167719,0.868458,-3.220259,-0.258585,0.096361,-3.426362,0.046420,0.045085,-3.127710,,,,,,,,,,-0.328163,0.857276,-3.204178,-0.302517,0.810476,-3.204415,-0.292380,0.776675,-3.210888,-0.326091,0.777013,-3.203108,-0.312642,0.745608,-3.217017,-0.298905,0.728807,-3.232439,-0.345293,0.776585,-3.220120,-0.332963,0.746621,-3.242342,-0.321523,0.732105,-3.260877,-0.360926,0.777631,-3.234350,-0.350211,0.749674,-3.256874,-0.339312,0.739936,-3.274580,-0.373261,0.784423,-3.251086,-0.363250,0.761839,-3.272712,-0.352261,0.753194,-3.290628,0.155120,0.859423,-3.200682,0.122480,0.818090,-3.192065,0.109109,0.785338,-3.198052,0.146939,0.780856,-3.186259,0.125967,0.750642,-3.189058,0.104254,0.737793,-3.197568,0.158897,0.775848,-3.208399,0.138213,0.743133,-3.215148,0.116535,0.735134,-3.227451,0.168616,0.773094,-3.226999,0.148921,0.742424,-3.235676,0.129381,0.740981,-3.247637,0.174855,0.776129,-3.247742,0.156298,0.750663,-3.256958,0.137462,0.743577,-3.267529,,,
1,0.033,-0.094434,0.962625,-3.335214,-0.214127,0.963495,-3.342850,0.025259,0.961756,-3.327578,-0.285405,0.557714,-3.172282,0.027167,0.535972,-3.195149,-0.237576,0.269194,-3.468477,0.027478,0.129445,-3.284588,-0.093705,1.079849,-3.333283,-0.096347,1.293679,-3.317941,-0.086665,1.534116,-3.286393,-0.081656,1.630802,-3.248601,-0.123972,1.483361,-3.288836,-0.053281,1.481239,-3.294318,-0.261371,1.429505,-3.265332,0.080471,1.417542,-3.307489,-0.324924,1.146220,-3.275339,0.143432,1.133384,-3.316094,-0.345258,0.870313,-3.216884,0.167719,0.868458,-3.220259,-0.258585,0.096361,-3.426362,0.046420,0.045085,-3.127710,,,,,,,,,,-0.328163,0.857276,-3.204178,-0.302517,0.810476,-3.204415,-0.292380,0.776675,-3.210888,-0.326091,0.777013,-3.203108,-0.312642,0.745608,-3.217017,-0.298905,0.728807,-3.232439,-0.345293,0.776585,-3.220120,-0.332963,0.746621,-3.242342,-0.321523,0.732105,-3.260877,-0.360926,0.777631,-3.234350,-0.350211,0.749674,-3.256874,-0.339312,0.739936,-3.274580,-0.373261,0.784423,-3.251086,-0.363250,0.761839,-3.272712,-0.352261,0.753194,-3.290628,0.155120,0.859423,-3.200682,0.122480,0.818090,-3.192065,0.109109,0.785338,-3.198052,0.146939,0.780856,-3.186259,0.125967,0.750642,-3.189058,0.104254,0.737793,-3.197568,0.158897,0.775848,-3.208399,0.138213,0.743133,-3.215148,0.116535,0.735134,-3.227451,0.168616,0.773094,-3.226999,0.148921,0.742424,-3.235676,0.129381,0.740981,-3.247637,0.174855,0.776129,-3.247742,0.156298,0.750663,-3.256958,0.137462,0.743577,-3.267529,,,
2,0.067,-0.103159,0.977855,-3.279240,-0.222993,0.978421,-3.284246,0.016675,0.977289,-3.274234,-0.285676,0.583297,-3.087319,0.017015,0.538638,-3.194124,-0.247665,0.234948,-3.311978,0.021591,0.131118,-3.278798,-0.102667,1.095087,-3.277761,-0.104197,1.308757,-3.260198,-0.096128,1.549069,-3.227279,-0.092745,1.645734,-3.189254,-0.133133,1.498129,-3.230361,-0.062381,1.496415,-3.235152,-0.270438,1.442912,-3.209627,0.072299,1.434290,-3.246199,-0.331417,1.161262,-3.246291,0.138990,1.150913,-3.240437,-0.361629,0.881285,-3.220694,0.151586,0.894516,-3.121851,-0.272503,0.079958,-3.225681,0.042462,0.046375,-3.122371,,,,,,,,,,-0.344875,0.866180,-3.209981,-0.318713,0.820348,-3.217920,-0.307555,0.788393,-3.229816,-0.341942,0.787130,-3.223773,-0.328002,0.757516,-3.240780,-0.313522,0.742576,-3.257391,-0.360488,0.789800,-3.241298,-0.347491,0.763214,-3.267145,-0.335390,0.751381,-3.287111,-0.375590,0.793413,-3.255681,-0.364606,0.768774,-3.281683,-0.353284,0.761470,-3.300272,-0.387367,0.803152,-3.271328,-0.376964,0.784662,-3.296385,-0.365575,0.779252,-3.315294,0.136764,0.888315,-3.102734,0.103114,0.848330,-3.091923,0.090283,0.814920,-3.094468,0.126528,0.812636,-3.077923,0.106337,0.781768,-3.078102,0.085839,0.767120,-3.086718,0.140929,0.804563,-3.097562,0.121142,0.770849,-3.101494,0.100992,0.760693,-3.114766,0.152711,0.799215,-3.114314,0.134329,0.767124,-3.120325,0.116310,0.763416,-3.134055,0.161316,0.799237,-3.134422,0.144038,0.772342,-3.141902,0.126608,0.763428,-3.153457,,,
3,0.100,-0.108769,0.988732,-3.236132,-0.228653,0.989662,-3.239678,0.011115,0.987802,-3.232586,-0.282579,0.597661,-3.034106,0.008975,0.542887,-3.202938,-0.249626,0.202382,-3.160328,0.015386,0.136659,-3.293497,-0.107947,1.105934,-3.233186,-0.109019,1.319506,-3.214437,-0.105037,1.560017,-3.182231,-0.104065,1.656822,-3.144424,-0.141267,1.508578,-3.186134,-0.070394,1.507790,-3.188971,-0.278947,1.452394,-3.171337,0.065585,1.447854,-3.195123,-0.336795,1.174522,-3.233229,0.141204,1.167533,-3.173090,-0.369730,0.893697,-3.230403,0.145393,0.921500,-3.033768,-0.278077,0.076249,-3.036364,0.036625,0.052755,-3.136667,,,,,,,,,,-0.353315,0.878406,-3.219434,-0.324096,0.834727,-3.228731,-0.309895,0.804558,-3.241971,-0.344840,0.801214,-3.239860,-0.327842,0.773525,-3.257324,-0.311014,0.760453,-3.273285,-0.361711,0.804700,-3.258873,-0.345052,0.780840,-3.285273,-0.330527,0.771155,-3.304774,-0.375514,0.808981,-3.274337,-0.361116,0.786893,-3.300956,-0.347802,0.781490,-3.318863,-0.386217,0.819621,-3.290168,-0.372699,0.803832,-3.315583,-0.359373,0.800564,-3.333701,0.129052,0.915497,-3.015864,0.094912,0.875401,-3.007217,0.082461,0.841878,-3.010139,0.117326,0.840170,-2.990646,0.097297,0.809232,-2.992133,0.077658,0.794389,-3.002282,0.133400,0.831888,-3.008848,0.114048,0.798087,-3.014004,0.095122,0.787728,-3.028830,0.146598,0.826357,-3.024444,0.128886,0.794096,-3.031467,0.112102,0.790108,-3.046611,0.156875,0.826109,-3.043750,0.140352,0.799025,-3.052193,0.123968,0.789868,-3.065019,,,
4,0.133,-0.112967,0.991255,-3.183637,-0.232871,0.991371,-3.186586,0.006936,0.991139,-3.180688,-0.274316,0.592043,-2.992547,0.007478,0.545283,-3.187378,-0.251648,0.176411,-2.992085,0.011891,0.142290,-3.291498,-0.112960,1.108417,-3.179322,-0.112639,1.321904,-3.159598,-0.113048,1.562531,-3.128015,-0.114298,1.659499,-3.090638,-0.148417,1.510587,-3.132987,-0.077483,1.510768,-3.133415,-0.286153,1.453208,-3.124753,0.060118,1.454323,-3.133404,-0.336933,1.180422,-3.210771,0.147296,1.179321,-3.093936,-0.369481,0.900256,-3.230835,0.138307,0.947993,-2.931556,-0.284959,0.087859,-2.839984,0.034195,0.058714,-3.134642,,,,,,,,,,-0.353648,0.884852,-3.219189,-0.321896,0.842891,-3.228081,-0.305165,0.814145,-3.241533,-0.340037,0.809485,-3.243319,-0.320349,0.783522,-3.260608,-0.301530,0.772046,-3.275539,-0.355035,0.813623,-3.263720,-0.334839,0.792065,-3.289625,-0.318031,0.784134,-3.308056,-0.367374,0.818427,-3.280233,-0.349504,0.798590,-3.306518,-0.334254,0.794795,-3.323256,-0.376850,0.829703,-3.296402,-0.360167,0.816039,-3.321159,-0.344933,0.814392,-3.337943,0.120195,0.942263,-2.915348,0.085964,0.901803,-2.909086,0.073962,0.868108,-2.911907,0.106986,0.867593,-2.888936,0.087293,0.836573,-2.892174,0.069006,0.821469,-2.904276,0.125096,0.859035,-2.904969,0.106647,0.824961,-2.911465,0.089592,0.814111,-2.928100,0.140018,0.853255,-2.918823,0.123272,0.820736,-2.926945,0.108276,0.816300,-2.943749,0.152359,0.852572,-2.936868,0.136764,0.825220,-2.946167,0.121795,0.815664,-2.960359,,,
5,0.167,-0.116200,0.985120,-3.134026,-0.236071,0.981695,-3.136199,0.003671,0.988546,-3.131853,-0.268932,0.587548,-2.930284,0.013700,0.543342,-3.154764,-0.263766,0.183216,-2.831529,0.014769,0.149668,-3.289982,-0.119641,1.102195,-3.128799,-0.116529,1.315655,-3.109025,-0.122191,1.556325,-3.078295,-0.125233,1.653448,-3.041425,-0.156466,1.503775,-3.084422,-0.085580,1.505160,-3.082173,-0.293769,1.444829,-3.082286,0.053389,1.452643,-3.075109,-0.333506,1.177605,-3.189066,0.152677,1.185608,-3.014962,-0.362296,0.899432,-3.230850,0.134454,0.968460,-2.834753,-0.299947,0.134155,-2.663095,0.037066,0.063485,-3.134543,,,,,,,,,,-0.347497,0.883781,-3.218214,-0.314006,0.842855,-3.225383,-0.295136,0.815065,-3.237983,-0.329587,0.809885,-3.244023,-0.307620,0.785047,-3.260183,-0.287059,0.774563,-3.273456,-0.342332,0.814709,-3.265761,-0.318970,0.794702,-3.290209,-0.300082,0.787905,-3.307007,-0.352878,0.820063,-3.283314,-0.331785,0.801807,-3.308325,-0.314709,0.799069,-3.323426,-0.360767,0.831916,-3.299917,-0.341113,0.819725,-3.323221,-0.324069,0.819134,-3.338242,0.114717,0.963355,-2.820330,0.080668,0.922576,-2.815256,0.068748,0.888770,-2.816809,0.099831,0.890250,-2.790637,0.080778,0.858921,-2.794643,0.064144,0.843047,-2.808070,0.119781,0.881112,-2.803931,0.102581,0.846405,-2.810503,0.087695,0.834333,-2.828335,0.136271,0.874809,-2.815609,0.120727,0.841696,-2.823718,0.107767,0.836163,-2.841840,0.150589,0.873259,-2.832071,0.136040,0.845309,-2.841285,0.122667,0.834830,-2.856389,,,
6,0.200,-0.119172,0.973308,-3.078621,-0.238912,0.966423,-3.079208,0.000569,0.980192,-3.078034,-0.266464,0.586114,-2.848041,0.019985,0.536777,-3.120917,-0.284520,0.200758,-2.691714,0.017898,0.155160,-3.287133,-0.125921,1.090214,-3.072875,-0.121472,1.303754,-3.054253,-0.131651,1.544464,-3.025038,-0.135946,1.641725,-2.988661,-0.164936,1.491373,-3.031909,-0.094180,1.493838,-3.027526,-0.301944,1.431777,-3.034836,0.044995,1.443304,-3.013487,-0.330736,1.170122,-3.157708,0.152913,1.185865,-2.930645,-0.355876,0.895358,-3.219575,0.126701,0.981003,-2.737500,-0.322527,0.192394,-2.516867,0.040449,0.065600,-3.133651,,,,,,,,,,-0.342208,0.879143,-3.206388,-0.307585,0.838975,-3.212376,-0.287170,0.812112,-3.224571,-0.320732,0.806984,-3.234306,-0.296529,0.783909,-3.249876,-0.274460,0.774915,-3.261744,-0.331282,0.812923,-3.256926,-0.305098,0.795006,-3.280102,-0.284461,0.789681,-3.295295,-0.340076,0.819174,-3.275136,-0.316022,0.803117,-3.298954,-0.297415,0.801770,-3.312335,-0.346415,0.831881,-3.291771,-0.324281,0.821467,-3.313670,-0.305810,0.822058,-3.326897,0.105807,0.976712,-2.724514,0.072255,0.935627,-2.718659,0.060746,0.901651,-2.717909,0.089671,0.906328,-2.689392,0.071551,0.874343,-2.692416,0.056533,0.856983,-2.705909,0.110957,0.896558,-2.699867,0.095141,0.860921,-2.704710,0.082254,0.846873,-2.722652,0.128590,0.889662,-2.709329,0.114393,0.855597,-2.715801,0.103288,0.848166,-2.734466,0.144413,0.886982,-2.724190,0.131092,0.857989,-2.731918,0.119263,0.845852,-2.747069,,,
7,0.233,-0.123022,0.958137,-3.019649,-0.242671,0.949934,-3.018098,-0.003373,0.966340,-3.021199,-0.266887,0.589856,-2.756200,0.021020,0.526363,-3.089449,-0.296542,0.214036,-2.579727,0.016942,0.158783,-3.284723,-0.130948,1.074941,-3.013351,-0.127567,1.288596,-2.995870,-0.139709,1.529376,-2.968009,-0.144670,1.626793,-2.932135,-0.172548,1.476049,-2.975198,-0.101895,1.478969,-2.969598,-0.309606,1.416919,-2.982272,0.036681,1.428670,-2.949928,-0.330617,1.159216,-3.114700,0.149568,1.180472,-2.847761,-0.354675,0.888756,-3.193615,0.119424,0.984222,-2.646421,-0.334270,0.239301,-2.406452,0.040737,0.067406,-3.132505,,,,,,,,,,-0.341746,0.871874,-3.180520,-0.306541,0.832223,-3.186551,-0.285073,0.806098,-3.198541,-0.318072,0.801465,-3.211010,-0.291723,0.781571,-3.227459,-0.268600,0.775171,-3.238999,-0.327230,0.808626,-3.233881,-0.298853,0.793808,-3.256661,-0.277090,0.790629,-3.270851,-0.334912,0.815857,-3.252230,-0.308444,0.802883,-3.275358,-0.288867,0.803436,-3.287338,-0.340287,0.829454,-3.268497,-0.316411,0.820921,-3.289356,-0.297061,0.822711,-3.301139,0.097957,0.980142,-2.634333,0.065616,0.938327,-2.627014,0.055733,0.903952,-2.624177,0.082289,0.912217,-2.594479,0.065530,0.879393,-2.596014,0.051998,0.860455,-2.608943,0.104503,0.902511,-2.602882,0.090391,0.865947,-2.605630,0.079164,0.849994,-2.623087,0.122909,0.895600,-2.610722,0.110367,0.860586,-2.615254,0.100695,0.851282,-2.633877,0.139682,0.892381,-2.624386,0.127827,0.862347,-2.630321,0.117321,0.848535,-2.645006,,,
8,0.267,-0.127942,0.944297,-2.958257,-0.247577,0.936358,-2.955100,-0.008306,0.952236,-2.961415,-0.271409,0.578975,-2.689503,0.016628,0.517638,-3.058039,-0.294378,0.202814,-2.512758,0.014402,0.164496,-3.278377,-0.135524,1.061117,-2.951847,-0.134250,1.274802,-2.934442,-0.147455,1.515509,-2.906433,-0.153372,1.612956,-2.870788,-0.180027,1.462135,-2.914432,-0.109519,1.465175,-2.907283,-0.316602,1.402552,-2.925780,0.028590,1.415653,-2.882918,-0.331262,1.145593,-3.060491,0.143137,1.173053,-2.769745,-0.354816,0.879109,-3.152069,0.114793,0.980020,-2.565062,-0.327078,0.223476,-2.337859,0.038746,0.066979,-3.130107,,,,,,,,,,-0.342025,0.861606,-3.139673,-0.306487,0.822511,-3.147199,-0.284696,0.797200,-3.160302,-0.317399,0.793068,-3.173491,-0.290311,0.775271,-3.191102,-0.266915,0.770464,-3.202862,-0.326188,0.801413,-3.196104,-0.297039,0.788735,-3.219198,-0.274939,0.786963,-3.233109,-0.333584,0.809590,-3.214172,-0.306282,0.798669,-3.237390,-0.286436,0.800381,-3.248807,-0.338746,0.824022,-3.229774,-0.314262,0.816844,-3.250438,-0.294637,0.819424,-3.261604,0.093075,0.976151,-2.553359,0.061710,0.933992,-2.544040,0.053017,0.899535,-2.539085,0.078067,0.910759,-2.509241,0.062278,0.877425,-2.508979,0.049700,0.857247,-2.520962,0.100803,0.901166,-2.516263,0.087884,0.864065,-2.516760,0.077697,0.846562,-2.533349,0.119638,0.894283,-2.523037,0.108219,0.858682,-2.525497,0.099416,0.847844,-2.543718,0.136922,0.890620,-2.535930,0.126092,0.859899,-2.540024,0.116437,0.844772,-2.553979,,,
9,0.300,-0.133872,0.932066,-2.894135,-0.253624,0.926121,-2.891040,-0.014120,0.938012,-2.897230,-0.275020,0.560271,-2.637014,0.007026,0.511207,-3.024600,-0.287951,0.176938,-2.475299,0.011606,0.172534,-3.266557,-0.139570,1.049089,-2.889797,-0.140778,1.262947,-2.874662,-0.156002,1.503760,-2.848657,-0.163802,1.601439,-2.814024,-0.188058,1.450167,-2.857266,-0.117810,1.453618,-2.848045,-0.323508,1.388643,-2.871391,0.020112,1.405996,-2.819231,-0.335360,1.128937,-3.001012,0.135157,1.164375,-2.704482,-0.359072,0.863174,-3.094623,0.114492,0.967982,-2.502088,-0.311567,0.159985,-2.298548,0.036921,0.062657,-3.127373,,,,,,,,,,-0.346218,0.844922,-3.083430,-0.311916,0.805395,-3.093865,-0.291398,0.780248,-3.109157,-0.324523,0.777254,-3.120817,-0.298565,0.759707,-3.140283,-0.275784,0.754953,-3.153215,-0.333990,0.786672,-3.142724,-0.306040,0.774205,-3.167364,-0.284523,0.772449,-3.182164,-0.341891,0.795713,-3.160155,-0.315731,0.785128,-3.184799,-0.296293,0.786853,-3.196896,-0.347321,0.810857,-3.174972,-0.323712,0.803842,-3.196683,-0.304407,0.806336,-3.208413,0.092818,0.964218,-2.490268,0.062326,0.921895,-2.479000,0.054782,0.887435,-2.472444,0.079047,0.900732,-2.443072,0.064142,0.867082,-2.440602,0.052055,0.845862,-2.451211,0.102009,0.891301,-2.449560,0.090048,0.853915,-2.447874,0.080318,0.835211,-2.463392,0.121011,0.884505,-2.455943,0.110598,0.848515,-2.456345,0.102137,0.836407,-2.473916,0.138417,0.880594,-2.468596,0.128672,0.849337,-2.471014,0.119604,0.833164,-2.484167,,,
