frame_id,time_sec,Hips_X,Hips_Y,Hips_Z,LeftUpperLeg_X,LeftUpperLeg_Y,LeftUpperLeg_Z,RightUpperLeg_X,RightUpperLeg_Y,RightUpperLeg_Z,LeftLowerLeg_X,LeftLowerLeg_Y,LeftLowerLeg_Z,RightLowerLeg_X,RightLowerLeg_Y,RightLowerLeg_Z,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,RightFoot_X,RightFoot_Y,RightFoot_Z,Spine_X,Spine_Y,Spine_Z,Chest_X,Chest_Y,Chest_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,LeftUpperArm_X,LeftUpperArm_Y,LeftUpperArm_Z,RightUpperArm_X,RightUpperArm_Y,RightUpperArm_Z,LeftLowerArm_X,LeftLowerArm_Y,LeftLowerArm_Z,RightLowerArm_X,RightLowerArm_Y,RightLowerArm_Z,LeftHand_X,LeftHand_Y,LeftHand_Z,RightHand_X,RightHand_Y,RightHand_Z,LeftToes_X,LeftToes_Y,LeftToes_Z,RightToes_X,RightToes_Y,RightToes_Z,LeftEye_X,LeftEye_Y,LeftEye_Z,RightEye_X,RightEye_Y,RightEye_Z,Jaw_X,Jaw_Y,Jaw_Z,LeftThumbProximal_X,LeftThumbProximal_Y,LeftThumbProximal_Z,LeftThumbIntermediate_X,LeftThumbIntermediate_Y,LeftThumbIntermediate_Z,LeftThumbDistal_X,LeftThumbDistal_Y,LeftThumbDistal_Z,LeftIndexProximal_X,LeftIndexProximal_Y,LeftIndexProximal_Z,LeftIndexIntermediate_X,LeftIndexIntermediate_Y,LeftIndexIntermediate_Z,LeftIndexDistal_X,LeftIndexDistal_Y,LeftIndexDistal_Z,LeftMiddleProximal_X,LeftMiddleProximal_Y,LeftMiddleProximal_Z,LeftMiddleIntermediate_X,LeftMiddleIntermediate_Y,LeftMiddleIntermediate_Z,LeftMiddleDistal_X,LeftMiddleDistal_Y,LeftMiddleDistal_Z,LeftRingProximal_X,LeftRingProximal_Y,LeftRingProximal_Z,LeftRingIntermediate_X,LeftRingIntermediate_Y,LeftRingIntermediate_Z,LeftRingDistal_X,LeftRingDistal_Y,LeftRingDistal_Z,LeftLittleProximal_X,LeftLittleProximal_Y,LeftLittleProximal_Z,LeftLittleIntermediate_X,LeftLittleIntermediate_Y,LeftLittleIntermediate_Z,LeftLittleDistal_X,LeftLittleDistal_Y,LeftLittleDistal_Z,RightThumbProximal_X,RightThumbProximal_Y,RightThumbProximal_Z,RightThumbIntermediate_X,RightThumbIntermediate_Y,RightThumbIntermediate_Z,RightThumbDistal_X,RightThumbDistal_Y,RightThumbDistal_Z,RightIndexProximal_X,RightIndexProximal_Y,RightIndexProximal_Z,RightIndexIntermediate_X,RightIndexIntermediate_Y,RightIndexIntermediate_Z,RightIndexDistal_X,RightIndexDistal_Y,RightIndexDistal_Z,RightMiddleProximal_X,RightMiddleProximal_Y,RightMiddleProximal_Z,RightMiddleIntermediate_X,RightMiddleIntermediate_Y,RightMiddleIntermediate_Z,RightMiddleDistal_X,RightMiddleDistal_Y,RightMiddleDistal_Z,RightRingProximal_X,RightRingProximal_Y,RightRingProximal_Z,RightRingIntermediate_X,RightRingIntermediate_Y,RightRingIntermediate_Z,RightRingDistal_X,RightRingDistal_Y,RightRingDistal_Z,RightLittleProximal_X,RightLittleProximal_Y,RightLittleProximal_Z,RightLittleIntermediate_X,RightLittleIntermediate_Y,RightLittleIntermediate_Z,RightLittleDistal_X,RightLittleDistal_Y,RightLittleDistal_Z,UpperChest_X,UpperChest_Y,UpperChest_Z
0,0.000,-0.094629,0.962876,-3.333922,-0.214315,0.963750,-3.341667,0.025057,0.962003,-3.326177,-0.285801,0.557842,-3.171488,0.026888,0.536422,-3.193095,-0.237642,0.270180,-3.468464,0.027154,0.129909,-3.282595,-0.093899,1.080100,-3.331985,-0.096563,1.293932,-3.316673,-0.086881,1.534370,-3.285137,-0.081876,1.631056,-3.247345,-0.124190,1.483617,-3.287595,-0.053497,1.481490,-3.293041,-0.261605,1.429779,-3.264143,0.080251,1.417773,-3.306154,-0.325177,1.146487,-3.273852,0.143167,1.133610,-3.314900,-0.345407,0.870657,-3.215001,0.167528,0.868586,-3.219351,-0.258618,0.097199,-3.426948,0.045960,0.045552,-3.125698,,,,,,,,,,-0.328315,0.857649,-3.202262,-0.302672,0.810848,-3.202382,-0.292540,0.777030,-3.208778,-0.326248,0.777389,-3.201001,-0.312795,0.745964,-3.214860,-0.299056,0.729141,-3.230257,-0.345446,0.776922,-3.218014,-0.333109,0.746918,-3.240180,-0.321664,0.732371,-3.258686,-0.361077,0.777935,-3.232249,-0.350349,0.749939,-3.254719,-0.339444,0.740172,-3.272405,-0.373409,0.784688,-3.249004,-0.363387,0.762056,-3.270575,-0.352390,0.753372,-3.288468,0.154943,0.859515,-3.199781,0.122308,0.818169,-3.191215,0.108930,0.785429,-3.197254,0.146768,0.780922,-3.185500,0.125785,0.750720,-3.188344,0.104062,0.737895,-3.196865,0.158708,0.775955,-3.207660,0.138013,0.743257,-3.214457,0.116324,0.735286,-3.226758,0.168411,0.773236,-3.226273,0.148702,0.742587,-3.234994,0.129151,0.741172,-3.246941,0.174633,0.776310,-3.247015,0.156064,0.750864,-3.256263,0.137217,0.743801,-3.266831,,,
1,0.033,-0.094629,0.962876,-3.333922,-0.214315,0.963750,-3.341667,0.025057,0.962003,-3.326177,-0.285801,0.557842,-3.171488,0.026888,0.536422,-3.193095,-0.237642,0.270180,-3.468464,0.027154,0.129909,-3.282595,-0.093899,1.080100,-3.331985,-0.096563,1.293932,-3.316673,-0.086881,1.534370,-3.285137,-0.081876,1.631056,-3.247345,-0.124190,1.483617,-3.287595,-0.053497,1.481490,-3.293041,-0.261605,1.429779,-3.264143,0.080251,1.417773,-3.306154,-0.325177,1.146487,-3.273852,0.143167,1.133610,-3.314900,-0.345407,0.870657,-3.215001,0.167528,0.868586,-3.219351,-0.258618,0.097199,-3.426948,0.045960,0.045552,-3.125698,,,,,,,,,,-0.328315,0.857649,-3.202262,-0.302672,0.810848,-3.202382,-0.292540,0.777030,-3.208778,-0.326248,0.777389,-3.201001,-0.312795,0.745964,-3.214860,-0.299056,0.729141,-3.230257,-0.345446,0.776922,-3.218014,-0.333109,0.746918,-3.240180,-0.321664,0.732371,-3.258686,-0.361077,0.777935,-3.232249,-0.350349,0.749939,-3.254719,-0.339444,0.740172,-3.272405,-0.373409,0.784688,-3.249004,-0.363387,0.762056,-3.270575,-0.352390,0.753372,-3.288468,0.154943,0.859515,-3.199781,0.122308,0.818169,-3.191215,0.108930,0.785429,-3.197254,0.146768,0.780922,-3.185500,0.125785,0.750720,-3.188344,0.104062,0.737895,-3.196865,0.158708,0.775955,-3.207660,0.138013,0.743257,-3.214457,0.116324,0.735286,-3.226758,0.168411,0.773236,-3.226273,0.148702,0.742587,-3.234994,0.129151,0.741172,-3.246941,0.174633,0.776310,-3.247015,0.156064,0.750864,-3.256263,0.137217,0.743801,-3.266831,,,
2,0.067,-0.103059,0.977703,-3.279789,-0.222888,0.978265,-3.284914,0.016770,0.977142,-3.274664,-0.285845,0.583120,-3.088115,0.017068,0.538608,-3.193917,-0.247594,0.235505,-3.313866,0.021647,0.131072,-3.278514,-0.102572,1.094935,-3.278328,-0.104122,1.308606,-3.260781,-0.096030,1.548916,-3.227847,-0.092649,1.645579,-3.189816,-0.133042,1.497982,-3.230950,-0.062288,1.496256,-3.235706,-0.270358,1.442777,-3.210257,0.072384,1.434105,-3.246701,-0.331329,1.161090,-3.246650,0.138951,1.150695,-3.241086,-0.361513,0.881133,-3.220795,0.151536,0.894176,-3.122765,-0.272465,0.080225,-3.228100,0.042372,0.046316,-3.122075,,,,,,,,,,-0.344763,0.866031,-3.210070,-0.318632,0.820175,-3.217964,-0.307501,0.788199,-3.229830,-0.341883,0.786964,-3.223768,-0.327967,0.757326,-3.240754,-0.313503,0.742362,-3.257359,-0.360435,0.789623,-3.241290,-0.347462,0.763004,-3.267113,-0.335375,0.751144,-3.287072,-0.375541,0.793228,-3.255671,-0.364577,0.768558,-3.281651,-0.353265,0.761230,-3.300237,-0.387318,0.802956,-3.271325,-0.376933,0.784432,-3.296365,-0.365553,0.778995,-3.315270,0.136717,0.887972,-3.103646,0.103067,0.847987,-3.092838,0.090234,0.814578,-3.095390,0.126481,0.812288,-3.078851,0.106289,0.781420,-3.079032,0.085788,0.766774,-3.087645,0.140877,0.804218,-3.098495,0.121089,0.770505,-3.102429,0.100937,0.760351,-3.115699,0.152655,0.798873,-3.115250,0.134271,0.766783,-3.121265,0.116249,0.763079,-3.134992,0.161255,0.798899,-3.135360,0.143975,0.772006,-3.142843,0.126543,0.763095,-3.154397,,,
3,0.100,-0.108723,0.988685,-3.236800,-0.228603,0.989625,-3.240455,0.011158,0.987746,-3.233146,-0.282861,0.597727,-3.034774,0.008958,0.542863,-3.203037,-0.249729,0.202955,-3.162527,0.015470,0.136597,-3.293422,-0.107894,1.105888,-3.233871,-0.108998,1.319461,-3.215135,-0.104989,1.559970,-3.182919,-0.104020,1.656773,-3.145107,-0.141226,1.508538,-3.186839,-0.070351,1.507737,-3.189647,-0.278916,1.452368,-3.172075,0.065610,1.447758,-3.195762,-0.336784,1.174443,-3.233704,0.141053,1.167378,-3.173880,-0.369710,0.893620,-3.230618,0.145268,0.921168,-3.034871,-0.278243,0.076400,-3.039009,0.036563,0.052689,-3.136575,,,,,,,,,,-0.353297,0.878329,-3.219642,-0.324104,0.834629,-3.228917,-0.309923,0.804442,-3.242139,-0.344868,0.801117,-3.240010,-0.327890,0.773406,-3.257458,-0.311074,0.760314,-3.273416,-0.361746,0.804595,-3.259017,-0.345110,0.780706,-3.285405,-0.330598,0.770998,-3.304905,-0.375554,0.808870,-3.274479,-0.361178,0.786753,-3.301086,-0.347874,0.781329,-3.318995,-0.386258,0.819502,-3.290314,-0.372760,0.803686,-3.315723,-0.359444,0.800397,-3.333844,0.128935,0.915161,-3.016960,0.094792,0.875068,-3.008313,0.082338,0.841547,-3.011248,0.117208,0.839825,-2.991770,0.097178,0.808887,-2.993253,0.077533,0.794047,-3.003393,0.133270,0.831548,-3.009984,0.113913,0.797749,-3.015140,0.094978,0.787397,-3.029958,0.146459,0.826022,-3.025590,0.128742,0.793763,-3.032614,0.111950,0.789781,-3.047750,0.156725,0.825780,-3.044901,0.140200,0.798699,-3.053348,0.123810,0.789547,-3.066170,,,
4,0.133,-0.112979,0.991320,-3.184282,-0.232880,0.991481,-3.187341,0.006922,0.991158,-3.181222,-0.274601,0.592129,-2.993407,0.007347,0.545299,-3.187708,-0.251685,0.176512,-2.994100,0.011858,0.142203,-3.291420,-0.112931,1.108482,-3.179978,-0.112663,1.321969,-3.160254,-0.113031,1.562595,-3.128662,-0.114290,1.659561,-3.091280,-0.148410,1.510659,-3.133649,-0.077476,1.510825,-3.134051,-0.286157,1.453300,-3.125454,0.060105,1.454330,-3.134014,-0.336992,1.180452,-3.211243,0.147081,1.179238,-3.094728,-0.369557,0.900270,-3.231057,0.138052,0.947737,-2.932598,-0.285074,0.087518,-2.842273,0.034028,0.058661,-3.134527,,,,,,,,,,-0.353721,0.884868,-3.219411,-0.321985,0.842894,-3.228297,-0.305272,0.814136,-3.241744,-0.340145,0.809484,-3.243505,-0.320472,0.783507,-3.260790,-0.301664,0.772017,-3.275725,-0.355153,0.813614,-3.263900,-0.334977,0.792036,-3.289804,-0.318181,0.784091,-3.308240,-0.367500,0.818412,-3.280409,-0.349651,0.798554,-3.306692,-0.334411,0.794745,-3.323436,-0.376983,0.829681,-3.296579,-0.360317,0.815998,-3.321338,-0.345094,0.814337,-3.338130,0.119947,0.941997,-2.916384,0.085709,0.901540,-2.910137,0.073708,0.867847,-2.912986,0.106734,0.867308,-2.890028,0.087037,0.836291,-2.893274,0.068742,0.821197,-2.905374,0.124833,0.858759,-2.906079,0.106375,0.824693,-2.912590,0.089308,0.813858,-2.929222,0.139745,0.852988,-2.919946,0.122992,0.820476,-2.928083,0.107986,0.816054,-2.944882,0.152076,0.852317,-2.937999,0.136477,0.824972,-2.947312,0.121501,0.815428,-2.961504,,,
5,0.167,-0.116262,0.985264,-3.134735,-0.236132,0.981882,-3.137029,0.003608,0.988645,-3.132441,-0.269234,0.587572,-2.931467,0.013532,0.543425,-3.155093,-0.263713,0.183079,-2.833394,0.014731,0.149613,-3.289906,-0.119664,1.102340,-3.129517,-0.116587,1.315799,-3.109727,-0.122217,1.556468,-3.078983,-0.125273,1.653589,-3.042109,-0.156499,1.503925,-3.085129,-0.085614,1.505296,-3.082848,-0.293806,1.444987,-3.083044,0.053344,1.452754,-3.075756,-0.333584,1.177698,-3.189646,0.152457,1.185608,-3.015811,-0.362373,0.899490,-3.231199,0.134170,0.968308,-2.835793,-0.299963,0.133529,-2.665118,0.036894,0.063474,-3.134423,,,,,,,,,,-0.347571,0.883846,-3.218558,-0.314089,0.842910,-3.225713,-0.295228,0.815108,-3.238302,-0.329683,0.809929,-3.244323,-0.307731,0.785069,-3.260470,-0.287180,0.774566,-3.273742,-0.342437,0.814739,-3.266059,-0.319092,0.794706,-3.290501,-0.300214,0.787890,-3.307301,-0.352991,0.820083,-3.283611,-0.331916,0.801798,-3.308616,-0.314848,0.799043,-3.323723,-0.360886,0.831925,-3.300219,-0.341245,0.819711,-3.323522,-0.324207,0.819104,-3.338550,0.114436,0.963191,-2.821370,0.080376,0.922417,-2.816335,0.068450,0.888615,-2.817929,0.099535,0.890054,-2.791762,0.080473,0.858735,-2.795797,0.063831,0.842880,-2.809236,0.119479,0.880926,-2.805074,0.102265,0.846232,-2.811681,0.087369,0.834186,-2.829523,0.135963,0.874632,-2.816764,0.120407,0.841533,-2.824907,0.107440,0.836024,-2.843031,0.150275,0.873098,-2.833233,0.135717,0.845162,-2.842477,0.122338,0.834705,-2.857591,,,
6,0.200,-0.119264,0.973496,-3.079377,-0.239005,0.966629,-3.080092,0.000477,0.980363,-3.078662,-0.266788,0.586076,-2.849352,0.019857,0.536914,-3.121207,-0.284848,0.200614,-2.693288,0.017923,0.155133,-3.287048,-0.126003,1.090403,-3.073643,-0.121556,1.303941,-3.055003,-0.131734,1.544651,-3.025779,-0.136052,1.641910,-2.989399,-0.165019,1.491563,-3.032674,-0.094265,1.494022,-3.028247,-0.302023,1.431961,-3.035665,0.044903,1.443485,-3.014163,-0.330806,1.170257,-3.158435,0.152678,1.185936,-2.931476,-0.355898,0.895444,-3.220107,0.126350,0.980967,-2.738461,-0.322994,0.191827,-2.518492,0.040330,0.065595,-3.133532,,,,,,,,,,-0.342232,0.879238,-3.206908,-0.307611,0.839065,-3.212866,-0.287199,0.812192,-3.225046,-0.320758,0.807058,-3.234774,-0.296569,0.783945,-3.250309,-0.274504,0.774919,-3.262160,-0.331307,0.812982,-3.257399,-0.305131,0.795027,-3.280554,-0.284497,0.789674,-3.295741,-0.340100,0.819221,-3.275613,-0.316057,0.803125,-3.299417,-0.297452,0.801754,-3.312799,-0.346437,0.831917,-3.292257,-0.324307,0.821478,-3.314149,-0.305837,0.822053,-3.327378,0.105452,0.976673,-2.725482,0.071879,0.935599,-2.719672,0.060348,0.901630,-2.718957,0.089278,0.906261,-2.690434,0.071141,0.874288,-2.693492,0.056116,0.856948,-2.707002,0.110559,0.896491,-2.700917,0.094725,0.860867,-2.705799,0.081832,0.846844,-2.723756,0.128190,0.889595,-2.710385,0.113976,0.855544,-2.716891,0.102869,0.848138,-2.735566,0.144013,0.886923,-2.725246,0.130679,0.857944,-2.733007,0.118846,0.845830,-2.748173,,,
7,0.233,-0.123151,0.958310,-3.020440,-0.242801,0.950104,-3.019011,-0.003500,0.966517,-3.021869,-0.267241,0.589992,-2.757182,0.020935,0.526483,-3.089737,-0.297124,0.214176,-2.580737,0.016993,0.158731,-3.284690,-0.131086,1.075114,-3.014150,-0.127693,1.288769,-2.996666,-0.139846,1.529550,-2.968817,-0.144825,1.626966,-2.932945,-0.172682,1.476224,-2.976024,-0.102032,1.479142,-2.970384,-0.309739,1.417099,-2.983159,0.036533,1.428833,-2.950657,-0.330719,1.159387,-3.115573,0.149308,1.180565,-2.848536,-0.354709,0.888879,-3.194347,0.118970,0.984276,-2.647264,-0.335059,0.239496,-2.407515,0.040652,0.067432,-3.132405,,,,,,,,,,-0.341789,0.872006,-3.181232,-0.306582,0.832348,-3.187215,-0.285107,0.806214,-3.199173,-0.318100,0.801574,-3.211659,-0.291746,0.781655,-3.228071,-0.268617,0.775236,-3.239588,-0.327243,0.808720,-3.234542,-0.298858,0.793876,-3.257293,-0.277087,0.790679,-3.271467,-0.334914,0.815939,-3.252900,-0.308438,0.802939,-3.276003,-0.288854,0.803478,-3.287973,-0.340279,0.829526,-3.269180,-0.316393,0.820975,-3.290020,-0.297036,0.822756,-3.301794,0.097496,0.980193,-2.635189,0.065135,0.938385,-2.627922,0.055234,0.904012,-2.625120,0.081783,0.912238,-2.595403,0.065013,0.879423,-2.596974,0.051479,0.860501,-2.609926,0.103998,0.902532,-2.603804,0.089872,0.865976,-2.606593,0.078646,0.850043,-2.624069,0.122405,0.895621,-2.611642,0.109851,0.860615,-2.616210,0.100184,0.851331,-2.634846,0.139183,0.892407,-2.625301,0.127319,0.862383,-2.631269,0.116814,0.848589,-2.645972,,,
8,0.267,-0.128110,0.944450,-2.959087,-0.247746,0.936486,-2.956031,-0.008474,0.952414,-2.962144,-0.271834,0.579212,-2.690309,0.016588,0.517732,-3.058356,-0.295077,0.203148,-2.513394,0.014458,0.164413,-3.278411,-0.135722,1.061267,-2.952657,-0.134431,1.274950,-2.935222,-0.147633,1.515656,-2.907201,-0.153556,1.613099,-2.871548,-0.180205,1.462283,-2.915219,-0.109700,1.465319,-2.908036,-0.316784,1.402726,-2.926646,0.028390,1.415773,-2.883612,-0.331368,1.145802,-3.061432,0.142836,1.173160,-2.770364,-0.354842,0.879308,-3.153002,0.114224,0.980171,-2.565677,-0.328041,0.224285,-2.338601,0.038662,0.067057,-3.130012,,,,,,,,,,-0.342063,0.861815,-3.140580,-0.306504,0.822726,-3.148040,-0.284686,0.797414,-3.161096,-0.317372,0.793267,-3.174331,-0.290256,0.775468,-3.191895,-0.266842,0.770660,-3.203621,-0.326133,0.801598,-3.196960,-0.296950,0.788918,-3.220010,-0.274831,0.787146,-3.233891,-0.333507,0.809764,-3.215042,-0.306171,0.798839,-3.238219,-0.286312,0.800551,-3.249611,-0.338653,0.824187,-3.230659,-0.314141,0.817007,-3.251288,-0.294502,0.819588,-3.262431,0.092495,0.976300,-2.553994,0.061111,0.934144,-2.544727,0.052399,0.899688,-2.539800,0.077433,0.910886,-2.509929,0.061633,0.877556,-2.509708,0.049059,0.857392,-2.521719,0.100172,0.901290,-2.516938,0.087242,0.864194,-2.517474,0.077063,0.846707,-2.534085,0.119011,0.894406,-2.523702,0.107581,0.858811,-2.526197,0.098790,0.847989,-2.544433,0.136305,0.890746,-2.536582,0.125464,0.860033,-2.540706,0.115814,0.844920,-2.554680,,,
9,0.300,-0.134082,0.932190,-2.895010,-0.253835,0.926226,-2.891991,-0.014328,0.938153,-2.898028,-0.275502,0.560492,-2.637822,0.006980,0.511215,-3.024924,-0.288654,0.177285,-2.475827,0.011606,0.172378,-3.266651,-0.139799,1.049211,-2.890658,-0.140987,1.263065,-2.875468,-0.156221,1.503869,-2.849391,-0.164017,1.601541,-2.814735,-0.188273,1.450280,-2.858033,-0.118029,1.453726,-2.848776,-0.323721,1.388773,-2.872253,0.019872,1.406088,-2.819893,-0.335440,1.129131,-3.002016,0.134853,1.164511,-2.704987,-0.359047,0.863412,-3.095777,0.113901,0.968229,-2.502515,-0.312444,0.160868,-2.299048,0.036784,0.062797,-3.127209,,,,,,,,,,-0.346204,0.845167,-3.084560,-0.311871,0.805650,-3.094934,-0.291318,0.780507,-3.110183,-0.324424,0.777501,-3.121902,-0.298428,0.759959,-3.141322,-0.275625,0.755211,-3.154216,-0.333859,0.786913,-3.143826,-0.305866,0.774452,-3.168421,-0.284325,0.772701,-3.183186,-0.341735,0.795948,-3.161271,-0.315532,0.785369,-3.185872,-0.296076,0.787098,-3.197938,-0.347146,0.811089,-3.176099,-0.323501,0.804080,-3.197773,-0.304180,0.806581,-3.209474,0.092217,0.964463,-2.490716,0.061714,0.922138,-2.479483,0.054152,0.887679,-2.472940,0.078403,0.900967,-2.443545,0.063488,0.867318,-2.441114,0.051409,0.846107,-2.451751,0.101369,0.891536,-2.450015,0.089401,0.854151,-2.448362,0.079684,0.835458,-2.463901,0.120377,0.884741,-2.456383,0.109956,0.848753,-2.456813,0.101509,0.836656,-2.474399,0.137794,0.880832,-2.469022,0.128041,0.849580,-2.471460,0.118979,0.833414,-2.484626,,,
