frame_id,time_sec,Hips_X,Hips_Y,Hips_Z,LeftUpperLeg_X,LeftUpperLeg_Y,LeftUpperLeg_Z,RightUpperLeg_X,RightUpperLeg_Y,RightUpperLeg_Z,LeftLowerLeg_X,LeftLowerLeg_Y,LeftLowerLeg_Z,RightLowerLeg_X,RightLowerLeg_Y,RightLowerLeg_Z,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,RightFoot_X,RightFoot_Y,RightFoot_Z,Spine_X,Spine_Y,Spine_Z,Chest_X,Chest_Y,Chest_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,LeftUpperArm_X,LeftUpperArm_Y,LeftUpperArm_Z,RightUpperArm_X,RightUpperArm_Y,RightUpperArm_Z,LeftLowerArm_X,LeftLowerArm_Y,LeftLowerArm_Z,RightLowerArm_X,RightLowerArm_Y,RightLowerArm_Z,LeftHand_X,LeftHand_Y,LeftHand_Z,RightHand_X,RightHand_Y,RightHand_Z,LeftToes_X,LeftToes_Y,LeftToes_Z,RightToes_X,RightToes_Y,RightToes_Z,LeftEye_X,LeftEye_Y,LeftEye_Z,RightEye_X,RightEye_Y,RightEye_Z,Jaw_X,Jaw_Y,Jaw_Z,LeftThumbProximal_X,LeftThumbProximal_Y,LeftThumbProximal_Z,LeftThumbIntermediate_X,LeftThumbIntermediate_Y,LeftThumbIntermediate_Z,LeftThumbDistal_X,LeftThumbDistal_Y,LeftThumbDistal_Z,LeftIndexProximal_X,LeftIndexProximal_Y,LeftIndexProximal_Z,LeftIndexIntermediate_X,LeftIndexIntermediate_Y,LeftIndexIntermediate_Z,LeftIndexDistal_X,LeftIndexDistal_Y,LeftIndexDistal_Z,LeftMiddleProximal_X,LeftMiddleProximal_Y,LeftMiddleProximal_Z,LeftMiddleIntermediate_X,LeftMiddleIntermediate_Y,LeftMiddleIntermediate_Z,LeftMiddleDistal_X,LeftMiddleDistal_Y,LeftMiddleDistal_Z,LeftRingProximal_X,LeftRingProximal_Y,LeftRingProximal_Z,LeftRingIntermediate_X,LeftRingIntermediate_Y,LeftRingIntermediate_Z,LeftRingDistal_X,LeftRingDistal_Y,LeftRingDistal_Z,LeftLittleProximal_X,LeftLittleProximal_Y,LeftLittleProximal_Z,LeftLittleIntermediate_X,LeftLittleIntermediate_Y,LeftLittleIntermediate_Z,LeftLittleDistal_X,LeftLittleDistal_Y,LeftLittleDistal_Z,RightThumbProximal_X,RightThumbProximal_Y,RightThumbProximal_Z,RightThumbIntermediate_X,RightThumbIntermediate_Y,RightThumbIntermediate_Z,RightThumbDistal_X,RightThumbDistal_Y,RightThumbDistal_Z,RightIndexProximal_X,RightIndexProximal_Y,RightIndexProximal_Z,RightIndexIntermediate_X,RightIndexIntermediate_Y,RightIndexIntermediate_Z,RightIndexDistal_X,RightIndexDistal_Y,RightIndexDistal_Z,RightMiddleProximal_X,RightMiddleProximal_Y,RightMiddleProximal_Z,RightMiddleIntermediate_X,RightMiddleIntermediate_Y,RightMiddleIntermediate_Z,RightMiddleDistal_X,RightMiddleDistal_Y,RightMiddleDistal_Z,RightRingProximal_X,RightRingProximal_Y,RightRingProximal_Z,RightRingIntermediate_X,RightRingIntermediate_Y,RightRingIntermediate_Z,RightRingDistal_X,RightRingDistal_Y,RightRingDistal_Z,RightLittleProximal_X,RightLittleProximal_Y,RightLittleProximal_Z,RightLittleIntermediate_X,RightLittleIntermediate_Y,RightLittleIntermediate_Z,RightLittleDistal_X,RightLittleDistal_Y,RightLittleDistal_Z,UpperChest_X,UpperChest_Y,UpperChest_Z
0,0.000,-0.094484,0.962707,-3.334877,-0.214177,0.963576,-3.342530,0.025208,0.961838,-3.327224,-0.285472,0.557809,-3.171934,0.027093,0.536031,-3.194871,-0.237608,0.269191,-3.468029,0.027430,0.129502,-3.284302,-0.093756,1.079930,-3.332947,-0.096398,1.293760,-3.317602,-0.086724,1.534197,-3.286051,-0.081725,1.630883,-3.248258,-0.124030,1.483442,-3.288501,-0.053338,1.481320,-3.293969,-0.261433,1.429584,-3.265023,0.080417,1.417626,-3.307115,-0.324982,1.146299,-3.275081,0.143385,1.133469,-3.315689,-0.345342,0.870384,-3.216675,0.167641,0.868553,-3.219815,-0.258632,0.096376,-3.425850,0.046350,0.045141,-3.127422,,,,,,,,,,-0.328250,0.857343,-3.203970,-0.302604,0.810543,-3.204213,-0.292464,0.776745,-3.210693,-0.326178,0.777080,-3.202921,-0.312726,0.745677,-3.216832,-0.298985,0.728879,-3.232254,-0.345376,0.776657,-3.219937,-0.333041,0.746697,-3.242163,-0.321598,0.732185,-3.260698,-0.361006,0.777706,-3.234170,-0.350287,0.749753,-3.256698,-0.339384,0.740019,-3.274404,-0.373337,0.784503,-3.250907,-0.363322,0.761924,-3.272537,-0.352329,0.753283,-3.290453,0.155035,0.859522,-3.200241,0.122393,0.818191,-3.191626,0.109024,0.785437,-3.197610,0.146850,0.780959,-3.185803,0.125880,0.750743,-3.188602,0.104171,0.737891,-3.197117,0.158816,0.775946,-3.207938,0.138135,0.743229,-3.214687,0.116460,0.735227,-3.226995,0.168541,0.773188,-3.226535,0.148850,0.742515,-3.235211,0.129314,0.741068,-3.247178,0.174787,0.776218,-3.247276,0.156234,0.750750,-3.256492,0.137401,0.743661,-3.267069,,,
1,0.033,-0.094484,0.962707,-3.334877,-0.214177,0.963576,-3.342530,0.025208,0.961838,-3.327224,-0.285472,0.557809,-3.171934,0.027093,0.536031,-3.194871,-0.237608,0.269191,-3.468029,0.027430,0.129502,-3.284302,-0.093756,1.079930,-3.332947,-0.096398,1.293760,-3.317602,-0.086724,1.534197,-3.286051,-0.081725,1.630883,-3.248258,-0.124030,1.483442,-3.288501,-0.053338,1.481320,-3.293969,-0.261433,1.429584,-3.265023,0.080417,1.417626,-3.307115,-0.324982,1.146299,-3.275081,0.143385,1.133469,-3.315689,-0.345342,0.870384,-3.216675,0.167641,0.868553,-3.219815,-0.258632,0.096376,-3.425850,0.046350,0.045141,-3.127422,,,,,,,,,,-0.328250,0.857343,-3.203970,-0.302604,0.810543,-3.204213,-0.292464,0.776745,-3.210693,-0.326178,0.777080,-3.202921,-0.312726,0.745677,-3.216832,-0.298985,0.728879,-3.232254,-0.345376,0.776657,-3.219937,-0.333041,0.746697,-3.242163,-0.321598,0.732185,-3.260698,-0.361006,0.777706,-3.234170,-0.350287,0.749753,-3.256698,-0.339384,0.740019,-3.274404,-0.373337,0.784503,-3.250907,-0.363322,0.761924,-3.272537,-0.352329,0.753283,-3.290453,0.155035,0.859522,-3.200241,0.122393,0.818191,-3.191626,0.109024,0.785437,-3.197610,0.146850,0.780959,-3.185803,0.125880,0.750743,-3.188602,0.104171,0.737891,-3.197117,0.158816,0.775946,-3.207938,0.138135,0.743229,-3.214687,0.116460,0.735227,-3.226995,0.168541,0.773188,-3.226535,0.148850,0.742515,-3.235211,0.129314,0.741068,-3.247178,0.174787,0.776218,-3.247276,0.156234,0.750750,-3.256492,0.137401,0.743661,-3.267069,,,
2,0.067,-0.103168,0.977873,-3.279175,-0.223001,0.978439,-3.284196,0.016666,0.977306,-3.274154,-0.285700,0.583317,-3.087270,0.016991,0.538642,-3.194117,-0.247662,0.234885,-3.311795,0.021587,0.131123,-3.278798,-0.102675,1.095104,-3.277694,-0.104206,1.308774,-3.260129,-0.096148,1.549087,-3.227211,-0.092774,1.645752,-3.189185,-0.133152,1.498146,-3.230299,-0.062399,1.496433,-3.235077,-0.270461,1.442928,-3.209594,0.072285,1.434312,-3.246097,-0.331432,1.161281,-3.246303,0.138988,1.150937,-3.240303,-0.361653,0.881302,-3.220743,0.151557,0.894555,-3.121684,-0.272516,0.079928,-3.225443,0.042437,0.046382,-3.122368,,,,,,,,,,-0.344901,0.866197,-3.210027,-0.318734,0.820368,-3.217965,-0.307569,0.788416,-3.229862,-0.341958,0.787150,-3.223829,-0.328011,0.757538,-3.240836,-0.313525,0.742600,-3.257444,-0.360500,0.789820,-3.241360,-0.347494,0.763238,-3.267205,-0.335386,0.751409,-3.287169,-0.375598,0.793434,-3.255746,-0.364605,0.768799,-3.281748,-0.353277,0.761498,-3.300334,-0.387371,0.803174,-3.271396,-0.376960,0.784688,-3.296452,-0.365566,0.779282,-3.315358,0.136729,0.888355,-3.102570,0.103077,0.848370,-3.091767,0.090247,0.814959,-3.094315,0.126488,0.812676,-3.077760,0.106297,0.781808,-3.077944,0.085801,0.767160,-3.086564,0.140894,0.804602,-3.097395,0.121108,0.770889,-3.101331,0.100962,0.760732,-3.114609,0.152680,0.799254,-3.114143,0.134301,0.767163,-3.120158,0.116285,0.763454,-3.133893,0.161291,0.799276,-3.134249,0.144015,0.772380,-3.141733,0.126588,0.763467,-3.153293,,,
3,0.100,-0.108781,0.988737,-3.236055,-0.228665,0.989666,-3.239617,0.011102,0.987809,-3.232492,-0.282602,0.597653,-3.034070,0.008961,0.542890,-3.202897,-0.249639,0.202317,-3.160109,0.015383,0.136666,-3.293475,-0.107961,1.105939,-3.233107,-0.109033,1.319511,-3.214356,-0.105063,1.560023,-3.182151,-0.104099,1.656828,-3.144345,-0.141291,1.508583,-3.186061,-0.070417,1.507796,-3.188884,-0.278974,1.452397,-3.171293,0.065565,1.447865,-3.195008,-0.336804,1.174531,-3.233229,0.141198,1.167551,-3.172938,-0.369741,0.893707,-3.230441,0.145351,0.921538,-3.033580,-0.278113,0.076233,-3.036101,0.036600,0.052764,-3.136642,,,,,,,,,,-0.353328,0.878415,-3.219468,-0.324104,0.834739,-3.228761,-0.309897,0.804571,-3.241999,-0.344842,0.801226,-3.239899,-0.327838,0.773539,-3.257361,-0.311005,0.760470,-3.273318,-0.361708,0.804713,-3.258917,-0.345041,0.780856,-3.285314,-0.330509,0.771173,-3.304811,-0.375507,0.808994,-3.274384,-0.361100,0.786909,-3.301001,-0.347781,0.781508,-3.318905,-0.386206,0.819635,-3.290218,-0.372679,0.803849,-3.315630,-0.359349,0.800583,-3.333745,0.129005,0.915536,-3.015680,0.094863,0.875440,-3.007042,0.082413,0.841916,-3.009965,0.117273,0.840209,-2.990462,0.097244,0.809271,-2.991955,0.077609,0.794428,-3.002109,0.133353,0.831927,-3.008659,0.114003,0.798125,-3.013819,0.095081,0.787767,-3.028651,0.146556,0.826396,-3.024251,0.128846,0.794134,-3.031278,0.112066,0.790146,-3.046427,0.156838,0.826147,-3.043554,0.140318,0.799063,-3.052000,0.123938,0.789905,-3.064831,,,
4,0.133,-0.112986,0.991247,-3.183564,-0.232889,0.991359,-3.186529,0.006918,0.991136,-3.180599,-0.274349,0.592032,-2.992487,0.007474,0.545280,-3.187312,-0.251709,0.176400,-2.991888,0.011900,0.142300,-3.291477,-0.112984,1.108410,-3.179248,-0.112662,1.321896,-3.159523,-0.113083,1.562523,-3.127941,-0.114341,1.659492,-3.090565,-0.148449,1.510578,-3.132920,-0.077516,1.510761,-3.133333,-0.286186,1.453197,-3.124715,0.060088,1.454322,-3.133293,-0.336940,1.180418,-3.210771,0.147279,1.179330,-3.093783,-0.369481,0.900254,-3.230872,0.138256,0.948022,-2.931377,-0.285048,0.087897,-2.839764,0.034181,0.058720,-3.134620,,,,,,,,,,-0.353651,0.884849,-3.219222,-0.321894,0.842890,-3.228107,-0.305158,0.814146,-3.241555,-0.340030,0.809485,-3.243353,-0.320336,0.783524,-3.260637,-0.301512,0.772049,-3.275563,-0.355022,0.813624,-3.263758,-0.334817,0.792068,-3.289659,-0.318004,0.784139,-3.308085,-0.367355,0.818429,-3.280274,-0.349477,0.798594,-3.306556,-0.334222,0.794800,-3.323289,-0.376828,0.829705,-3.296446,-0.360136,0.816044,-3.321198,-0.344897,0.814398,-3.337978,0.120139,0.942293,-2.915174,0.085907,0.901833,-2.908918,0.073906,0.868137,-2.911739,0.106924,0.867625,-2.888758,0.087232,0.836604,-2.892001,0.068950,0.821500,-2.904107,0.125039,0.859066,-2.904785,0.106593,0.824991,-2.911284,0.089543,0.814140,-2.927923,0.139965,0.853285,-2.918634,0.123222,0.820766,-2.926758,0.108232,0.816328,-2.943567,0.152312,0.852601,-2.936675,0.136720,0.825248,-2.945976,0.121755,0.815691,-2.960171,,,
5,0.167,-0.116225,0.985104,-3.133945,-0.236095,0.981673,-3.136133,0.003646,0.988535,-3.131757,-0.268978,0.587545,-2.930186,0.013692,0.543332,-3.154696,-0.263876,0.183232,-2.831352,0.014779,0.149675,-3.289960,-0.119671,1.102178,-3.128718,-0.116560,1.315638,-3.108945,-0.122234,1.556309,-3.078218,-0.125282,1.653432,-3.041349,-0.156506,1.503758,-3.084352,-0.085620,1.505145,-3.082089,-0.293809,1.444811,-3.082242,0.053348,1.452630,-3.074995,-0.333515,1.177594,-3.189052,0.152642,1.185608,-3.014801,-0.362295,0.899425,-3.230870,0.134383,0.968478,-2.834574,-0.300090,0.134226,-2.662909,0.037054,0.063486,-3.134520,,,,,,,,,,-0.347500,0.883774,-3.218230,-0.314006,0.842849,-3.225393,-0.295132,0.815060,-3.237990,-0.329581,0.809880,-3.244041,-0.307608,0.785044,-3.260197,-0.287043,0.774563,-3.273465,-0.342319,0.814705,-3.265782,-0.318950,0.794701,-3.290225,-0.300057,0.787907,-3.307018,-0.352861,0.820061,-3.283338,-0.331760,0.801808,-3.308344,-0.314679,0.799072,-3.323440,-0.360745,0.831915,-3.299942,-0.341084,0.819727,-3.323241,-0.324035,0.819137,-3.338258,0.114642,0.963374,-2.820156,0.080593,0.922595,-2.815085,0.068674,0.888788,-2.816637,0.099750,0.890272,-2.790457,0.080699,0.858943,-2.794465,0.064070,0.843066,-2.807894,0.119705,0.881133,-2.803744,0.102507,0.846425,-2.810316,0.087627,0.834350,-2.828151,0.136198,0.874829,-2.815416,0.120657,0.841715,-2.823525,0.107703,0.836179,-2.841650,0.150520,0.873278,-2.831874,0.135975,0.845325,-2.841088,0.122606,0.834844,-2.856195,,,
6,0.200,-0.119206,0.973286,-3.078537,-0.238947,0.966400,-3.079138,0.000534,0.980173,-3.077935,-0.266528,0.586118,-2.847929,0.019964,0.536762,-3.120852,-0.284621,0.200774,-2.691576,0.017900,0.155164,-3.287111,-0.125958,1.090192,-3.072790,-0.121514,1.303732,-3.054170,-0.131699,1.544443,-3.024958,-0.136001,1.641704,-2.988582,-0.164983,1.491351,-3.031834,-0.094227,1.493817,-3.027439,-0.301991,1.431756,-3.034787,0.044944,1.443283,-3.013372,-0.330754,1.170107,-3.157678,0.152859,1.185857,-2.930486,-0.355885,0.895348,-3.219573,0.126614,0.981007,-2.737333,-0.322655,0.192459,-2.516732,0.040431,0.065601,-3.133628,,,,,,,,,,-0.342220,0.879132,-3.206384,-0.307595,0.838965,-3.212367,-0.287177,0.812103,-3.224559,-0.320736,0.806975,-3.234303,-0.296528,0.783905,-3.249871,-0.274456,0.774915,-3.261736,-0.331282,0.812917,-3.256925,-0.305091,0.795004,-3.280096,-0.284450,0.789682,-3.295286,-0.340071,0.819169,-3.275136,-0.316010,0.803117,-3.298950,-0.297399,0.801773,-3.312327,-0.346407,0.831878,-3.291772,-0.324266,0.821466,-3.313666,-0.305792,0.822058,-3.326889,0.105717,0.976716,-2.724350,0.072166,0.935630,-2.718498,0.060659,0.901654,-2.717747,0.089577,0.906336,-2.689225,0.071459,0.874350,-2.692249,0.056445,0.856987,-2.705743,0.110866,0.896566,-2.699694,0.095053,0.860927,-2.704536,0.082171,0.846876,-2.722479,0.128502,0.889669,-2.709151,0.114308,0.855603,-2.715621,0.103207,0.848169,-2.734289,0.144329,0.886989,-2.724007,0.131010,0.857994,-2.731735,0.119186,0.845855,-2.746888,,,
7,0.233,-0.123066,0.958117,-3.019561,-0.242715,0.949914,-3.018025,-0.003417,0.966320,-3.021097,-0.266969,0.589841,-2.756125,0.020987,0.526349,-3.089384,-0.296640,0.214020,-2.579656,0.016941,0.158789,-3.284696,-0.130993,1.074921,-3.013264,-0.127617,1.288576,-2.995783,-0.139765,1.529357,-2.967923,-0.144733,1.626773,-2.932051,-0.172603,1.476030,-2.975118,-0.101951,1.478950,-2.969506,-0.309660,1.416899,-2.982218,0.036622,1.428652,-2.949808,-0.330642,1.159197,-3.114653,0.149497,1.180462,-2.847610,-0.354688,0.888742,-3.193590,0.119327,0.984216,-2.646269,-0.334387,0.239279,-2.406384,0.040714,0.067403,-3.132480,,,,,,,,,,-0.341762,0.871859,-3.180494,-0.306556,0.832208,-3.186522,-0.285085,0.806085,-3.198510,-0.318082,0.801452,-3.210985,-0.291729,0.781561,-3.227432,-0.268604,0.775164,-3.238970,-0.327236,0.808615,-3.233858,-0.298855,0.793800,-3.256634,-0.277089,0.790623,-3.270821,-0.334915,0.815848,-3.252207,-0.308443,0.802876,-3.275331,-0.288863,0.803431,-3.287308,-0.340287,0.829446,-3.268474,-0.316407,0.820915,-3.289329,-0.297055,0.822706,-3.301108,0.097857,0.980136,-2.634185,0.065517,0.938320,-2.626867,0.055635,0.903945,-2.624029,0.082185,0.912214,-2.594326,0.065428,0.879390,-2.595861,0.051899,0.860449,-2.608791,0.104401,0.902509,-2.602724,0.090291,0.865944,-2.605472,0.079068,0.849988,-2.622929,0.122809,0.895598,-2.610560,0.110269,0.860583,-2.615091,0.100601,0.851276,-2.633715,0.139585,0.892378,-2.624220,0.127732,0.862343,-2.630154,0.117229,0.848529,-2.644840,,,
8,0.267,-0.127997,0.944279,-2.958166,-0.247632,0.936344,-2.955026,-0.008361,0.952215,-2.961306,-0.271499,0.578948,-2.689449,0.016582,0.517628,-3.057972,-0.294479,0.202775,-2.512730,0.014398,0.164505,-3.278343,-0.135577,1.061100,-2.951760,-0.134310,1.274785,-2.934358,-0.147521,1.515493,-2.906354,-0.153446,1.612940,-2.870711,-0.180092,1.462117,-2.914359,-0.109585,1.465159,-2.907196,-0.316663,1.402533,-2.925731,0.028520,1.415639,-2.882805,-0.331299,1.145569,-3.060436,0.143052,1.173041,-2.769613,-0.354840,0.879087,-3.152021,0.114689,0.980003,-2.564937,-0.327191,0.223383,-2.337826,0.038723,0.066970,-3.130082,,,,,,,,,,-0.342051,0.861582,-3.139624,-0.306514,0.822486,-3.147150,-0.284723,0.797176,-3.160253,-0.317425,0.793045,-3.173444,-0.290336,0.775249,-3.191054,-0.266938,0.770442,-3.202812,-0.326212,0.801392,-3.196058,-0.297061,0.788714,-3.219150,-0.274959,0.786942,-3.233059,-0.333605,0.809570,-3.214126,-0.306301,0.798649,-3.237342,-0.286455,0.800362,-3.248757,-0.338766,0.824003,-3.229728,-0.314280,0.816825,-3.250389,-0.294654,0.819405,-3.261554,0.092969,0.976133,-2.553236,0.061605,0.933974,-2.543919,0.052913,0.899517,-2.538963,0.077957,0.910745,-2.509116,0.062169,0.877410,-2.508853,0.049593,0.857230,-2.520837,0.100695,0.901151,-2.516134,0.087777,0.864050,-2.516630,0.077593,0.846545,-2.533219,0.119530,0.894269,-2.522906,0.108113,0.858667,-2.525364,0.099314,0.847827,-2.543585,0.136817,0.890605,-2.535795,0.125988,0.859883,-2.539888,0.116337,0.844755,-2.553844,,,
9,0.300,-0.133938,0.932052,-2.894040,-0.253691,0.926109,-2.890965,-0.014185,0.937996,-2.897115,-0.275116,0.560246,-2.636961,0.006973,0.511206,-3.024534,-0.288061,0.176898,-2.475281,0.011606,0.172552,-3.266516,-0.139634,1.049075,-2.889705,-0.140848,1.262934,-2.874577,-0.156078,1.503747,-2.848584,-0.163887,1.601427,-2.813955,-0.188132,1.450154,-2.857196,-0.117885,1.453605,-2.847962,-0.323578,1.388628,-2.871343,0.020031,1.405986,-2.819123,-0.335415,1.128914,-3.000951,0.135057,1.164359,-2.704364,-0.359116,0.863146,-3.094550,0.114375,0.967955,-2.501984,-0.311700,0.159884,-2.298539,0.036904,0.062641,-3.127355,,,,,,,,,,-0.346263,0.844895,-3.083357,-0.311962,0.805365,-3.093791,-0.291445,0.780218,-3.109083,-0.324569,0.777225,-3.120744,-0.298611,0.759678,-3.140208,-0.275829,0.754923,-3.153140,-0.334034,0.786645,-3.142652,-0.306084,0.774177,-3.167290,-0.284566,0.772420,-3.182089,-0.341934,0.795686,-3.160082,-0.315773,0.785101,-3.184725,-0.296335,0.786825,-3.196821,-0.347363,0.810831,-3.174899,-0.323753,0.803815,-3.196609,-0.304447,0.806308,-3.208338,0.092700,0.964191,-2.490168,0.062207,0.921867,-2.478902,0.054663,0.887407,-2.472347,0.078923,0.900705,-2.442971,0.064019,0.867055,-2.440501,0.051933,0.845834,-2.451109,0.101885,0.891274,-2.449456,0.089925,0.853888,-2.447769,0.080197,0.835184,-2.463288,0.120888,0.884478,-2.455836,0.110477,0.848488,-2.456237,0.102019,0.836379,-2.473809,0.138297,0.880567,-2.468487,0.128553,0.849310,-2.470905,0.119488,0.833136,-2.484058,,,
