joint,metric,height_bin,azimuth_bin,height_label,n_azimuth,n_distance,model,bias_mean,bias_median,bias_std,n,reliability_weight
L_Shoulder,angle_mae,0,0,Y=0.5,8,1,Model4_ViewBin,35.99614294352855,33.88953837609521,6.995329750186435,12,0.09458795547845343
R_Shoulder,angle_mae,0,0,Y=0.5,8,1,Model4_ViewBin,34.7722059200452,34.88614152428939,2.1581467946445914,11,0.10195383928451507
L_Elbow,angle_mae,0,0,Y=0.5,8,1,Model4_ViewBin,16.266631847452857,16.702397733197447,3.603385249635726,12,0.10591055997493111
R_Elbow,angle_mae,0,0,Y=0.5,8,1,Model4_ViewBin,7.5775314617174,8.08629237977011,1.4847949184853162,11,0.10426807399999455
L_Hip,angle_mae,0,0,Y=0.5,8,1,Model4_ViewBin,34.974605498511295,36.11305072911354,6.379453660565329,12,0.09654983987591491
R_Hip,angle_mae,0,0,Y=0.5,8,1,Model4_ViewBin,28.20723437926824,25.82036884059396,7.131212073390559,12,0.09416049657315058
L_Knee,angle_mae,0,0,Y=0.5,8,1,Model4_ViewBin,15.794057689820109,15.467671519710073,3.1470017544874542,12,0.10753407211802042
R_Knee,angle_mae,0,0,Y=0.5,8,1,Model4_ViewBin,22.960761594360974,21.249968384924223,6.7967908848542,12,0.09521601092159798
L_Shoulder,angle_mae,0,1,Y=0.5,8,1,Model4_ViewBin,43.75930851902928,45.929599156318005,4.444450600305569,13,0.11147215991643866
R_Shoulder,angle_mae,0,1,Y=0.5,8,1,Model4_ViewBin,41.249342731286205,41.73941594653351,2.6970109895549914,12,0.10915920789523768
L_Elbow,angle_mae,0,1,Y=0.5,8,1,Model4_ViewBin,14.129958781234475,14.2557588018663,1.7604163217092144,13,0.12190507671342729
R_Elbow,angle_mae,0,1,Y=0.5,8,1,Model4_ViewBin,17.14805557831134,16.55317382134195,9.55137561256346,12,0.08686269196996728
L_Hip,angle_mae,0,1,Y=0.5,8,1,Model4_ViewBin,35.42065993229322,35.70702059396424,3.8465313558471363,13,0.11371615946460044
R_Hip,angle_mae,0,1,Y=0.5,8,1,Model4_ViewBin,23.271846404260966,22.650335927263427,2.542287745187788,13,0.1187689847100302
L_Knee,angle_mae,0,1,Y=0.5,8,1,Model4_ViewBin,14.464606238845066,14.372514057959114,1.315027705079552,13,0.12372841591434985
R_Knee,angle_mae,0,1,Y=0.5,8,1,Model4_ViewBin,22.886801368171856,21.899523013456623,2.8251221329065017,13,0.11765451470321771
L_Shoulder,angle_mae,0,2,Y=0.5,8,1,Model4_ViewBin,39.662850065135565,38.67685398560262,4.753314845804854,12,0.10192772437636959
R_Shoulder,angle_mae,0,2,Y=0.5,8,1,Model4_ViewBin,43.706861497752726,44.65740333904655,4.281239159766383,12,0.10354433037167235
L_Elbow,angle_mae,0,2,Y=0.5,8,1,Model4_ViewBin,12.673510508955054,12.587071734641675,1.1071698572274993,12,0.1151000953180633
R_Elbow,angle_mae,0,2,Y=0.5,8,1,Model4_ViewBin,29.420402531630444,33.05820459575659,7.074247396762555,12,0.09433946050436753
L_Hip,angle_mae,0,2,Y=0.5,8,1,Model4_ViewBin,29.394194163276925,28.896020274816,3.207342191169551,12,0.10731800105890457
R_Hip,angle_mae,0,2,Y=0.5,8,1,Model4_ViewBin,29.466273708464442,28.927787409239023,6.958487144706112,12,0.09470418906054107
L_Knee,angle_mae,0,2,Y=0.5,8,1,Model4_ViewBin,14.937193041999791,14.821248204683334,1.7154749592107907,12,0.11278973206491003
R_Knee,angle_mae,0,2,Y=0.5,8,1,Model4_ViewBin,20.167957307241227,19.02120640596035,2.367755281481036,12,0.11036384946468356
L_Shoulder,angle_mae,0,3,Y=0.5,8,1,Model4_ViewBin,34.4457269231638,33.56138559296237,3.920551198454166,9,0.0787619271246248
R_Shoulder,angle_mae,0,3,Y=0.5,8,1,Model4_ViewBin,41.786877312473216,44.82009279568577,6.5810601568201434,9,0.07207779990277416
L_Elbow,angle_mae,0,3,Y=0.5,8,1,Model4_ViewBin,17.92448549440216,13.453374852346636,9.697217017533047,9,0.06496665865239637
R_Elbow,angle_mae,0,3,Y=0.5,8,1,Model4_ViewBin,31.80036916314126,33.997617158012204,5.9021213671707,9,0.07372761198513382
L_Hip,angle_mae,0,3,Y=0.5,8,1,Model4_ViewBin,24.583299475032902,25.370760100632864,5.849213480683666,9,0.07385775244654445
R_Hip,angle_mae,0,3,Y=0.5,8,1,Model4_ViewBin,34.93049889062373,35.87164502442182,8.03024508174861,9,0.06867875619237067
L_Knee,angle_mae,0,3,Y=0.5,8,1,Model4_ViewBin,18.341356630733205,18.068071442348018,4.4184560703510165,9,0.07746551679218239
R_Knee,angle_mae,0,3,Y=0.5,8,1,Model4_ViewBin,22.505017540847575,22.63673336532212,4.4845413773414435,9,0.07729506019044584
L_Shoulder,angle_mae,0,4,Y=0.5,8,1,Model4_ViewBin,39.61126455986994,39.411654005794986,4.299323532754643,8,0.06917127649978862
R_Shoulder,angle_mae,0,4,Y=0.5,8,1,Model4_ViewBin,33.86385992148094,32.05447334960094,5.636851347054895,11,0.09079128823011756
L_Elbow,angle_mae,0,4,Y=0.5,8,1,Model4_ViewBin,33.476824901357304,29.68152760166255,9.281183806470448,8,0.058587636192589415
R_Elbow,angle_mae,0,4,Y=0.5,8,1,Model4_ViewBin,16.52168351594223,13.816440141599257,6.59225508774852,11,0.08794543321473335
L_Hip,angle_mae,0,4,Y=0.5,8,1,Model4_ViewBin,42.73403251344413,42.83400810920475,5.6959816315057115,11,0.09061251398090728
R_Hip,angle_mae,0,4,Y=0.5,8,1,Model4_ViewBin,32.624585739147896,28.67034062274321,8.918154862099085,11,0.08138463960553718
L_Knee,angle_mae,0,4,Y=0.5,8,1,Model4_ViewBin,18.858126595159952,19.767826681757377,6.709115105906487,11,0.08760352274405246
R_Knee,angle_mae,0,4,Y=0.5,8,1,Model4_ViewBin,20.624169138727694,22.345110977118576,4.484584576878137,11,0.09434631635794556
L_Shoulder,angle_mae,0,5,Y=0.5,8,1,Model4_ViewBin,48.92353501755526,48.40324797193253,4.336669653041623,8,0.06908522078127009
R_Shoulder,angle_mae,0,5,Y=0.5,8,1,Model4_ViewBin,44.61588411107462,43.338766158912,5.014652015735185,9,0.07594122566189403
L_Elbow,angle_mae,0,5,Y=0.5,8,1,Model4_ViewBin,28.43660562789536,28.43047111937812,4.394354265125153,8,0.0689525099396666
R_Elbow,angle_mae,0,5,Y=0.5,8,1,Model4_ViewBin,15.818102365810395,12.15677845849979,7.153925215149244,9,0.07071449604611536
L_Hip,angle_mae,0,5,Y=0.5,8,1,Model4_ViewBin,24.957832657095544,22.77661623549361,11.151476382318377,9,0.06189249214849469
R_Hip,angle_mae,0,5,Y=0.5,8,1,Model4_ViewBin,33.35886055744614,32.37358549842733,3.472392275135037,9,0.07994735476094834
L_Knee,angle_mae,0,5,Y=0.5,8,1,Model4_ViewBin,13.819599462015718,14.80749415206466,4.887419845216107,9,0.07626398182666907
R_Knee,angle_mae,0,5,Y=0.5,8,1,Model4_ViewBin,15.326777920136387,13.904759036793832,7.1394521792738646,9,0.07074861939119965
L_Shoulder,angle_mae,0,6,Y=0.5,8,1,Model4_ViewBin,43.343285824992414,42.817947122878,3.1357189815982602,7,0.06294994001168651
R_Shoulder,angle_mae,0,6,Y=0.5,8,1,Model4_ViewBin,44.013829700921754,45.33833739512511,3.2432882044889886,11,0.0983319278469374
L_Elbow,angle_mae,0,6,Y=0.5,8,1,Model4_ViewBin,19.2332080533133,20.48804165860239,4.093656241968839,7,0.06097162338481329
R_Elbow,angle_mae,0,6,Y=0.5,8,1,Model4_ViewBin,12.942840578292474,11.359110611306903,3.770592461061592,11,0.09661866731106597
L_Hip,angle_mae,0,6,Y=0.5,8,1,Model4_ViewBin,20.65782122875138,20.64867642927304,4.038850512952544,10,0.08711388261123465
R_Hip,angle_mae,0,6,Y=0.5,8,1,Model4_ViewBin,32.787344163701114,33.113564320353525,4.75762174460596,11,0.09349154363677088
L_Knee,angle_mae,0,6,Y=0.5,8,1,Model4_ViewBin,15.539190579778591,16.794667003625243,4.079135762130834,10,0.08699698097006764
