Frame,Time,Hips_X,Hips_Y,Hips_Z,LeftUpperLeg_X,LeftUpperLeg_Y,LeftUpperLeg_Z,RightUpperLeg_X,RightUpperLeg_Y,RightUpperLeg_Z,LeftLowerLeg_X,LeftLowerLeg_Y,LeftLowerLeg_Z,RightLowerLeg_X,RightLowerLeg_Y,RightLowerLeg_Z,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,RightFoot_X,RightFoot_Y,RightFoot_Z,Spine_X,Spine_Y,Spine_Z,Chest_X,Chest_Y,Chest_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,LeftUpperArm_X,LeftUpperArm_Y,LeftUpperArm_Z,RightUpperArm_X,RightUpperArm_Y,RightUpperArm_Z,LeftLowerArm_X,LeftLowerArm_Y,LeftLowerArm_Z,RightLowerArm_X,RightLowerArm_Y,RightLowerArm_Z,LeftHand_X,LeftHand_Y,LeftHand_Z,RightHand_X,RightHand_Y,RightHand_Z,LeftToes_X,LeftToes_Y,LeftToes_Z,RightToes_X,RightToes_Y,RightToes_Z,LeftEye_X,LeftEye_Y,LeftEye_Z,RightEye_X,RightEye_Y,RightEye_Z,Jaw_X,Jaw_Y,Jaw_Z,LeftThumbProximal_X,LeftThumbProximal_Y,LeftThumbProximal_Z,LeftThumbIntermediate_X,LeftThumbIntermediate_Y,LeftThumbIntermediate_Z,LeftThumbDistal_X,LeftThumbDistal_Y,LeftThumbDistal_Z,LeftIndexProximal_X,LeftIndexProximal_Y,LeftIndexProximal_Z,LeftIndexIntermediate_X,LeftIndexIntermediate_Y,LeftIndexIntermediate_Z,LeftIndexDistal_X,LeftIndexDistal_Y,LeftIndexDistal_Z,LeftMiddleProximal_X,LeftMiddleProximal_Y,LeftMiddleProximal_Z,LeftMiddleIntermediate_X,LeftMiddleIntermediate_Y,LeftMiddleIntermediate_Z,LeftMiddleDistal_X,LeftMiddleDistal_Y,LeftMiddleDistal_Z,LeftRingProximal_X,LeftRingProximal_Y,LeftRingProximal_Z,LeftRingIntermediate_X,LeftRingIntermediate_Y,LeftRingIntermediate_Z,LeftRingDistal_X,LeftRingDistal_Y,LeftRingDistal_Z,LeftLittleProximal_X,LeftLittleProximal_Y,LeftLittleProximal_Z,LeftLittleIntermediate_X,LeftLittleIntermediate_Y,LeftLittleIntermediate_Z,LeftLittleDistal_X,LeftLittleDistal_Y,LeftLittleDistal_Z,RightThumbProximal_X,RightThumbProximal_Y,RightThumbProximal_Z,RightThumbIntermediate_X,RightThumbIntermediate_Y,RightThumbIntermediate_Z,RightThumbDistal_X,RightThumbDistal_Y,RightThumbDistal_Z,RightIndexProximal_X,RightIndexProximal_Y,RightIndexProximal_Z,RightIndexIntermediate_X,RightIndexIntermediate_Y,RightIndexIntermediate_Z,RightIndexDistal_X,RightIndexDistal_Y,RightIndexDistal_Z,RightMiddleProximal_X,RightMiddleProximal_Y,RightMiddleProximal_Z,RightMiddleIntermediate_X,RightMiddleIntermediate_Y,RightMiddleIntermediate_Z,RightMiddleDistal_X,RightMiddleDistal_Y,RightMiddleDistal_Z,RightRingProximal_X,RightRingProximal_Y,RightRingProximal_Z,RightRingIntermediate_X,RightRingIntermediate_Y,RightRingIntermediate_Z,RightRingDistal_X,RightRingDistal_Y,RightRingDistal_Z,RightLittleProximal_X,RightLittleProximal_Y,RightLittleProximal_Z,RightLittleIntermediate_X,RightLittleIntermediate_Y,RightLittleIntermediate_Z,RightLittleDistal_X,RightLittleDistal_Y,RightLittleDistal_Z,UpperChest_X,UpperChest_Y,UpperChest_Z
0,8.095,-0.103214,0.983845,-3.327470,-0.194256,0.917890,-3.338336,-0.012430,0.916813,-3.322828,-0.244207,0.556938,-3.159312,-0.027590,0.514708,-3.268855,-0.184457,0.182781,-3.342805,-0.024350,0.101510,-3.349418,-0.101908,1.083474,-3.335871,-0.102488,1.200765,-3.333364,-0.098701,1.479771,-3.283382,-0.098000,1.573761,-3.230402,-0.160943,1.423349,-3.296738,-0.038856,1.421182,-3.298267,-0.286146,1.394190,-3.309868,0.082999,1.387357,-3.324831,-0.357189,1.131828,-3.344801,0.168084,1.128109,-3.299280,-0.398139,0.858838,-3.337360,0.185799,0.879495,-3.180397,-0.199293,0.058017,-3.248302,-0.024267,0.032172,-3.208319,,,,,,,,,,-0.363321,0.819091,-3.333513,-0.341334,0.777120,-3.336067,-0.326393,0.736855,-3.344772,-0.381561,0.734062,-3.335119,-0.371485,0.697841,-3.345180,-0.356352,0.670387,-3.358730,-0.401296,0.732488,-3.355994,-0.391313,0.702065,-3.372753,-0.377032,0.677202,-3.392114,-0.415209,0.741547,-3.371970,-0.406065,0.711787,-3.390069,-0.390378,0.691606,-3.411057,-0.428909,0.757198,-3.390838,-0.416116,0.726098,-3.414929,-0.403052,0.712255,-3.432564,0.149390,0.849253,-3.156589,0.121549,0.812890,-3.144177,0.106566,0.771776,-3.141847,0.163521,0.773611,-3.116045,0.149532,0.738141,-3.108240,0.128286,0.711567,-3.111202,0.182093,0.760614,-3.133759,0.170034,0.726844,-3.129264,0.146191,0.703828,-3.139202,0.195601,0.759635,-3.152400,0.183528,0.725800,-3.149891,0.158366,0.709881,-3.164289,0.209061,0.762947,-3.176823,0.192940,0.724851,-3.176671,0.175287,0.707560,-3.184588,-0.101789,1.335078,-3.324792
1,8.128,-0.107676,0.984587,-3.278781,-0.198747,0.918644,-3.289470,-0.016774,0.917621,-3.275791,-0.239520,0.557791,-3.107937,-0.030283,0.512066,-3.262612,-0.194388,0.145516,-3.180226,-0.025904,0.100457,-3.350884,-0.106567,1.084304,-3.286089,-0.106781,1.201586,-3.283086,-0.107036,1.480807,-3.233772,-0.109132,1.575036,-3.181255,-0.168080,1.423494,-3.248765,-0.045987,1.422961,-3.246522,-0.292318,1.393332,-3.267573,0.077437,1.391432,-3.268228,-0.357759,1.133758,-3.326231,0.170580,1.137109,-3.226444,-0.397506,0.860874,-3.340724,0.178363,0.899359,-3.086192,-0.216059,0.050976,-3.056495,-0.025550,0.032033,-3.209340,,,,,,,,,,-0.361102,0.822695,-3.335813,-0.336634,0.782152,-3.338810,-0.318428,0.743435,-3.348291,-0.374239,0.737233,-3.345234,-0.361342,0.702173,-3.356151,-0.343469,0.676295,-3.369464,-0.391531,0.736252,-3.368205,-0.378307,0.707479,-3.385622,-0.360815,0.684610,-3.404804,-0.404163,0.745783,-3.384953,-0.391784,0.717682,-3.403767,-0.373060,0.699587,-3.424158,-0.416650,0.762105,-3.404093,-0.399842,0.733388,-3.428670,-0.384321,0.721425,-3.445679,0.140183,0.869115,-3.065348,0.111685,0.832641,-3.054904,0.096697,0.791509,-3.052963,0.151209,0.794459,-3.022103,0.136567,0.759050,-3.015281,0.115776,0.732373,-3.020012,0.171531,0.781364,-3.037697,0.159173,0.747613,-3.033927,0.136478,0.724380,-3.045853,0.186767,0.780200,-3.054941,0.174601,0.746357,-3.053060,0.150991,0.730119,-3.069574,0.202462,0.783213,-3.078034,0.186428,0.745086,-3.078685,0.169613,0.727615,-3.087922,-0.106921,1.335903,-3.274556
2,8.162,-0.112952,0.979088,-3.229341,-0.203252,0.911990,-3.239358,-0.021111,0.913358,-3.228172,-0.233071,0.549103,-3.059760,-0.029340,0.507636,-3.240566,-0.212948,0.130919,-3.015597,-0.026575,0.100939,-3.349299,-0.113305,1.078870,-3.235796,-0.112262,1.196139,-3.232512,-0.115925,1.475516,-3.183999,-0.120095,1.570010,-3.132086,-0.175739,1.417352,-3.200586,-0.053774,1.418422,-3.194638,-0.298844,1.386167,-3.224489,0.071162,1.389871,-3.211209,-0.355822,1.130384,-3.304677,0.173654,1.142662,-3.152178,-0.391803,0.858923,-3.340314,0.170132,0.918240,-2.991311,-0.240467,0.071437,-2.872694,-0.024915,0.031718,-3.208152,,,,,,,,,,-0.354705,0.821747,-3.333341,-0.328552,0.782220,-3.335602,-0.307939,0.744643,-3.344734,-0.363566,0.736484,-3.348066,-0.348405,0.702406,-3.359183,-0.328359,0.677768,-3.371732,-0.378312,0.736097,-3.372766,-0.362296,0.708642,-3.389966,-0.342069,0.687301,-3.408198,-0.389471,0.746041,-3.390300,-0.374170,0.719321,-3.408976,-0.352769,0.702865,-3.428083,-0.400492,0.762889,-3.409879,-0.380099,0.735978,-3.433777,-0.362422,0.725378,-3.449541,0.130390,0.888123,-2.973411,0.101483,0.851554,-2.964548,0.086241,0.810541,-2.962110,0.137820,0.815487,-2.926146,0.122491,0.780223,-2.920130,0.102404,0.753353,-2.926521,0.159892,0.802172,-2.938920,0.147393,0.768440,-2.935457,0.126311,0.744636,-2.949090,0.176908,0.800613,-2.954377,0.164666,0.766785,-2.952737,0.143045,0.749909,-2.971218,0.194945,0.803001,-2.975769,0.178909,0.764879,-2.976646,0.163093,0.747072,-2.986945,-0.112697,1.330465,-3.224126
3,8.195,-0.118800,0.967833,-3.177835,-0.207498,0.898418,-3.186245,-0.025258,0.904545,-3.178936,-0.229991,0.543616,-2.990181,-0.025702,0.499491,-3.206551,-0.236674,0.142571,-2.862308,-0.027273,0.102779,-3.347441,-0.121914,1.067597,-3.183808,-0.119271,1.184849,-3.180817,-0.125997,1.464413,-3.133760,-0.131476,1.559182,-3.082474,-0.184574,1.405376,-3.151627,-0.062839,1.408090,-3.142397,-0.306594,1.373369,-3.179650,0.063201,1.381938,-3.153739,-0.353596,1.121790,-3.277633,0.174065,1.143952,-3.075166,-0.384466,0.852999,-3.332898,0.162631,0.932232,-2.898250,-0.266169,0.119528,-2.709613,-0.024470,0.030722,-3.207738,,,,,,,,,,-0.347534,0.816147,-3.323684,-0.320484,0.777181,-3.324885,-0.298229,0.740379,-3.333287,-0.353080,0.731489,-3.342854,-0.336034,0.698310,-3.353958,-0.314211,0.674732,-3.365542,-0.365185,0.731962,-3.368949,-0.346858,0.705651,-3.385622,-0.324379,0.685573,-3.402608,-0.374674,0.742494,-3.387111,-0.356848,0.717031,-3.405298,-0.333179,0.701955,-3.422799,-0.383956,0.760015,-3.406999,-0.360585,0.734616,-3.429801,-0.341135,0.725075,-3.444083,0.121776,0.902570,-2.882187,0.092708,0.866076,-2.873546,0.077083,0.825357,-2.869287,0.125581,0.833711,-2.829187,0.109889,0.798692,-2.822692,0.090756,0.771240,-2.829520,0.149029,0.820025,-2.838701,0.136648,0.786366,-2.834245,0.117363,0.761329,-2.848324,0.167530,0.817751,-2.852245,0.155411,0.783941,-2.849631,0.135911,0.765618,-2.869069,0.187579,0.819011,-2.871869,0.171726,0.780804,-2.871588,0.157015,0.762193,-2.882101,-0.119787,1.319207,-3.172967
4,8.228,-0.124786,0.953407,-3.124342,-0.212193,0.882177,-3.130887,-0.030000,0.892083,-3.127751,-0.230086,0.542466,-2.909284,-0.023503,0.488852,-3.174596,-0.252100,0.159997,-2.734740,-0.028429,0.104495,-3.346289,-0.130109,1.053096,-3.129990,-0.127105,1.170357,-3.127778,-0.136549,1.450165,-3.082778,-0.142914,1.545226,-3.032137,-0.194176,1.390429,-3.101396,-0.072683,1.394413,-3.089746,-0.315303,1.358322,-3.132956,0.053873,1.369068,-3.096034,-0.353315,1.110546,-3.243697,0.170170,1.141238,-2.997696,-0.380015,0.845503,-3.316467,0.153252,0.940085,-2.809263,-0.280241,0.171642,-2.580502,-0.024592,0.029925,-3.207936,,,,,,,,,,-0.343490,0.808590,-3.305966,-0.315893,0.770000,-3.306782,-0.292451,0.733885,-3.314933,-0.346194,0.724968,-3.329741,-0.326769,0.693470,-3.341795,-0.303005,0.671778,-3.353243,-0.356034,0.726652,-3.356723,-0.335408,0.702076,-3.373357,-0.310849,0.683865,-3.389549,-0.364087,0.738002,-3.375085,-0.343707,0.714421,-3.393125,-0.317989,0.701339,-3.409289,-0.371884,0.756422,-3.394798,-0.345980,0.732853,-3.416813,-0.325126,0.724531,-3.429821,0.112040,0.910619,-2.793761,0.083333,0.874087,-2.784127,0.068304,0.833475,-2.777410,0.113453,0.846786,-2.734697,0.098053,0.811975,-2.726588,0.080151,0.783520,-2.732608,0.137918,0.833095,-2.741150,0.126119,0.799546,-2.734719,0.108666,0.772804,-2.748032,0.157476,0.830256,-2.752995,0.145959,0.796436,-2.748472,0.128493,0.776005,-2.767743,0.178961,0.830457,-2.771078,0.163883,0.792021,-2.768525,0.150395,0.772167,-2.778386,-0.128135,1.304761,-3.120821
5,8.262,-0.130858,0.938846,-3.070409,-0.217888,0.867049,-3.075671,-0.035737,0.878155,-3.075436,-0.234031,0.540384,-2.835128,-0.025107,0.478446,-3.145797,-0.260491,0.164688,-2.647018,-0.029283,0.107756,-3.345309,-0.136928,1.038506,-3.075807,-0.134882,1.155796,-3.074116,-0.146548,1.435723,-3.030399,-0.153918,1.530999,-2.980302,-0.203553,1.375675,-3.049906,-0.082326,1.380219,-3.035924,-0.323688,1.343678,-3.085152,0.044430,1.355138,-3.037444,-0.354586,1.097851,-3.202269,0.163033,1.135754,-2.923839,-0.378586,0.836866,-3.289256,0.144446,0.941104,-2.728848,-0.286320,0.193608,-2.494659,-0.025002,0.030297,-3.208566,,,,,,,,,,-0.342215,0.799785,-3.278813,-0.314182,0.761526,-3.280187,-0.289906,0.726052,-3.288706,-0.342807,0.717457,-3.306863,-0.321082,0.688235,-3.320604,-0.295637,0.668964,-3.332751,-0.351321,0.720421,-3.334183,-0.328801,0.697921,-3.351291,-0.302665,0.681892,-3.367322,-0.358583,0.732618,-3.352331,-0.336133,0.711184,-3.370592,-0.308954,0.700300,-3.385975,-0.365601,0.751946,-3.371458,-0.337912,0.730176,-3.393152,-0.316159,0.723012,-3.405350,0.103522,0.911337,-2.713161,0.075625,0.874565,-2.702157,0.062119,0.833864,-2.693138,0.104055,0.852243,-2.649342,0.089424,0.817561,-2.639450,0.072836,0.788094,-2.644233,0.129279,0.839050,-2.653506,0.118398,0.805637,-2.645066,0.102636,0.777306,-2.657147,0.149511,0.836075,-2.664120,0.138930,0.802265,-2.657659,0.123211,0.779839,-2.676200,0.171888,0.835733,-2.681086,0.157960,0.797087,-2.676214,0.145650,0.776048,-2.685109,-0.136790,1.290219,-3.067731
6,8.295,-0.137574,0.927484,-3.014513,-0.225077,0.856203,-3.018866,-0.042862,0.866170,-3.019687,-0.240289,0.528110,-2.780214,-0.031382,0.472082,-3.116611,-0.259249,0.149031,-2.598081,-0.029718,0.115376,-3.340198,-0.143053,1.027146,-3.020484,-0.142442,1.144458,-3.019278,-0.156805,1.424396,-2.976499,-0.165959,1.519824,-2.926989,-0.213049,1.364096,-2.997391,-0.092244,1.369138,-2.980274,-0.331852,1.331067,-3.036036,0.034712,1.345203,-2.977499,-0.357878,1.084508,-3.152796,0.153731,1.129894,-2.856759,-0.380039,0.826228,-3.247961,0.138835,0.936159,-2.660543,-0.279920,0.162900,-2.442849,-0.025115,0.030475,-3.207958,,,,,,,,,,-0.343621,0.788740,-3.239286,-0.315537,0.750627,-3.242475,-0.291272,0.715667,-3.252933,-0.344098,0.707841,-3.271229,-0.321896,0.679943,-3.286834,-0.296156,0.661948,-3.300249,-0.352610,0.712093,-3.298379,-0.329775,0.690801,-3.316582,-0.303409,0.675959,-3.333361,-0.359884,0.725131,-3.315927,-0.337080,0.704954,-3.335155,-0.309700,0.695210,-3.350940,-0.366924,0.745340,-3.334113,-0.339001,0.724675,-3.356574,-0.317146,0.718135,-3.368940,0.098340,0.906263,-2.644011,0.071169,0.869460,-2.631411,0.058948,0.828883,-2.620256,0.098844,0.851229,-2.576661,0.084978,0.816854,-2.564792,0.069341,0.786658,-2.567960,0.124509,0.838524,-2.579404,0.114425,0.805412,-2.569011,0.099789,0.775884,-2.579539,0.145076,0.835478,-2.589334,0.135319,0.801839,-2.580962,0.120709,0.777826,-2.598392,0.167875,0.834730,-2.605714,0.155045,0.796040,-2.598664,0.143611,0.774093,-2.606470,-0.145510,1.278881,-3.013353
7,8.328,-0.145795,0.919917,-2.953909,-0.234207,0.849736,-2.957729,-0.051875,0.857290,-2.957575,-0.245450,0.513780,-2.730049,-0.042025,0.471711,-3.084317,-0.254667,0.126050,-2.566301,-0.030233,0.128335,-3.327601,-0.149916,1.019540,-2.961413,-0.150766,1.136856,-2.961912,-0.167997,1.417270,-2.923472,-0.179675,1.513222,-2.875532,-0.223400,1.356410,-2.944979,-0.103107,1.362286,-2.924797,-0.340955,1.321304,-2.985562,0.023997,1.339753,-2.918856,-0.366546,1.071718,-3.095807,0.142837,1.123868,-2.798970,-0.389366,0.812653,-3.188653,0.136787,0.925545,-2.606910,-0.269388,0.104457,-2.411272,-0.023865,0.029176,-3.205766,,,,,,,,,,-0.353345,0.774215,-3.182999,-0.326245,0.735699,-3.188791,-0.303401,0.700742,-3.202074,-0.357066,0.694425,-3.217422,-0.336205,0.666735,-3.235108,-0.311525,0.648795,-3.250450,-0.366817,0.699722,-3.243964,-0.345310,0.678561,-3.263859,-0.320079,0.663731,-3.282310,-0.374678,0.713462,-3.260706,-0.353212,0.693502,-3.281627,-0.326815,0.683764,-3.299011,-0.382188,0.734383,-3.277869,-0.355704,0.713785,-3.302067,-0.334558,0.707132,-3.315553,0.096767,0.895661,-2.589237,0.070179,0.858936,-2.575244,0.059271,0.818411,-2.562631,0.098143,0.843212,-2.519866,0.085244,0.809301,-2.505780,0.070295,0.778616,-2.506921,0.124004,0.830817,-2.522149,0.114727,0.798092,-2.509936,0.100676,0.767729,-2.518747,0.144615,0.827722,-2.531972,0.135767,0.794324,-2.521818,0.121678,0.769089,-2.537898,0.167421,0.826717,-2.548328,0.155891,0.787994,-2.539453,0.145136,0.765377,-2.546244,-0.155078,1.271318,-2.957991
8,8.362,-0.155707,0.915701,-2.890404,-0.244763,0.846343,-2.894297,-0.062376,0.852122,-2.892314,-0.252536,0.507126,-2.671355,-0.051390,0.473305,-3.037945,-0.252428,0.107625,-2.538570,-0.031017,0.146738,-3.302845,-0.158766,1.015260,-2.899167,-0.161094,1.132523,-2.901980,-0.179098,1.413880,-2.870914,-0.193128,1.510754,-2.825525,-0.234402,1.352590,-2.891433,-0.114346,1.358726,-2.869960,-0.351484,1.316020,-2.932089,0.012707,1.336192,-2.863011,-0.382648,1.062614,-3.031667,0.129604,1.115098,-2.750964,-0.410653,0.799943,-3.112139,0.134563,0.907749,-2.568653,-0.265398,0.052304,-2.391982,-0.021273,0.025041,-3.203792,,,,,,,,,,-0.375254,0.760710,-3.108320,-0.349423,0.721544,-3.115410,-0.328401,0.686115,-3.130349,-0.382787,0.680845,-3.141935,-0.363551,0.652734,-3.160763,-0.340187,0.634285,-3.177500,-0.393935,0.686224,-3.167905,-0.373975,0.664499,-3.188778,-0.350092,0.649035,-3.208462,-0.402436,0.700053,-3.184256,-0.382579,0.679525,-3.206190,-0.357399,0.669120,-3.224940,-0.410447,0.721051,-3.201096,-0.385657,0.699512,-3.226249,-0.365369,0.692155,-3.240657,0.094614,0.878234,-2.550217,0.068002,0.841771,-2.535599,0.057476,0.801265,-2.522604,0.096637,0.826261,-2.480505,0.084408,0.792866,-2.464694,0.069625,0.762085,-2.464129,0.122389,0.813692,-2.483058,0.113512,0.781338,-2.469624,0.099346,0.750666,-2.477079,0.142842,0.810403,-2.493144,0.134477,0.777238,-2.481878,0.120226,0.751464,-2.496926,0.165412,0.809144,-2.509807,0.154578,0.770429,-2.500063,0.143993,0.747566,-2.506273,-0.166158,1.267014,-2.901302
9,8.395,-0.165841,0.914792,-2.829582,-0.255355,0.846037,-2.833687,-0.072963,0.850525,-2.829759,-0.266891,0.513742,-2.600710,-0.050851,0.465520,-2.956698,-0.252781,0.100097,-2.523695,-0.027953,0.171094,-3.256735,-0.168076,1.014266,-2.839482,-0.171587,1.131454,-2.843777,-0.189108,1.413505,-2.818423,-0.204771,1.511166,-2.775313,-0.244791,1.352069,-2.837420,-0.124652,1.358035,-2.816372,-0.362155,1.314617,-2.876426,0.002271,1.334593,-2.810067,-0.402579,1.057976,-2.963622,0.116620,1.105087,-2.713357,-0.438122,0.791273,-3.025767,0.133340,0.885069,-2.547320,-0.265084,0.027973,-2.384542,-0.017268,0.024097,-3.202013,,,,,,,,,,-0.403147,0.751814,-3.020599,-0.378090,0.711885,-3.026013,-0.358377,0.675402,-3.040179,-0.412849,0.670120,-3.048831,-0.394615,0.640768,-3.066741,-0.372098,0.621104,-3.083254,-0.424768,0.674027,-3.074722,-0.405687,0.650798,-3.094781,-0.382584,0.633842,-3.114165,-0.433614,0.686931,-3.091637,-0.414736,0.664753,-3.112817,-0.390312,0.652786,-3.131634,-0.441889,0.706950,-3.109509,-0.417913,0.683202,-3.133434,-0.398049,0.674432,-3.147640,0.093413,0.855643,-2.528697,0.066615,0.819182,-2.514415,0.055308,0.778645,-2.502200,0.096370,0.801728,-2.460509,0.084505,0.768300,-2.444493,0.069548,0.737611,-2.443575,0.121854,0.788858,-2.464056,0.113157,0.756436,-2.450668,0.098519,0.725919,-2.457842,0.141997,0.785551,-2.474742,0.133740,0.752282,-2.463703,0.118854,0.726811,-2.478651,0.164124,0.784425,-2.491999,0.153331,0.745563,-2.482809,0.142458,0.722866,-2.489132,-0.177034,1.265921,-2.845510
